"","HB1","HB4","HB10","HB13","HB17","HB20","HB23","HB26","HB29","HB34","HC1","HC2","HC4","HC5","HC6","HC7","HC8","HC9","HC10","HC11","HC12","HC13","HC14","HC15","HC16","HC17","HC18","HC19","HC20","HC21","HC22","SB1","SB4","SB8","SB12","SB16","SB20","SB24","SB28","SB32","SB36","SB39","SB42","SB45","SB49","SB52"
"hsa_miR_106b_3p",8.04971854274023,7.84177586564715,8.03466065714389,7.51074144151254,8.29493348624437,8.73303025393518,8.21319572499279,8.12163552337244,8.88077002793701,8.60888391499748,7.94060939537942,7.76306676974446,7.7569233588582,8.83806057831018,8.88450214518376,8.21191030432781,8.94596815293877,9.61478860733844,8.9271746046605,8.41804844446885,8.58645326785412,9.18533841106686,8.18938266115456,8.40268699839138,8.2401958444914,8.71839514903983,8.68470452854316,8.7342243973797,7.82653573222199,8.02717953023881,7.94100259305554,8.34194562548096,8.34194562548096,8.34194562548097,8.34194562548096,8.34194562548097,8.34194562548097,8.34194562548097,8.34194562548097,8.34194562548097,8.34194562548096,8.34194562548097,8.34194562548096,8.34194562548097,8.34194562548097,8.34194562548097
"hsa_miR_107",9.51021936055402,9.90638737738103,10.456199269678,9.68396621373463,10.1563484740647,10.4888146931896,10.0012823870631,10.6873589470092,10.6283850968985,10.877268399471,9.98562521763315,10.2610369049472,9.97209149301355,10.8533869418091,10.5073723193696,10.3785634977046,10.6043820710875,10.1276942617545,9.88959690078777,11.1747282534135,10.0006486374526,10.5818120526012,10.2199235418382,10.9198466239904,10.4470907310689,10.6017988510942,10.398493252698,10.6289997270246,10.0577630750307,10.3043134251544,10.7564077880146,10.7640657955465,9.97704631258165,9.9267980306958,10.220907592853,9.68907931930287,9.83392421473937,10.1979806282452,10.5012819820772,10.9472099353891,10.7817532700467,11.4933091743894,10.3799727551453,10.3953293305459,10.070178442955,10.1524266132836
"hsa_miR_10a_5p",9.87431988348753,10.357270386722,9.93707481319577,8.08594172474904,10.1045569517383,8.80945439119502,11.2044889453963,10.9074693515993,10.2459637316606,9.55942611114299,11.4211539945535,11.0493489530507,11.2705341708548,11.6022430002434,11.9096640851781,11.5553745999782,12.1263711207028,10.9016568993721,11.301328845004,11.1739690975253,10.9187088340401,11.4267828087309,11.9060210719992,11.0535195520419,11.7038383381252,11.5637047998881,11.2133393364159,11.6872247214694,11.5969325734001,11.6544349613825,12.0295772047954,11.2323046814307,10.2451250791543,10.5370368439788,12.330272733541,10.4838337851121,10.6191327454299,11.0905075257854,10.4479056627505,10.7061885491572,11.8426512851183,12.1839204931695,10.6581317343445,10.7930923799819,10.5156436020847,11.0262695665863
"hsa_miR_10b_5p",8.48644970741088,10.2033287281544,9.17335851275672,5.91744870853771,8.55542594859572,8.25658878681134,10.4097824607454,10.1818988277001,9.66534429792807,10.1122103842165,11.0087491520516,10.0924331212018,10.7692123279644,11.2045360393242,11.401562628025,10.7937315360061,11.2522616860691,9.26330439070888,10.9510936257253,10.3360564497066,10.3629782388164,11.1897958517727,11.6933738074427,10.6885478010384,11.0902583976384,10.6766778744973,10.3270715157576,11.3715391554885,11.1203667812994,11.0083446052175,11.7768405168293,7.7413198488771,10.6168258225657,10.6812809002635,11.6448423898181,10.5932980271114,10.4638628634629,10.8131050563764,10.3464808504891,10.099016512395,11.6588530350565,7.7413198488771,11.2177416328257,11.0335380895737,7.7413198488771,11.6859564164564
"hsa_miR_122_5p",17.5045393359669,14.0866210547222,16.2477257373435,11.1762177454003,14.646214768671,15.1836699325166,14.8659717650209,14.5566306403407,15.5005476262566,13.6872473467728,14.5278660872347,15.3940838465108,14.8425009224577,14.9547389697494,14.7264018124153,15.6481639106494,14.3584516022167,14.5413475798069,14.4300878766914,15.0678510202565,14.4782969663249,15.9825843326272,15.3610439882664,15.4702746662678,15.9890353186112,14.8455218910289,16.4985780889298,14.7253110151558,15.3177726526004,15.9237821017475,15.114939099247,13.8567634809041,13.06675100183,15.3942269801276,14.7953780527573,15.7427474386542,17.7740485247003,16.2978516063089,14.7652518220673,13.7234893096232,14.3942613546423,15.5462358376831,14.4602828671348,15.0050544724233,14.4974844199425,16.0868443769029
"hsa_miR_1246",8.12306316580164,9.63207489277659,9.50656425567934,6.42051852799837,5.42132477084599,11.2447306777052,9.61166435771229,9.13737316537335,10.1542139470468,8.98014593338711,8.95361887970257,9.37085296668872,5.421324770846,7.83016554451926,5.421324770846,8.9534166318994,8.60100126803502,5.421324770846,5.421324770846,9.23636835402322,10.1124786257912,9.17913586277039,9.63021051712122,8.14633168582913,9.65459685453323,5.421324770846,5.42132477084599,5.421324770846,8.63581433419518,9.11532334404987,5.421324770846,4.72803110126883,9.6322610852717,9.90616253382104,4.72803110126883,8.86847241457722,8.19809589851741,4.72803110126883,8.80323698980777,8.37019100096624,9.1299606921447,9.45564152557558,8.37528328135296,8.91701020037286,7.3526937316583,9.75075636476054
"hsa_miR_125a_5p",9.77653539343014,10.7792625062526,10.2552997762948,6.68479800073213,10.0900714514736,8.73863739035659,11.1537494112254,10.8174600504147,10.0312642505254,9.91799173614215,11.3682867140992,11.2452297537796,11.3556562887551,11.8881892020056,11.9708950828795,11.5557579593308,12.1645294180356,11.7833025086452,11.8050882713573,11.1409446207742,11.2083118785868,12.0819437552557,12.0386161088863,11.201056914699,11.5140625046843,11.6524411167095,11.1244412144934,11.6174035819084,11.6445308120411,11.6867230605528,12.1612347895545,11.7166304833276,8.17687920780327,11.154164405695,11.7494538715581,10.8434550728446,11.0617745580284,11.6574731299899,11.4783409337103,10.9436596143654,12.3348557621019,8.17687920780328,11.2064521993345,12.1601319034884,11.2149743798251,11.1595222836145
"hsa_miR_125b_5p",8.31753092599621,7.21468118078512,8.0242842690221,5.09765040425561,7.8892363044205,7.08407429566533,8.74824959254962,8.22593535062482,7.78134022468965,8.31773415799487,8.57383558333079,7.75237984245276,8.472627355563,8.9677587025003,9.45505243557025,8.74368248697517,9.40800750374806,8.83428768057526,8.91781871277686,8.23090630774719,8.18405006942981,9.71715781711027,8.93579310752978,8.5357658777567,9.04002462287978,8.59018940557433,8.77104286465684,8.24834221351123,8.5443811746429,9.07262683881098,9.13909733198713,8.36841235302203,8.36841235302203,8.36841235302203,8.36841235302203,8.36841235302203,8.36841235302203,8.36841235302203,8.36841235302203,8.36841235302203,8.36841235302203,8.36841235302203,8.36841235302203,8.36841235302203,8.36841235302203,8.36841235302203
"hsa_miR_126_3p",14.2978195538287,15.0371348780282,14.609099810783,12.5876778562741,14.2170152501704,14.1068385271772,15.1411818575803,15.0301423162624,14.6534452769289,14.4867704672675,15.4458816957578,15.2450180611267,15.5701117778256,15.8491623700529,15.5898901708296,15.4598610800528,15.7861060689239,14.894802903032,15.3016613859817,15.4767782978923,15.6246144556484,15.636810377475,15.8450826425614,15.7335724605836,15.7415815995171,15.4658596064567,15.1678277194906,16.053394624348,15.7946416763034,15.8405267929081,16.2316013479491,15.4544901937314,15.4399608296263,15.1170949256733,16.2207256480698,14.9750863714919,15.0880234168134,15.5273034650087,15.6041037213784,14.8974135265338,15.8925359115098,15.479553786539,15.0287761769661,14.9770476017062,14.2144538859267,14.5263988572237
"hsa_miR_126_5p",11.0800155066648,12.0010049330796,11.4673334640588,9.689707447882,11.1187873049968,10.4969994099877,12.1313646983754,11.9697820057498,11.3685848427349,11.9433979442876,12.4527950943096,12.4943370717474,12.6497688238477,12.9545465179542,12.8772420581078,12.4063728960227,12.9836035463149,12.4669316785439,12.6587705023923,12.0011345655182,12.2902542155641,12.9418933542232,12.9849129450651,12.5439072522556,12.5418748447765,12.5723222895634,12.0941857540233,13.0123428079397,12.6053307302486,12.7034166233768,13.379389720044,12.2331052094361,12.3167291866436,11.8399948436155,13.2695319016887,11.7845671450584,12.2875100626968,12.5788920853805,12.7205565405345,11.9038638952191,13.0651916883775,12.5347357426818,11.9341886339977,12.2550264757777,11.6133978880209,11.0585234333643
"hsa_miR_128_3p",7.54773270649973,8.35611608381821,8.44806148451818,7.4659989922169,7.41907749231757,7.37336330484845,7.84296068392679,8.21018079171108,4.44409531427102,4.44409531427102,8.4675876960284,8.25625596125954,7.80865424094157,8.83207279945737,8.45920465754269,8.08525321865136,8.16015523377824,4.44409531427102,8.62363550061355,9.02576317489017,7.93941259090789,8.0435047871908,8.68251784842128,8.22960253165351,8.06944286103994,7.62337243258089,7.71220310280071,7.92835448762538,7.71279139657353,8.09181893667711,8.14938785040554,6.89250493208994,6.89250493208994,6.89250493208994,9.86623459786628,9.47650105322712,9.34917851383045,6.89250493208994,8.99764553602644,6.89250493208994,6.89250493208994,6.89250493208994,6.89250493208994,6.89250493208994,9.18111730613688,6.89250493208994
"hsa_miR_1307_3p",7.69464503463777,5.54058312519511,9.17119459071475,8.23652109076782,8.91214849351728,5.54058312519511,5.54058312519511,9.51419223475225,5.54058312519511,9.45135529034598,9.15746673560581,9.3922779885795,8.98181370708992,9.94455931216107,10.4556815466041,9.18961728338511,9.98168721006887,9.82336559925445,10.1825441061812,9.89886797962232,8.74767408905159,10.0569952025839,8.74672041522318,9.42939218510895,8.25095176353769,9.23351721122546,9.94338823713067,9.55822935705178,9.04515118304409,9.45142216142381,8.83555809984835,9.84402099093245,9.53414830344924,8.76658572994481,8.98413002871136,9.76406833659482,9.79261226554156,9.289312411909,9.61226795183722,9.19153964523559,9.0514693685831,4.42498289542496,8.43505810347549,9.13915243859875,9.50473364545047,7.37929435631281
"hsa_miR_139_3p",5.18266248702301,5.18266248702301,5.182662487023,6.86833775999364,5.182662487023,5.18266248702301,5.182662487023,8.26002100958912,9.25189294425399,5.18266248702301,8.79275863996782,8.76037580250214,8.40743178255924,8.61695257236451,9.33020575453692,8.16478580622501,8.66621987691295,8.48364396092867,7.95787255607283,8.86182687927495,7.97057392994417,9.31982096310377,8.26423310586919,8.79774609322092,8.29091707572727,5.18266248702301,5.182662487023,8.52513521473008,7.94128510932614,8.17462856069239,7.97783954797032,8.47836137036992,5.32379209791239,8.6997907889507,9.01619404864108,8.85858342079202,8.68084401803477,8.77519789153465,8.62719718917106,7.91448094217948,5.32379209791239,5.3237920979124,5.32379209791239,8.44362551523544,8.5894239076833,5.3237920979124
"hsa_miR_140_3p",7.76248023018293,7.88078197346899,8.4303459381604,7.63505312005018,8.39394937607446,8.11773824974341,8.9228564519609,8.34494490482917,8.53162593559443,9.32472232502658,8.68484231590438,8.50173657292286,8.00562773744497,9.04861439907896,9.81408180609704,8.79920165936982,9.50672070894305,9.63894253299816,9.56479389433792,8.85629532551393,8.12662355411214,9.69221633134917,8.94017986991809,8.96814226968063,8.11239799322522,8.90807641131035,8.64073785331481,8.89484074106058,8.47505731155453,8.82495479691412,8.94987913094244,8.66542376135339,8.66542376135339,8.66542376135339,8.66542376135339,8.66542376135339,8.66542376135339,8.66542376135339,8.66542376135339,8.66542376135339,8.66542376135339,8.66542376135339,8.66542376135339,8.66542376135339,8.66542376135339,8.66542376135339
"hsa_miR_142_3p",12.1550724838004,12.6472597513012,13.2278834042652,12.3915800960773,12.8428797853108,12.6092944053003,13.3575796923368,14.0784064419686,13.6931152250984,13.2928605087226,13.1720697957426,13.0574645450549,13.072174808556,13.2004160821984,13.2928311906921,12.9842515687715,13.2315279381085,12.7013246111368,13.2287390739536,13.5850385350127,13.048691846588,13.6140142062976,12.9640577517734,13.1117031135942,13.3407942383003,13.1954778962326,12.6209461412557,12.7478519792568,13.5388368204258,13.4533145067094,13.5345899484503,13.6851290146184,13.0690345831345,13.0082831352754,12.6229457934712,12.2121959443973,12.8101285310545,13.2841260887533,13.486000880928,13.4028132797276,13.2395055946463,12.6116828843526,13.2304385925451,13.745067412247,12.9022062344927,12.7828560670512
"hsa_miR_142_5p",8.7830987458101,10.0217202763255,10.1599935962177,8.88292245553772,9.85203769897857,10.4899637798586,10.195243482142,10.5094958125051,9.60925651207889,9.83331130695428,10.9549297493095,9.84489340911972,10.7295805809136,10.6690136846338,9.98279148018608,10.3855623283894,10.7915277541602,9.06032851217105,10.1092519116477,10.319275371578,10.3749102805315,11.1324348414021,10.2684298343088,10.7751724528705,10.8737550248802,10.4455384032714,9.49960936453011,9.97868735880981,10.6693326519673,10.5899733411396,11.0454317997558,10.4612673385923,10.2454069026912,9.93450308578141,10.2412780750648,10.0406874247535,9.96596868261049,10.6610490367328,10.6083938669694,10.2611177901085,10.3998858650045,7.38691569216995,11.0651788620316,10.9423889209486,10.3849072605497,10.4676256682611
"hsa_miR_143_3p",9.32228078483345,10.0302089670815,11.4659431931393,9.24091371223696,11.0685341713964,9.78845429894784,10.8959754612279,11.6976112407451,11.8045198985719,11.1856264526785,10.4264992181599,10.7343650864677,10.7967694009155,11.2937282309876,11.6264601159531,11.1763174198623,11.3147506709366,10.4442468556738,10.2521802976177,11.6634698499509,10.9509780464331,11.7003318851972,11.3554892972666,10.7697742279612,10.3706908490616,10.7919999067537,11.2692978130845,10.6202311340798,10.6066458462697,10.8130612124044,11.4092505947842,9.9618660219808,10.7680132980392,11.3241459218208,11.5941709713655,11.2676577214943,9.95660614201618,11.1821655013437,10.7556660140143,11.6179800163389,11.4220405752597,10.5642142282398,10.3373846440268,11.4387845144058,11.0298770042317,9.8018616266558
"hsa_miR_144_3p",8.46033331713889,7.84297563743859,4.38888172771346,8.09378270558912,8.4594983045596,9.41402450161192,8.89286446279639,8.32159672624232,7.95207951955362,8.78638774088417,7.95251388472008,7.91974897342041,8.97686333444971,8.69132266173999,8.53282554416981,8.88861336143664,8.3221167680058,4.38888172771346,7.21690970894881,4.38888172771346,8.26044562999394,8.73501778005316,8.17364850120214,8.76312764006566,8.91742102427784,7.68985005462369,7.86460156110119,8.92679900930118,8.37710929183455,8.34665130162579,9.20819936682041,6.96660067786701,6.96660067786701,6.96660067786701,6.96660067786701,6.96660067786701,8.67457347411503,6.96660067786701,9.36209336397587,9.64638485142201,6.96660067786701,6.96660067786701,10.5557809138164,9.30788142445085,6.96660067786701,10.043977055364
"hsa_miR_146a_5p",7.96427600495706,9.44979499192871,10.4428611403492,9.08644040080611,8.99238019826815,8.46991328825796,9.02199803950752,11.1481441522059,9.60493813183694,9.14067800363089,11.5635333312077,10.8134286937814,10.4334707024435,11.1332431332076,11.0648977702423,11.0699087651104,11.1520387735026,10.8869200404867,11.0091515526711,11.3683201871897,10.6053436738332,11.3882810603279,10.8386042107011,10.7699461788998,10.2263212987746,10.0787251781115,10.4763432612203,9.88498136403513,10.3994756416987,10.7904470951701,10.45716319102,9.63240881212209,9.63240881212209,9.63240881212209,9.63240881212209,9.63240881212209,11.382674797828,9.63240881212209,12.1034249940007,9.63240881212209,9.63240881212209,9.63240881212209,9.63240881212209,12.1613508644527,11.8861499101441,9.63240881212209
"hsa_miR_146b_5p",6.92816091807163,4.42013904886467,7.96198731403666,6.14093469712732,7.93044168767833,6.42133151711867,7.89867849266039,8.3471588249126,8.51435057942471,7.92743291754923,8.11942754327562,8.27429174493254,8.30559777205623,7.95811350420316,8.76621786373093,8.32295525555248,8.18721165164469,8.4454794319877,8.75099839240259,8.90748850227883,8.40371337727949,8.75252710167059,7.97039645895036,8.71372073236468,8.73436450698525,7.23247977982836,7.22736680508296,7.83736975143973,8.51911915567846,8.50961281052332,8.977447764341,7.94360620088176,7.94360620088176,7.94360620088177,7.94360620088176,7.94360620088177,7.94360620088177,7.94360620088177,7.94360620088177,7.94360620088177,7.94360620088176,7.94360620088177,7.94360620088176,7.94360620088177,7.94360620088177,7.94360620088177
"hsa_miR_150_5p",9.86383120057198,10.5922333939169,11.6237885408306,7.49193766321658,10.4897550072765,10.0361152859883,11.8393660894644,11.088361522989,9.92543304051751,10.5659976208078,12.4264924822002,11.5786253598266,11.4947039499952,11.890010122279,11.8698141720947,11.9907350854313,11.9577925836287,11.3914634223263,11.7962928628422,11.6293056167849,11.8855512983706,12.4038300696147,12.0528318178189,12.1718951993194,12.058934782391,12.0183637499462,11.4052588914698,11.3386714587478,12.4597713171304,12.478797515066,12.4211245411733,10.9158165508259,11.4016010403298,10.9317408877865,12.6009111231838,9.95126923834854,9.97359715359528,11.4909313279511,10.4621393913967,11.1343170279951,11.399374738533,13.1634880320483,12.5276775479332,12.6591482318867,10.1640207629103,12.429494289338
"hsa_miR_151a_3p",9.1301076496846,9.96616138021159,10.7643206407929,9.99538375999775,9.6678290611564,8.82696108128675,9.54345735258858,10.74589989577,10.738367009226,10.1924969390731,11.2964511900713,11.334408489912,11.0601479626453,11.643768609653,11.9730690573163,11.0058701510712,11.8331567919493,12.4389154853779,12.3002959148329,12.2211429817842,11.1703295980864,11.4627764429631,11.0389680802177,10.4525591834293,10.9171852723914,10.8303379934881,11.2676333324801,10.743473618761,10.6479595493528,11.1290311498518,11.4952388763509,11.5022322854061,11.5381679771382,10.9341677553768,11.0970200519381,11.3690538947868,11.55474925134,11.7279301076793,11.8037493268864,11.1961060307016,11.4030930144448,8.03091660884225,8.03091660884225,11.2905890124416,11.2994428025678,10.2883706991479
"hsa_miR_155_5p",9.28633115249521,10.2109274426572,10.3334627748675,8.82615165933376,10.3415604347173,9.03603485728677,10.6705266557507,11.0028198910617,10.6348209094423,10.8461281163145,12.774509668152,10.8121539987647,10.9461495101609,11.1193166723409,11.7079171660332,11.1244451309907,11.3541643006594,10.670819249439,10.8945590518762,11.022826721557,11.0386217287858,11.4073164691236,11.3966010136235,10.9292782108844,11.275736005058,10.8955263674547,11.0389912397587,10.7609134971648,11.3987186304745,11.3984039537686,11.0774472572461,10.9273042077619,10.0783668995042,11.308873203713,11.2638482968842,10.9426871635149,10.7590310446695,11.1114130739344,10.5033939125783,10.72055034851,11.0022818684581,12.2103800732494,10.2624621570816,11.2973517891941,10.4219097071833,9.95870763388674
"hsa_miR_15a_5p",7.82434633349118,8.92425378040106,4.42120746570307,8.15657194752857,8.10848599782728,9.28613135519943,8.87586610058693,7.9500385570167,8.89199844160935,8.08891420400089,9.11579650979808,9.14729624092807,8.73845245234966,9.07934792404658,9.26855216078527,9.3103087913054,9.39354516102533,9.45257544714361,9.68565167281404,4.42120746570307,8.98801745815609,8.73135309478349,9.0602306213193,9.14427262594171,8.29736596465661,8.98536190444491,8.61059945651714,8.41197185175137,7.76166433512972,8.88385064378299,8.51777633317752,6.68716740094469,9.11829344167092,6.68716740094469,6.68716740094469,9.7216639389279,8.51619010954551,9.03267668029448,9.40395056414833,9.31251330549005,6.68716740094469,6.68716740094469,9.8819877435005,9.66634504227868,8.85589600884407,10.4626013596972
"hsa_miR_15b_5p",10.1282672269941,10.298241195927,9.94247049685337,10.2104806024316,10.1108415470152,10.5249512238883,10.5517460028327,10.2055983222755,10.2193722459858,10.296629512966,9.74132861743712,10.082511749888,10.1290431227643,10.6385721376799,10.8325214972967,10.743461829814,10.8157091567226,11.5161200999403,10.3115267952886,9.29129652958145,9.91415739116937,10.216137137137,9.89127267097676,10.6862967329439,9.45093579069343,10.2689629229554,10.2057011488574,10.5615014982724,10.1731321170931,10.2423201670252,10.1453659283898,10.0514144373804,10.2416398464034,10.452705615553,10.7451962417558,10.0053933829602,9.89054606216587,10.0692444356063,10.5881138387055,10.5192539170217,9.72907164630388,9.5637727224702,10.7998615990688,10.424672798453,10.2906799171202,10.9222359708929
