"","HB1","HB2","HB4","HB5","HB8","HB10","HB11","HB13","HB15","HB17","HB18","HB20","HB21","HB23","HB24","HB26","HB27","HB29","HB30","HB32","HB34","HB38","HB40","HB45","HB46","HB49","HB50","HB52","HB54","HB56","HB58","HB60","HB62","HB66","HB68","HB70","HB72","HB74","HB76","HB78","HB80"
"hsa_miR_320b",9.30853578696215,9.64225612435755,10.1730972211113,10.2988780793052,6.98943038283565,6.98943038283565,11.0471948293499,9.32583389898446,10.2378322736037,6.98943038283565,6.98943038283565,9.61974952108554,6.98943038283565,9.60641492474174,9.54801387037205,9.80759519148862,9.1628849253945,10.5708469550767,10.3143871725543,10.4353977219782,10.4515950697256,6.98943038283565,6.98943038283565,6.98943038283565,6.98943038283565,6.98943038283565,6.98943038283565,9.81659920292627,8.64557683881563,9.15612426236517,10.3311745405318,9.91142073442402,6.98943038283565,6.98943038283565,10.7187104519939,6.98943038283565,9.63139772108937,10.977335896374,6.98943038283565,10.4903369165892,9.29674439775615
"hsa_miR_320c",8.55063726217316,8.46763340500693,9.64477848508637,9.7174701879595,9.42395771362218,10.2436885031583,10.4972749339401,8.27232461827698,10.1446298438321,5.82240575147754,9.55249317178806,8.14532981559855,9.99165406648434,9.15131483361742,9.08448769089937,9.51595346491186,8.71722803993053,10.7826813665767,9.22692322355913,5.82240575147754,9.06398550594422,10.0395424688218,10.3823039024597,5.82240575147754,5.82240575147754,10.101853037017,5.82240575147754,9.03635193092971,7.7459096910716,8.0781790961392,9.89523633600216,9.41083563731159,5.82240575147754,5.82240575147754,9.20639710986375,10.1384294782593,9.13988832629895,10.2144744007098,5.82240575147754,9.46724534584974,8.65138350199439
"hsa_miR_328_3p",6.60914744918809,6.62766291981221,4.48417386928,7.41197881920925,7.51722333753738,4.48417386928,7.46933622120609,6.57654460554127,7.76266772053522,7.41496717199791,7.94689368404693,6.73603563937201,11.5297431805497,7.64297817106329,7.01906940516472,7.41002553214364,7.84291025498853,7.87632372942065,4.48417386928,4.48417386928,7.52000771798007,4.48417386928,4.48417386928,7.64468561471312,4.48417386928,4.48417386928,4.48417386928,7.71234570020334,4.48417386928,7.16377759660384,8.30050466737991,4.48417386928,4.48417386928,7.32876912537388,7.28549417133644,4.48417386928,7.75964544287621,8.3245482516701,8.94453840394495,8.73783168891879,7.63877939154332
"hsa_miR_342_3p",10.3416395363318,10.3678101135172,10.9902455436468,11.2542299596756,11.0024203070585,11.9817817928233,11.5509006841376,9.19960661563927,11.4213463778401,11.0527664101862,12.1345552639016,10.218827936407,11.1633663605177,12.1023714139472,11.0955129660003,11.7904811104485,10.9467172877412,10.6619727508006,9.79786409264857,11.0407312881932,11.8015066625237,5.61692457175171,12.1152408609251,11.685990142932,11.4232445736799,11.1929358364866,11.1125346587025,10.8122740268496,9.8719912732282,10.5100792779596,11.3358706217491,11.3148884099783,11.8160450702593,10.8117472452534,9.3744558960687,12.5826347455827,10.4917350401058,11.9074434030449,12.1154674054311,11.382698271184,11.254071066253
"hsa_miR_361_5p",7.5514175087094,7.83877711458124,5.64639916571255,9.15955061453955,5.64639916571255,5.64639916571255,9.48820257684338,7.73354236635816,5.64639916571255,8.77065787683981,9.50107200879534,7.972028951289,5.64639916571255,8.85460253475944,9.54080390020217,8.92353043881332,8.68370750629305,5.64639916571255,5.64639916571255,5.64639916571255,5.64639916571255,5.64639916571255,5.64639916571255,9.23534093084636,5.64639916571255,9.41171626576843,5.64639916571255,5.64639916571255,5.64639916571255,8.5028869568157,5.64639916571255,5.64639916571255,5.64639916571255,5.64639916571255,7.34846005224158,5.64639916571255,10.006361774321,9.3745447247557,9.53694594651188,10.1564899773119,9.52829058761512
"hsa_miR_3615",6.93315409323627,7.25553623285076,7.46136413438145,7.82406567057419,4.26237193274882,4.26237193274881,4.26237193274882,7.2325731832206,7.52641080497069,7.30094761405787,8.33161114472626,7.20592911441903,8.13109559491856,7.47521562824602,8.35630244987655,7.68129293867209,8.376289469931,8.2100745940196,7.70660500922426,4.26237193274882,7.95010178816939,4.26237193274881,8.15977372344912,7.48132143288715,4.26237193274881,7.77895358958046,4.26237193274881,7.62702190907111,7.16307892094254,8.65549461913913,7.96566012958769,7.79487847902881,4.26237193274881,8.10373935768957,9.05934128172417,4.26237193274882,8.46703496252619,7.69955957608248,8.4005585408483,6.84108276592265,8.47044028455377
"hsa_miR_378a_3p",8.162415414372,7.70732442785419,4.51673043547006,8.12137368567987,4.51673043547006,4.51673043547005,7.82823857545359,6.81410260743788,8.15363784464751,7.81426600243704,4.51673043547005,7.75350800466242,8.3087032912507,7.66643512274605,8.8036862128236,7.9270094343736,8.49448448359168,8.97055091942308,9.99219441541437,4.51673043547006,8.39296645088673,9.34285380227587,4.51673043547006,7.93697708164046,4.51673043547005,4.51673043547005,4.51673043547005,8.50607692745586,7.03088569596959,7.87698299586397,8.46431654158902,4.51673043547005,4.51673043547005,7.6029377877812,8.71541243689081,4.51673043547006,9.72614910939673,8.88315009649728,8.44368594120764,8.89431797396969,9.09834756079401
"hsa_miR_423_3p",7.54896681733395,7.71079384869172,8.31110826272793,8.08989494232338,8.038170250781,8.43731437543073,4.15285089740609,6.92843614366522,4.15285089740608,7.70893659908734,8.55254472605742,7.63795784434798,8.2606752730432,8.14948727586041,9.52791742075287,8.24135732452002,8.53886794631743,8.81335020827655,8.02687019763859,8.13583476236178,7.68398053569338,4.15285089740608,8.51299509464038,8.37607822662625,4.15285089740608,8.5138692972731,4.15285089740608,8.47804568758929,6.62259161326845,7.99034537692904,7.82816918191513,7.68630997567461,7.98447070467519,7.69931072556409,7.55265030611545,4.15285089740609,9.72615111490793,8.05662432121422,9.12568590071176,8.54516050124941,9.29640259049605
"hsa_miR_423_5p",13.2650052479827,13.9123073630456,14.2359150896112,15.032811258461,14.0953462346501,14.6285644024259,14.1701719960016,14.0705420492441,14.5162993479478,14.0475875108486,14.4253703901252,13.6307356733397,14.3216118021793,14.1972577723073,15.8593909691393,14.0643206102479,13.7946692776619,14.5369041811209,15.3529312052385,14.2706193411936,14.5901932510002,14.7247350263166,14.6967614950229,14.3300833215553,14.7998690686215,14.2471405397969,15.4522676916482,13.9562665956299,13.6343211662096,14.3754287022855,14.0466093085432,14.3655964807661,13.8357626938977,13.5686849159498,15.8052476123884,14.8772742068152,14.7674147615108,15.0187393267643,15.2260187962257,15.145259313967,14.3222463652458
"hsa_miR_425_5p",9.87884026698669,10.2281963978264,9.42592825221429,10.0524572492709,10.6431870925204,10.3308563859761,9.69362380072623,9.5840854241152,10.8388682756139,11.0315782150671,10.999159684882,10.6368606705695,10.9219270794457,10.5830130948985,10.7729363862152,11.7033311455558,11.4094487771978,10.9042048728799,9.86763253486137,10.9300318003342,10.8018515124416,10.3835662443809,11.3801731041959,10.8902407449453,10.8932517126555,10.0133159160195,11.0464994225856,11.1465302307638,10.4094672938535,11.33546168345,10.6441070639734,10.7052417589768,9.55854208766938,11.1046613070631,11.6823096368892,10.5067576264982,11.671853153006,10.3025207798496,11.4339903334825,10.6858149392624,11.818195481518
