"","HB2","HB5","HB8","HB9","HB11","HB12","HB15","HB16","HB18","HB19","HB21","HB24","HB25","HB27","HB28","HB30","HB31","HB32","HB35","HB38","HB39","HB40","HB41","HB44","HB45","HB46","HB49","HB50","HB51","HB52","HB54","HB56","HB58","HB59","HB60","HB61","HB62","HB63","HB66","HB67","HB68","HB70","HB71","HB72","HB74","HB75","HB76","HB77","HB78","HB79","HB80","SB2","SB3","SB5","SB7","SB9","SB11","SB13","SB17","SB21","SB22","SB25","SB29","SB31","SB33","SB35","SB37","SB38","SB40","SB43","SB46","SB48","SB50","SB53"
"hsa_miR_205_5p",7.52167205827222,7.00613625369966,9.68106775552836,7.89076094749238,10.213050514316,4.59836569660293,4.59836569660293,4.59836569660293,9.58892081999388,8.35063507771801,9.94708671083536,7.69708540106322,10.5619168663969,6.96756508321427,8.3006156935616,4.59836569660293,7.74158725253187,4.59836569660293,6.65152204549042,4.59836569660293,4.59836569660293,9.97477014754857,7.89778746331669,9.75487075950965,8.28424173272773,9.01937930134996,8.33113389575405,4.59836569660293,8.53020619608895,4.59836569660293,4.59836569660293,7.61429481880084,9.73455157853671,4.59836569660293,8.55079258274746,8.62077127388924,4.59836569660293,7.89838696816075,7.02440996152232,8.91755510408972,5.50387222413423,9.65727667125092,6.41125878828382,7.54807272497241,7.37055384460334,6.65100925231316,4.59836569660293,10.6969770340892,7.31990744368254,4.59836569660293,7.69136644557736,6.82205701856651,6.82205701856651,6.82205701856651,6.8220570185665,6.82205701856651,6.8220570185665,6.8220570185665,6.82205701856651,6.8220570185665,6.82205701856651,6.82205701856651,6.8220570185665,6.8220570185665,9.20990008904382,14.6596510873976,6.82205701856651,6.8220570185665,6.8220570185665,6.8220570185665,6.8220570185665,6.82205701856651,6.8220570185665,6.8220570185665
"hsa_miR_20a_5p",8.84666995461059,8.87613548185696,5.52936523726817,9.34144944463674,5.52936523726817,5.52936523726817,5.52936523726817,8.57541895624231,9.82605794793752,9.24351274697176,9.77135947449348,9.0422402312485,5.52936523726817,9.29986162123547,9.35490235722189,8.47470857019266,9.2074036906605,9.19622960824122,9.47593958699374,5.52936523726817,8.85517227599626,5.52936523726817,5.52936523726817,5.52936523726817,8.67810273834879,5.52936523726817,5.52936523726817,5.52936523726817,8.96303988810354,9.01975077683808,8.97542726348847,9.23134752721713,8.75565896027903,5.52936523726817,5.52936523726817,9.55098391801094,5.52936523726817,8.17635037470598,9.40726953485684,8.62563992161088,8.73842515349066,5.52936523726817,8.56472651269476,10.0545715433716,5.52936523726817,8.55782460928276,5.52936523726817,8.85776557778924,9.72043820214149,5.52936523726817,8.67273548736464,9.12629847532421,9.42954659978146,8.52405293905706,8.60347130050044,7.77281919131531,8.56247923666334,7.97897547577453,8.65731549325893,7.8247776546649,7.93657964691882,8.71661601073203,8.36293308840603,4.18535645301215,8.9381057402391,8.93629228727881,8.44079632899416,8.46940981025277,4.18535645301215,4.18535645301215,8.50981788136781,4.18535645301215,8.7786027955377,8.58531678220067
"hsa_miR_21_5p",10.6633717572826,11.9299894006493,11.8537945112729,11.2601863694336,11.4223400990427,10.7879734463201,11.5886450659871,10.7581378751984,12.5475954171619,11.9431170239037,11.4040010285432,11.5672579935929,11.1738926449941,11.1475029390801,12.7502209270115,11.7995672440879,10.9916027852674,11.1984134584141,11.668520610184,11.7180851528451,12.3397514173571,12.075427498005,11.3036826977242,11.7962335220287,12.6040968966104,12.1697962704881,10.881549236604,12.2419725234755,11.4924177528775,11.5349799867913,10.4769598021643,10.9247497797867,12.0483965808492,12.9047928738553,12.2634212307604,12.7326004953414,12.1968748728211,12.91961072828,11.3219112343487,12.2026930433879,10.9990174189022,12.988969255356,11.3373042974781,12.6416848982758,14.0347314178437,11.1211349730331,13.447079840946,12.391404860426,13.526998134054,12.9582601331622,12.1136363943661,12.2605717180727,9.42939839624237,12.3294270080792,12.3528370964656,11.6596103147601,12.521177264936,12.4526410784793,11.9850244048734,12.4371075842922,11.8317961772007,12.8718870446276,12.8349592676059,9.42939839624237,12.4023763972798,12.5410373862679,12.1132213929523,12.1442505386945,11.9164980997057,9.42939839624237,12.8173224327232,9.42939839624237,12.522236241019,12.19259885296
"hsa_miR_22_3p",7.9705379474253,9.3582817085955,8.59272696965339,8.38799759557003,4.8910073609717,4.8910073609717,8.77291530071963,8.31714137695279,8.65254742517136,8.47922309258726,8.86950159736488,7.63836621906179,8.54391580140714,8.18596592817391,8.4364465353942,7.81026145944578,8.76424025383101,8.52539141523505,8.52878013562201,4.8910073609717,4.8910073609717,4.8910073609717,8.60070159030632,4.8910073609717,4.8910073609717,4.8910073609717,4.8910073609717,4.8910073609717,8.29426724080544,7.55945729546313,7.18002373939739,8.46493796838604,7.97026100637307,4.8910073609717,4.8910073609717,4.8910073609717,4.8910073609717,6.67277142337063,7.81710866165529,8.74679143917732,9.86859677301133,4.8910073609717,7.02158794680223,9.60015938061772,8.9327784805484,8.09720070914432,4.8910073609717,9.18373219766614,8.78189422055273,4.8910073609717,8.27873808639274,5.78388885399621,5.78388885399621,5.78388885399621,5.7838888539962,5.78388885399621,9.56448606886821,5.7838888539962,8.43588640766808,9.76614608827932,9.06887532622625,5.78388885399621,8.58058901345565,5.7838888539962,9.02589296729371,5.78388885399621,5.78388885399621,9.41761048159874,5.7838888539962,5.7838888539962,9.5330594599519,5.78388885399621,8.52088957830818,8.89918294417197
"hsa_miR_221_3p",8.61559698971959,10.5372389769339,8.75302314416455,8.47133947876951,9.82981958423555,8.72884369997813,9.62757137361017,7.40008760551961,9.96970824274977,9.01806787872833,9.11698271829608,8.66015279981888,9.54498029532751,9.5798007562546,10.4325874621626,9.375532221867,9.07372935999634,3.93394027963726,7.87686392799401,3.93394027963726,9.08659469494371,9.89270669526285,8.06433752261615,10.4454618587474,9.326509621831,9.02484209076005,8.59178023299571,10.5278299782621,8.23590661933486,8.31094607359222,6.68568079085637,8.85891527337482,9.04750857581231,8.7413998348112,8.37839457535371,8.4290676933359,9.09977901078567,8.50903535082574,8.02778081365232,9.94016997845602,8.71035503618177,8.98209865808117,8.05589514195567,10.4398088591081,10.4676727796408,7.55127515867302,11.5896843216883,10.3001766232307,11.6841358690274,10.4201710880378,9.7220576427855,7.18004679237143,7.18004679237143,7.18004679237143,10.4757491393194,9.57082130983909,7.18004679237143,10.7956867098645,9.96245872096428,10.5845389957823,10.1066509099995,10.5725616439149,10.5173393965239,7.18004679237143,10.5609797454582,7.18004679237143,9.7318122636337,7.18004679237143,7.18004679237143,7.18004679237143,10.8953875169316,7.18004679237143,10.3893623817674,9.91631011062998
"hsa_miR_223_3p",12.4198495763357,12.753547666577,11.8722553075779,12.2165035831408,12.553981025138,13.9162225134965,12.8325437832525,12.3051795064938,12.8414511087406,11.6326161294208,12.8366296876639,13.5425003248633,13.4106063609924,14.089024387013,12.9673346475196,13.9724115704164,13.4647075881615,11.8894719443808,12.0137940868756,13.1820601695243,12.283181175035,13.2900866974363,12.2282028725639,14.4769553040288,14.0856622827614,13.1592038991496,12.404665168563,13.7664896413019,11.7277499578981,13.529760953648,10.8914437671117,14.1603453293126,13.8662508804177,13.4405084878178,13.0315523639633,12.0231304874452,12.934637282189,12.4484856098948,12.3167107306241,12.9475126697678,11.5523264890179,12.8203398993892,12.1900857699426,14.9524585241453,12.438287137545,11.5591481592844,13.0484805383829,12.4794798871944,13.3819406201156,13.142297906295,15.2946968094195,12.466000111951,12.3260886930843,13.1529166295586,13.1763562903615,11.4053214273056,12.420087808167,12.6497242056563,13.3170829810127,12.709317399929,11.2663781208237,13.4579592303867,13.6250174619012,12.3119224005901,14.5657521166447,12.0408798075334,11.8250279918592,13.6539273265882,13.2893641273431,12.4580621813584,14.0261480548211,13.2579141234622,13.1918670981989,14.1062750169723
"hsa_miR_223_5p",7.68946032756004,8.90105112616862,5.31009603120826,7.89397477089765,5.31009603120826,9.89036203700334,5.31009603120826,5.31009603120826,5.31009603120826,7.64350938867558,5.31009603120826,9.68026313841324,5.31009603120826,9.64749214225043,8.58428189530528,10.0911137469535,9.21707866804894,5.31009603120826,7.87597350164033,5.31009603120826,5.31009603120826,5.31009603120826,5.31009603120826,10.5607674819575,9.52193033139844,5.31009603120826,5.31009603120826,5.31009603120826,5.31009603120826,9.04684092714522,7.37240438578029,9.18565854217098,9.49314821559019,9.09016333603,5.31009603120826,8.50198197044575,5.31009603120826,8.35935724433426,8.41673860437603,8.57327997687699,7.3004775134198,5.31009603120826,8.01774153577148,9.60804319702687,8.25587910543811,7.30492881211432,5.31009603120826,8.73217231275225,9.57857925442636,5.31009603120826,10.2564059353807,4.72833429695598,4.72833429695598,8.53250782478178,4.72833429695597,8.10515474511333,8.93792300805334,9.01640702507074,9.38795176970983,7.89166073152364,7.743130720351,8.43569563922754,8.44871088140774,4.72833429695597,9.09712997599822,4.72833429695598,8.85564332574236,9.01567430309525,4.72833429695597,4.72833429695597,8.46103405430545,8.71912869271134,8.05402488504869,8.23027420658164
"hsa_miR_23a_3p",10.2967688094808,11.322723129513,11.0048956910642,10.0830506033155,10.9906342830611,10.9804776733655,11.4096824058642,10.3155300853545,11.5051281808302,10.6309931054408,11.8620196441753,13.0283149689507,10.9469906867956,10.7242940889894,11.2267386347824,10.5489407063051,10.9024481556336,9.20573305564053,10.0119886315726,4.45096394518497,9.53289559227489,11.660903299137,10.193428829309,11.4034731022132,11.364968029831,10.590867652007,10.2789027586638,10.6609904117116,10.3094025763704,10.2517804643748,8.70838706321577,11.7742143067045,11.0822721852877,11.3887796155221,10.8394621511297,10.8279270161452,10.0600916961107,9.94312875038108,9.89666187800573,11.4468311429865,8.6954858684815,11.3843038913423,9.71710591664465,13.23217504705,11.7962873773332,9.39291956232996,11.763778686369,12.7996079688351,12.0541355916949,12.0463892766774,12.3415888599068,6.44819834045332,11.5034768138798,11.2183885731051,11.0739882099526,6.44819834045332,10.9238610455026,11.0825748938025,12.0504027926916,11.5408124011574,10.9955300367474,10.8658438348055,11.7874634668084,10.0404617278414,12.1516789768947,11.6063820920951,10.5873872151887,10.6281541041625,10.9516449542257,10.1978865241861,12.1686732489321,10.9788073210136,11.1585505913807,11.1799188015467
"hsa_miR_23b_3p",8.178572638847,8.61426105867852,9.39826830327978,7.70189510447428,10.0896051949592,5.01092601009316,9.69771520693231,8.01558609511794,9.97185080729324,9.28861466966016,10.1756435929421,9.44849527152772,10.3480860410236,8.48675192769144,9.39788344192228,5.01092601009316,9.19618292850443,5.01092601009316,5.01092601009316,5.01092601009316,5.01092601009316,9.14684603438741,9.12539720915923,5.01092601009316,9.94997572886398,10.3272596529987,9.51172234781597,5.01092601009316,9.01383885008451,8.17506211585012,7.62798989456985,8.13710542793558,10.2885458799399,5.01092601009316,9.15121105457033,8.70367813109222,8.38942555194727,8.12034298478394,7.63974762035751,9.37828762031845,7.32061881512793,10.1274083682432,6.97534710719463,9.63361643920897,9.16834620830124,7.77239178804471,9.8697934298143,11.6192808156555,9.43926596031538,9.98469446394776,9.14747272031703,5.48324097317482,5.48324097317482,5.48324097317482,9.75697670028106,5.48324097317482,9.07249504390398,9.24284038191151,8.80853028050389,9.54936007467751,8.69994581453499,8.83112944914608,10.2167859537434,5.48324097317482,9.53763926467071,10.6601540590968,8.52761501612855,9.06323569964622,9.51507511159935,5.48324097317482,9.95732049514627,9.61249986641898,9.32827433448316,9.46134707984322
"hsa_miR_24_3p",8.52689956017624,10.414519323696,9.36598640187792,9.37278708615142,8.98880156582886,9.44239305123559,9.97854682486876,9.73468258159055,10.1578151074581,9.09340915789818,9.92727564509574,10.3315269611318,10.3153714179551,9.93536514493044,10.6607003863253,9.60018432224591,9.31416165168952,6.03148614016717,8.83933781786104,10.360452660455,9.64449585330403,10.891940092255,9.56492834310392,10.1990791226101,10.5114326342243,10.2477152418817,6.03148614016717,6.03148614016717,9.75862019121792,9.82458132268463,8.34503658282633,9.73397051482353,9.43545070536761,6.03148614016717,9.61851105822975,9.51751047684257,9.1766813664742,8.99692825624503,9.38217059773305,10.0986093714313,8.97864288842433,10.5090110370652,8.88440912424696,11.0357353439666,9.59687987070428,8.72213306214421,10.4757024298744,9.71485317006118,10.4650766878974,10.2707565376501,10.7788928777378,9.86097159717011,9.86900624426748,9.21873849575057,8.59157323371148,7.6959006780632,9.23899334817137,10.1918068489908,9.70318623007215,9.78379538969268,9.34409896032333,10.9388406368384,10.3865717153018,7.52536842771347,11.0024929065647,9.24488551702039,9.14326011366,9.53321113389451,9.21679435312806,9.04821342658627,9.90451273880296,8.86457331005353,10.0002600026666,10.1357873456461
"hsa_miR_25_3p",11.3304810304232,10.5446160160272,11.4066705198059,11.6056816666153,9.59843937514968,10.4368755454963,11.2102532816481,10.972673790201,11.5044984121213,11.7307342309992,11.2385744998595,11.7308696211843,11.0267667646657,11.4752819479366,10.8056180482637,10.7566566901192,12.1727394578095,11.0517238736693,11.5490731621808,10.4049153140084,9.97110146625793,10.8628681186692,11.1091564339428,10.8309334108545,10.9592010338085,11.3788899732357,11.4313127282904,11.4510249262999,11.4963589060898,11.3170962165651,11.7717429563483,12.2505506428223,10.9617518512102,11.7997489443808,11.0855523203277,11.3603937985896,11.4256805450283,11.156604888813,12.3594466975198,11.9913759966573,12.3705761427408,11.3980442772255,10.2529484897655,11.5650187529393,11.0678552763529,11.086258295478,10.6227681734516,11.4411819595024,10.9838456905602,10.9981600840188,11.2877063423791,10.130033921237,10.130033921237,12.4714367014991,10.130033921237,10.130033921237,10.130033921237,10.130033921237,12.7804538729942,12.1388655605329,12.4699208110949,10.130033921237,12.1144952131945,10.130033921237,13.0855024970851,10.130033921237,10.130033921237,12.2533767942189,10.130033921237,10.130033921237,12.6535545089293,10.130033921237,12.2685949459156,12.1099849028835
"hsa_miR_26a_5p",13.8172238821166,14.0892829293578,14.2742505305649,13.6346155332083,14.1037512128543,13.8784408588903,14.5147846431129,14.2433733356839,14.9461210598458,13.892593591816,14.2252128010591,14.0076858368761,13.7583588774077,14.4788902867774,15.0408697444459,13.9354570625913,14.1183374992409,13.8531943123658,13.7917107008323,13.8076347631322,13.691031145395,14.7412759285406,13.8570120895755,14.2430127269729,14.7558995139381,14.4845335435681,14.1760596358887,14.1222170208229,14.0556128253733,13.792001764776,13.705743069412,14.1869298078563,14.2568576089748,13.8343064428829,14.3458514268735,13.9796378168604,14.2926239616836,13.7961467777442,13.5137256712239,14.4651725152672,12.8959729213592,14.5566512956352,13.4577242243786,14.6965072496246,14.2986225668235,13.1838689759411,14.6176791135452,14.3019924568278,14.290572272668,14.6937176647958,14.7182147617144,13.7675817390728,14.2140575098812,14.5146848478048,14.5011045677055,13.2953598910941,14.4528828836761,14.7574476836303,13.779555580964,14.1765846623528,13.9728356760478,14.8430462976037,15.0350336443977,13.5420385511904,14.3986174158975,13.5595086777893,13.9794805277386,13.9566727727217,13.8121672603256,13.7838091774001,14.7572049566938,14.1915588389266,14.412839089506,14.3023000604139
