"","HB2","HB5","HB8","HB9","HB11","HB12","HB15","HB16","HB18","HB19","HB21","HB24","HB25","HB27","HB28","HB30","HB31","HB32","HB35","HB38","HB39","HB40","HB41","HB44","HB45","HB46","HB49","HB50","HB51","HB52","HB54","HB56","HB58","HB59","HB60","HB61","HB62","HB63","HB66","HB67","HB68","HB70","HB71","HB72","HB74","HB75","HB76","HB77","HB78","HB79","HB80"
"hsa_miR_103b",7.90045306570458,7.73944113030807,4.78034942759191,8.24634985715062,4.78034942759191,4.80532930912897,4.78034942759191,4.80532930912897,4.78034942759191,7.74103337093592,4.78034942759191,8.17470494730752,4.80532930912897,8.51109196010015,7.83538019723563,8.64463724070477,8.69606375870601,4.78034942759191,8.30986103423732,4.78034942759191,4.80532930912897,4.78034942759191,7.97078934075217,4.80532930912897,4.78034942759191,4.78034942759191,8.47522554911148,4.78034942759191,4.80532930912897,8.58348448536064,7.97852458263268,8.31592318807538,4.78034942759191,4.80532930912897,4.78034942759191,7.79579540897283,4.78034942759191,8.32980314413313,8.64360903384633,8.11999940125197,9.86091569830141,4.78034942759191,8.44729915514878,7.0988249902118,7.89992262677699,8.17798638017256,8.37278268293167,7.97484172537594,4.78034942759191,4.80532930912897,8.40667049167723
"hsa_miR_106b_3p",8.67478223668613,8.20666597648582,8.3134391326363,8.40714321380794,4.33185796308311,8.39205027318664,8.63894404300691,8.62620567255428,8.72340533639065,8.52331373818487,7.83022873808428,8.71425962544453,9.03293612875621,8.69578458667486,7.56988855399921,8.63420012150981,9.03170600162328,8.57080000726718,8.67591038309486,4.33185796308312,8.227953524028,8.43826322191188,7.96844907776011,8.76460192915376,8.65099084171716,4.33185796308312,8.79403638137422,4.33185796308311,9.4258852676392,8.20805873338636,8.64499432874941,8.64930586880595,7.85013107463374,8.65987137994205,8.69695025690816,8.63483751429594,8.37867007402331,8.25074161436783,8.99433020733109,9.11362034323399,9.34764060940028,8.05639606662018,8.11390876792034,8.86976345097372,8.49936471574708,8.41218063289939,8.45136900763215,8.36331602316695,8.84325042074774,8.74466161149095,8.67858859412993
"hsa_miR_107",10.1014427416619,10.4721165879704,10.5921121191247,10.1544365353168,10.2614473629162,10.0507092016457,11.1361727306837,9.6843822099805,11.3993042568477,10.7282115874246,10.4143310888694,10.1873816550037,10.5407345002587,10.504225808928,10.6048301363523,10.7314017412604,10.4621728200934,10.0543557098873,10.5532291104017,10.1259154776121,10.0421721999255,10.7241541751349,9.84239197804348,10.4505161733125,10.6089867716146,11.243417724122,10.177461175206,5.50060639488432,10.2918649954991,10.3724690621004,10.1373305340382,9.87898024401248,10.267736469671,10.8250121217252,10.0944669279649,10.4944978836125,9.90856796869347,9.81511417136081,10.5624674577203,10.7743530317396,11.065215455895,10.7532971243616,9.60319076461518,10.7707412673221,10.0575196409307,9.9361048033695,10.2492072727886,10.2140862751286,10.0262410814233,10.9541311045699,10.5007279630228
"hsa_miR_10a_5p",10.373570675556,10.7728254071978,11.0416640082003,10.5344331220462,10.8071403833982,9.55676453504919,11.1523069105272,9.48922537947251,10.6937717535342,10.1721388522269,9.72454555691704,9.93280610189968,9.73738520493283,9.99423716050867,11.7195983795825,9.15759726388143,9.71404688961998,10.7062632294657,9.10307862056906,5.86290699821252,10.5403158846549,10.6899556905585,9.59792125647887,11.4322039237062,11.8764457884805,11.4152897973113,10.6600277781604,5.86290699821252,10.8075734604728,10.4849634680792,9.24814960360955,9.66539229549816,11.0967209438862,10.179435374113,11.4680675254664,10.9008213881293,11.0339031779148,10.1948588040989,9.52051202155221,11.0058349147983,5.86290699821252,11.6466057724593,8.59490024405252,9.66284929160172,11.4619624341701,9.12048958272402,11.5120379467299,10.8472107113937,10.8962578439533,10.809913676595,10.1815890633286
"hsa_miR_10b_5p",9.22364095239977,10.3154073051782,10.3235207701139,9.5047336756024,9.24400437722533,8.84335524994964,10.2970461012044,8.95177242743554,9.93093332777571,8.88816322334265,9.09111376226846,8.38588011777267,9.57143973440661,9.5666615079035,10.9452502411969,8.01735973869193,8.42411374693945,8.18766371102722,7.84930260071536,10.2493387946732,10.1857537891551,9.71844485236381,8.61406413569404,11.0801353520171,11.5562436410424,11.0340428144285,9.96605840449983,4.00505877429244,10.33903897772,9.66255747982242,8.57648886318839,7.61307352973209,10.5643079815966,9.16756750356157,10.6639836153881,10.5290441013121,10.3482911422742,9.53674128784591,9.3288682680851,10.5554766546404,5.69021856104875,10.9005174311918,7.55148791917954,8.85061008316782,9.89914687341625,8.12160572211849,11.1365986164969,10.49411557708,9.81232827687279,11.0257645642582,9.55316628851216
"hsa_miR_122_5p",13.491253176517,16.3367668927108,13.8349834348149,12.426940014173,17.4138734766771,15.013985230036,15.5913024677879,13.4812105609734,15.8678104371796,14.3780947800414,15.6853771212805,12.8952608722,14.3892481675176,13.0345695859458,14.4868384394503,14.7702305478862,16.8639486945995,14.3495451382146,12.1333750026939,17.9680678221053,18.0614054881053,16.4179457212805,17.8040875108786,16.648670032674,14.8726578524352,14.8665969232794,15.11987363118,15.442931262608,15.1771973233998,16.1911776125762,12.6072516466217,13.0549297455521,17.1022043962606,15.3162572615414,14.8385896688185,14.0010073617211,14.9053242843436,14.2786765102081,12.9877289460301,14.7949975128366,10.3905565341301,15.2998887120872,11.7352310055905,12.3173489208905,18.0697271204529,13.62899426091,15.0623829053038,14.3846797930923,15.7929272994958,15.2171735301227,13.615632193342
"hsa_miR_1246",5.31521473627189,5.31521473627189,9.74343924156945,7.65170746926477,10.8545607965754,5.31465931701785,9.64916812243211,5.31465931701785,8.87095494813272,8.01655779935667,9.81775982151608,8.22546058811415,10.2851751659635,7.43682481077844,9.25114530288756,9.12582497774903,8.29424022844268,5.31521473627189,5.31465931701785,5.31521473627189,9.18282734607272,9.73900224909125,5.31465931701785,9.75379159025707,9.53621838612557,9.91885680566096,10.042587827813,5.31521473627189,5.31465931701785,8.20362083353287,5.31521473627189,8.54387884766661,11.2719630334461,5.31465931701785,9.15451889458088,9.04182130745387,5.31521473627189,8.8005905986658,5.31521473627189,11.0255071869018,6.54493112445189,10.2523058686507,5.31465931701785,7.10633257750182,8.23763839432353,7.67459667178397,9.76889159136576,10.1939627103543,5.31521473627189,5.31465931701785,5.31521473627189
"hsa_miR_125a_5p",9.77627856978849,10.7035049922282,10.4679310042576,10.0899707837896,10.5227097588266,9.30395125544853,10.4867938016742,10.0947908053967,11.1369150203774,9.3127053030894,9.24260289227,8.66245140988722,9.97795969761103,9.96084729197795,11.7071891901857,8.61359600489062,9.65930857345039,10.3662141720672,7.76998816171385,9.88563233819799,10.2575352758128,11.4760719299556,9.55299492152141,11.2689579407623,11.7550372994753,11.6169657966644,10.4507067261799,9.31511380272774,10.5758506193447,10.0367082471098,8.18648306935075,9.19559378743715,10.6164572415835,10.1928155870425,11.1887068005226,10.4079108074882,10.3973210219594,8.73660073147062,9.20905760854814,10.9563198293968,5.95670918179319,11.7940184441242,8.18962003646202,8.92157628304146,10.4746819143451,8.43695378476008,11.5415866527125,10.8748572783875,10.7978456773236,11.401565060246,9.74699546663827
"hsa_miR_125b_5p",7.86737462977251,7.60256170393342,8.07278088989,7.32331415626814,8.57666460307568,4.43315081221744,8.16495215914382,7.96424971133358,9.21444697759652,7.80081120044423,7.99563787274255,6.49844536214375,8.20685287911494,7.70918876817083,8.78518304295652,7.17213221577472,8.40755031964521,8.05699422692845,6.79959781378773,9.21027233697763,8.79298381051908,9.47939543214502,8.73370061946265,9.93441056874124,9.6099636590836,9.19652318506482,4.45631437177684,4.45631437177684,8.57210581567905,8.00307902800141,7.13062982381334,7.28373507017947,8.93641530542774,8.23790972857899,8.38972297938128,8.32061260772272,7.70882011406423,6.75074988761648,7.45021665376621,8.41781801965114,6.01181571842132,8.88035966956195,6.28200496274089,7.80015523548661,8.12936899518366,6.49735436952908,8.44718017115672,7.40879831852211,8.07605407437775,4.43315081221744,7.31927184402773
"hsa_miR_126_3p",14.4327170422393,14.7155935070033,14.8646400480838,14.3681526227994,14.6343854615019,14.1659758647792,14.7674545850638,14.6574105653255,15.2803250926457,14.249956932308,14.672039698309,13.8353847518009,14.8709373555914,14.2661134350785,15.6616006905257,14.0246205257609,13.9582195051021,14.5029724943565,13.3918979180533,14.5925656020833,14.7913522254054,15.1126344016709,14.509273245352,15.6874575122769,15.3751215101226,15.5300564972152,14.466381294336,14.6171457241949,14.8156423020047,14.4481750210085,13.44381437233,13.7673743880154,14.5513791451089,14.533819595442,14.7684633377687,14.8385614675515,14.748166223261,14.1458949450529,13.8387103601265,15.017808344303,12.5598705543354,15.4494372192727,13.1519034494793,14.4924427483186,14.746929910786,13.3361734165352,15.7547880036556,15.4225234777478,15.1985974936508,15.6346689411422,14.422113179855
