"","HB1","HB2","HB4","HB5","HB8","HB10","HB11","HB13","HB15","HB17","HB18","HB20","HB21","HB23","HB24","HB26","HB27","HB29","HB30","HB32","HB34","HB38","HB40","HB45","HB46","HB49","HB50","HB52","HB54","HB56","HB58","HB60","HB62","HB66","HB68","HB70","HB72","HB74","HB76","HB78","HB80"
"hsa_miR_103b",7.83340714222794,7.45490416658855,4.54738284860819,7.30169045964598,4.467601378279,4.54738284860819,4.467601378279,7.69892593028324,4.467601378279,7.25396573004312,4.467601378279,7.6124782079892,4.467601378279,7.29580425109783,7.70930000690822,7.52318049303864,8.02443373206996,7.8309536620319,8.14931165330892,4.467601378279,7.4860429405836,4.467601378279,4.467601378279,4.467601378279,4.467601378279,7.9928200730196,4.467601378279,8.09308829942462,7.52851340900963,7.84329269907391,4.467601378279,4.467601378279,4.467601378279,8.15016036726676,9.28322476980212,4.467601378279,6.70009099246043,7.44990021037905,7.89424915328928,4.467601378279,7.92599523260244
"hsa_miR_106b_3p",7.65783309584,8.12416963383329,7.462340273096,7.68839697413468,7.78934030362606,7.64461691408596,4.02624690492081,7.15115656382102,8.09001363255689,7.88850327752344,8.16597945282984,8.29893197997002,7.34154148923014,7.8120912361876,8.15854995263619,7.72699004805399,8.14250449094309,8.43819320461868,8.08582050440009,8.02889076120165,8.18250943119015,4.02624690492081,7.90684341700733,8.10119562875699,4.02624690492081,8.2352632653208,4.02624690492081,7.69233324772995,8.09722007643776,8.10062037409489,7.36054052157272,8.14563520713318,7.84907149296813,8.42063144952682,8.74593529241891,7.55329745529337,8.30129275992123,7.95718058701943,7.91532873480842,8.27660561645359,8.12561212561768
"hsa_miR_107",9.6726970261136,10.0605561901318,9.98617325256535,10.4100093098837,10.5263043529258,10.4220265190212,10.2128489639053,9.81052247646867,11.0424912054096,10.1844398018377,11.289984533595,10.4467886428403,10.3571492197205,10.0621343696369,10.139984455545,10.60544555463,10.4421995824893,10.5579469798537,10.6583039866553,10.0167443537482,10.7536715469909,10.0853974059951,10.6538917714767,10.541853053608,11.14701248016,10.1336951107753,5.59886016720406,10.3182023675408,10.0953149209463,9.84902311044515,10.2184400598144,10.0549515963505,9.87591110235137,10.499798072329,10.9760513408989,10.6815742415571,10.6931532464986,10.0137353192204,10.198682766669,9.98551314525153,10.4378128920857
"hsa_miR_10a_5p",10.196365394858,10.4239937850144,10.6547660450246,10.7913728148944,11.0427241199603,10.2569515180592,10.826143496715,8.48956142541327,11.1447136381156,10.4154740482726,10.7175833400968,9.18247011154688,9.8208506542707,11.4588737096374,10.012834268196,11.1783188592258,10.0709232650395,10.5500657009533,9.29358855104255,10.7333962423516,9.8970162372987,6.15588335783582,10.7188838763414,11.815367847639,11.3909314114693,10.6904506064447,6.15588335783582,10.5273252557792,9.37928245297224,9.76666785439506,11.0940924982714,11.4392701651664,11.0348549443498,9.6330368701863,6.15588335783582,11.6051492195854,9.76109412057476,11.4275770526994,11.4766598158981,10.9050512261823,10.2437603747706
"hsa_miR_10b_5p",8.45760004108391,8.91075583369407,10.141195513466,9.94704699507169,9.95746885669269,9.13307091021566,8.93038632666224,5.91384100810997,9.93165362159231,8.52591432433905,9.58046431940343,8.23166538221401,8.78351677642598,10.3444422223404,8.1091054240848,10.1223863484266,9.23619437800387,9.6152478953271,7.75864153806872,7.92346219162213,10.0519996179828,9.8893997232263,9.38397118143487,11.1295968522802,10.636041416998,9.6189092568118,3.83621358472876,9.32892977516188,8.2943718044964,7.37282602542859,10.1870363264267,10.2833314666558,9.98022395786052,9.01229863971479,5.51742138249806,10.5090200311949,8.55124858062111,9.54818602868974,10.7289229498894,9.46732274034355,9.22209912524096
"hsa_miR_122_5p",17.487463524618,13.47347900336,14.2310372777468,16.2056952206491,13.803309319296,16.2912851792141,17.2445723789637,11.4572886416779,15.4911240118737,14.7648661992412,15.7542860033196,15.2763777762492,15.5818834986988,14.9746273116024,12.8978113887738,14.6809805751476,13.0330405328415,15.57926486377,14.7020616038244,14.2997537396615,13.8505416652565,17.7788913420423,16.2888280337336,14.8003376552868,14.7975300398619,15.0401943307168,15.3515659337777,16.0690580204253,12.6242102572328,13.0539705726067,16.9445333437117,14.7699739835193,14.8314971106447,12.990591179532,10.4904037005225,15.2140592156802,12.3408099793995,17.8689220319645,14.9812231349731,15.6820847154972,13.5905048204538
"hsa_miR_1246",8.07681925096031,5.24554416459288,9.58854008557092,5.24554416459288,9.57329191015064,9.46443195918226,10.6362717400488,6.33752330207222,9.48250562544898,5.26915068634945,8.73432305641006,11.194919497282,9.64414844483431,9.56913554316838,8.11492503131023,9.09630189664032,7.35370537182633,10.1102438534855,8.98140262391253,5.24554416459288,8.93711122532257,5.24554416459288,9.57135015441353,9.37442303900433,9.74344098885448,9.86102198350862,5.24554416459288,8.09615683465212,5.24554416459288,8.42363414970976,11.0344321862484,9.01091882137581,5.24554416459288,5.24554416459288,6.48270270211688,10.0623185984134,7.03041124878887,8.12388073566514,9.59572775388268,5.24554416459288,5.24554416459288
"hsa_miR_125a_5p",9.61925648154825,9.45533465034013,10.7060067084249,10.3104795513494,10.0952403829357,10.1395801547527,10.146916939109,6.25312780390956,10.1120455201842,9.95980004887434,10.7110485924992,8.49291394397507,8.95979524125436,11.1128707849425,8.42002394451406,10.7497270750183,9.62484776852946,9.89652752242983,8.37643502162553,10.0029707520094,9.77258175966782,9.55862889992763,11.0312852293894,11.2861595508574,11.1616973963359,10.081102072248,9.02997982383652,9.69662329063949,7.98190550481061,8.91723584647048,10.2332334777143,10.7645842004573,10.0289807400806,8.9310609388677,5.90257189360994,11.3255710230439,8.65897627552327,10.0957681964968,11.0869414428432,10.3969112091955,9.42541039252994
"hsa_miR_125b_5p",8.05173594072098,7.36929216731978,6.98640649864576,7.11697432312757,7.56227760971833,7.76999333404537,8.03710964032019,4.90161732239495,7.64856798524853,7.63918609668899,8.63294424202325,6.85984508497874,7.48939962027666,8.46726487922043,6.07167812481295,7.96513283766539,7.21908617538078,7.53537806605999,6.71209339643842,7.54883317036278,8.05188819602529,8.63381878085365,8.88651296774814,9.00652694830655,8.62090633329935,4.08133834643786,4.08133834643786,7.49718419968963,6.67414725039522,6.81843162471473,8.37486454484516,7.86208495911154,7.21865884491912,6.97671950730084,5.60828329264598,8.32390059591879,7.30282085714403,7.61131694071811,7.91293248226577,7.56255180569846,6.85003460865701
"hsa_miR_126_3p",14.525257128761,14.4864989413937,15.261487436081,14.7528669631037,14.8971869931164,14.8363480913845,14.6787326535763,12.8219010395056,14.8040979959177,14.4452769854975,15.2900271164785,14.3350366325348,14.7135428036962,15.3660534926601,13.9152955589236,15.2564577328604,14.326630348502,14.8803515139272,14.0969724794438,14.55440900707,14.7134010015344,14.6403708367228,15.1355724410398,15.3827441269024,15.5330225708524,14.5194727368198,14.663776152917,14.5012524770745,13.5454550357086,13.8529333071158,14.5992869076023,14.8072833936804,14.7855551796125,13.9219979553851,12.7026682909259,15.4562613162467,14.5398233818193,14.7803434153193,15.7428691768552,15.2120111622663,14.4740633582507
