"","HB1","HB4","HB9","HB10","HB12","HB13","HB16","HB17","HB19","HB20","HB23","HB25","HB26","HB28","HB29","HB31","HB34","HB35","HB39","HB41","HB44","HB51","HB59","HB61","HB63","HB67","HB71","HB75","HB77","HB79","SB1","SB3","SB4","SB7","SB8","SB11","SB12","SB16","SB20","SB22","SB24","SB28","SB31","SB32","SB35","SB36","SB38","SB39","SB42","SB45","SB48","SB49","SB52"
"hsa_miR_103b",7.86225304321857,4.59548626438517,7.86405205472219,4.59548626438517,4.59548626438517,7.73011769478568,4.59548626438517,7.29336408683009,7.39924092705894,7.64587208516225,7.33538144517858,4.59548626438517,7.55904548756772,7.48553628711066,7.86002454980643,8.27576460511042,7.52048133125288,7.92232981445623,4.59548626438517,7.61094016750642,4.59548626438517,4.59548626438517,4.59548626438517,7.44986984057292,7.94020241124012,7.74718011009267,8.04797008160604,7.80126827280425,7.61397025231292,4.59548626438517,6.65480660892731,6.65480660892731,6.65480660892731,6.65480660892731,6.65480660892731,6.65480660892731,6.65480660892731,6.65480660892731,6.65480660892731,6.65480660892731,6.65480660892731,6.65480660892731,6.65480660892731,6.65480660892731,6.65480660892731,6.65480660892731,6.65480660892731,6.65480660892731,6.65480660892731,6.65480660892731,6.65480660892731,6.65480660892731,6.65480660892731
"hsa_miR_106b_3p",7.67570992473221,7.4836554901426,7.87600796032235,7.66270273228262,7.86236997144487,7.17991820971305,8.07358887487045,7.90222331830318,7.98102783169988,8.30326758553175,7.82839353378362,8.44181994128801,7.74513404265629,7.11610144782891,8.4387562000445,8.43994711625584,8.18836066488023,8.11908530766549,7.71389644079771,7.47874131276502,8.20067833287742,8.79531090415247,8.10470545652804,8.08207084493148,7.73398083508268,8.51371824531627,7.61003061958314,7.8805574653257,7.83572462390244,8.18135616343689,7.91064771945658,7.91064771945658,7.91064771945658,7.91064771945658,7.91064771945658,7.91064771945658,7.91064771945658,7.91064771945658,7.91064771945658,7.91064771945658,7.91064771945658,7.91064771945658,7.91064771945658,7.91064771945658,7.91064771945658,7.91064771945658,7.91064771945658,7.91064771945658,7.91064771945658,7.91064771945658,7.91064771945657,7.91064771945657,7.91064771945658
"hsa_miR_107",9.54301873916867,9.92511355235069,10.0795180921559,10.4587179307026,9.95902166832792,9.71154933277569,9.53228637649621,10.1697893834451,10.7455673736838,10.4901367041708,10.0215167933974,10.5282396231638,10.6853465565757,10.6015161189701,10.625135960493,10.4360259852935,10.8635289126444,10.542579912833,9.94920978324968,9.71697081134703,10.4252490297246,10.2376128472005,10.8581326294773,10.4745676154308,9.68450956944804,10.7980620291541,9.43795259829082,9.82577900431044,10.1479761540958,11.0079196499929,10.7092170070502,11.0893888456014,9.83213603310895,10.3367564969023,9.76934511485491,10.1602382342743,10.1071506693073,9.5082877711808,9.66877148917894,9.56288372734424,10.0880273208299,10.4116217297383,9.83614736142938,10.9127152841424,10.6676527885297,10.7358669666756,10.0255879834487,11.5524075874688,10.2727199809716,10.2951830600458,10.2369160078352,9.93387521740162,10.0239450400913
"hsa_miR_10a_5p",10.2842125432514,10.7476649865005,10.665853104285,10.3455112610355,9.74622086257231,8.55165733800584,9.68191977265396,10.5072119368158,10.3253557312229,9.25679803011089,11.5647161201584,9.91648989721533,11.2806662788619,11.7767504716099,10.6427273292887,9.89371105296608,9.98048290408641,9.31791290160957,10.6714882459839,9.78509909108793,11.5096915147347,10.9210285232702,10.3324140962753,11.0098917194183,10.3463145829568,11.1073736515981,8.83593174644302,9.33438290427983,10.9587943325795,10.9245828593571,10.4441623668369,10.62386183564,9.52834469216805,9.67634318427608,9.78689312714976,10.8168411445184,11.4654090572983,9.74168473491399,9.86676769682107,11.3020372097224,10.3272076306134,9.71056276851102,11.7631839244821,9.95623956377299,9.34779114415749,11.0204667309958,11.1616065941635,11.3724968370537,9.89876555447171,10.0321717365801,10.3801811542013,9.77577359562852,10.2461001162554
"hsa_miR_10b_5p",8.65650106242896,10.4450576030446,9.44337370106266,9.37469807724695,8.77315474975946,5.94227504895554,8.88230508664095,8.7304414671259,8.8184629575618,8.41716418643066,10.6646963422589,9.51105466755198,10.4287200815421,10.8993520210417,9.8875813662801,8.34668007099011,10.3509755596493,7.76273314891297,10.1326773894804,8.54059008010526,11.0386074893264,10.2859713942403,9.10197125354968,10.4798104425077,9.4751602323885,10.5052071524268,7.45839753113962,8.03999357395727,10.4434925970585,10.9818679433295,6.9304248119306,6.9304248119306,9.6463628652304,6.9304248119306,9.70334386556201,9.86344894709202,10.6670265167148,9.61904537764608,9.49183984745336,10.3692216123927,9.8494033539,9.37787795678166,10.3598176024296,9.13939437997049,10.2036453472665,10.6850976988115,10.1671679586612,6.9304248119306,10.2327955619024,10.0556786614824,11.0197169780908,6.9304248119306,10.7009450922128
"hsa_miR_122_5p",17.3692561801393,14.2813075864129,12.5926749249305,16.2352503499618,14.9507827544653,11.6524490427013,13.5531207084036,14.7894973184328,14.371153683584,15.2742034448292,14.9894184680593,14.3815405291293,14.7110091808975,14.4694851791914,15.5606119874489,16.6357560426163,13.9211933823995,12.324945589918,17.727794978273,17.4933262368675,16.4420483664936,15.0981172128313,15.2263379091535,14.0277036851974,14.280100790807,14.7501665885969,11.96126077194,13.6885015124454,14.3765064802958,15.1360446916583,13.2690933187822,14.6574230582874,12.2984696249623,12.9277271495897,15.1436860789089,16.4776642379812,14.423598704192,15.5744929432848,18.0666840018948,16.1537801990844,16.2751022645046,14.3770577260756,16.6398382313888,13.1048616811976,12.0932546729889,13.9371225570435,13.9872442452586,15.3788708513287,13.9979443806869,14.6731036660155,15.8302573892154,14.0506978034399,15.9987480604986
"hsa_miR_1246",8.16149927902311,9.65458120705519,7.67655587918294,9.53297005537285,5.34532302817372,6.42929900394482,5.34532302817372,5.34532302817372,8.02628077441425,11.2405646930955,9.63854388198643,10.1767813024079,9.17167740507846,9.19927183288001,10.1704556876647,8.29079711426876,9.01199004587106,5.34532302817372,9.13554902668423,5.34532302817372,9.67691486270992,5.34532302817372,5.34532302817372,9.00198537881633,8.77258742068874,10.8730545640235,5.34532302817372,7.69854867316119,10.0899189583085,5.34532302817372,4.96982694972263,4.96982694972263,9.66906427475299,8.59860136152112,9.93296399613197,4.96982694972263,4.96982694972263,8.90566312000896,8.24374617592526,7.565496196995,4.96982694972263,8.84261527842219,9.88027237371875,8.41955407890154,11.2235004145812,9.18002691813894,4.96982694972263,9.52978630926167,8.41544874851077,8.95694420270902,9.934060498749,7.41904175739589,9.7833098555145
"hsa_miR_125a_5p",9.8039038546536,10.87837781482,9.88958808564783,10.3188274799636,9.16858740630039,6.4664749335124,9.89322022696454,10.1422921006392,9.17648132489523,8.68964257990613,11.2846901394132,9.7870217859449,10.9252805649601,11.3704397537695,10.0786248854653,9.49373755152156,9.95522474328286,7.7581176220282,10.043350995324,9.39723418864077,10.9719647789481,10.333400172501,9.98401911868908,10.1811942295135,8.64693728399563,10.6824383741738,8.14397219006891,8.37210223742783,10.6081177343075,11.0916522931708,10.5848143517203,7.46897484852719,7.46897484852719,10.6639432360238,10.0632584360986,10.4306955616709,10.6172775731666,9.78336217066429,9.98145528436505,10.7541772282249,10.5390248297076,10.3622960278975,7.46897484852719,9.87909173680717,7.46897484852719,11.1589304223412,10.2313232001598,7.46897484852719,10.1107761945271,10.9883613594874,10.8037490434953,10.123509827329,10.0718349112189
"hsa_miR_125b_5p",8.15426361783987,7.13729416747675,7.02852690859248,7.88563864668594,4.3229695912103,5.13424770502347,7.60519779897881,7.7619268262974,7.45874069364166,7.01791263857694,8.5520082764428,7.82371184153142,8.07352598603602,8.34124990528879,7.66218418283291,8.00298829772586,8.15407695754315,6.55420200492894,8.34906710633412,8.29598240030662,9.37100788707889,8.14998433682801,7.85158073011622,7.92577438104015,6.5094126851106,8.0119921370653,6.08143117366755,6.27889558465211,7.10509951826224,4.3229695912103,7.34149749821931,7.34149749821931,7.34149749821931,7.34149749821931,7.34149749821931,7.34149749821931,7.34149749821931,7.34149749821931,7.34149749821931,7.34149749821931,7.34149749821931,7.34149749821931,7.34149749821931,7.34149749821931,7.34149749821931,7.34149749821931,7.34149749821931,7.34149749821931,7.34149749821931,7.34149749821931,7.3414974982193,7.3414974982193,7.34149749821931
"hsa_miR_126_3p",14.6159858738552,15.301540496538,14.5291594103663,14.9059570581852,14.3496730177749,13.0276780211273,14.7853562264026,14.5424278446207,14.4241274042722,14.4394670378182,15.4019105597985,14.9756562777729,15.2996912963929,15.6766850203214,14.947274528597,14.1644789261332,14.7910525208353,13.6622654668038,14.9050003483306,14.6545637544449,15.701927462627,14.9252205486122,14.676357005245,14.9469129448715,14.331331059599,15.1050152693959,13.4486411944921,13.6127874111699,15.4645573158643,15.6536707307168,14.8926028065418,15.1167091980649,14.8738719665949,14.9568738709325,14.5104222034111,15.4474060830198,15.7277614910912,14.3613194182479,14.4836431702861,14.8502956118659,14.9885157363404,15.0454304158083,14.7835901954971,14.2877803986623,14.0453086039245,15.3802955472696,14.8592019007458,14.9749234796276,14.4145796125726,14.3687372496078,14.8172393851197,13.5427432765359,13.8782388250681
