"","HB01","HB04","HB10","HB13","HB17","HB20","HB23","HB26","HB29","HB34","HB48","HC1","HC2","HC4","HC5","HC6","HC7","HC8","HC9","HC10","HC11","HC12","HC13","HC14","HC15","HC16","HC17","HC18","HC19","HC20","HC21","HC22","SB1","SB4","SB8","SB12","SB16","SB20","SB24","SB28","SB32","SB36","SB39","SB42","SB45","SB49","SB52"
"P01024",16.1004981128303,16.1028132421371,16.4462164070763,15.8362190988749,16.5710855610455,16.3568569234439,16.538861208564,13.8695763200951,15.2892988390098,15.0473225029254,14.3324482670901,14.0936375807244,13.8758818079646,14.0487506914278,14.7115146973379,14.9823776694123,15.7292654040374,14.89719069316,13.8706472968802,14.3868595564999,15.9940892379506,14.8611116751897,15.7595365196708,13.8309626462763,13.3439898606102,14.4023321941963,13.9315655241,14.2392335521591,14.0814240172975,14.3212474685074,13.6160203526675,14.1436574929391,15.9737931087133,14.4796914865079,15.2242105739106,15.8255304564128,14.3859984925623,13.8481482119388,14.1882400512762,14.3497798892346,15.3242053899808,14.9001105909861,15.2824177036505,15.1629177346349,14.9094695466363,14.537160564478,15.8072147682759
"P02647",18.5753959650463,18.0094361778802,18.8125251552041,18.0884936309093,18.2277603632148,18.2501031716963,18.1012353092251,16.5788577560814,17.7160912303686,17.3490047186719,16.6066665586601,17.459275395232,17.0747854859957,16.9798508503743,16.7008236456993,16.3771596239486,17.2975786909989,17.7386494030224,17.5150828979676,16.9404794967841,17.6455880951266,17.1606791090695,17.2975786909989,17.2692383014953,16.5811260136422,17.5950550738466,16.3856002320601,16.8126296347096,16.8126296347096,16.549626389883,16.7743154055667,16.6108760643807,17.0570775857182,17.5987368976547,17.9108172455648,17.6465271867919,17.3822563153524,15.7549894256706,17.7085227076865,17.4953712628942,16.9628870280442,17.146053798726,17.7557827487134,17.2916298074291,17.4277959372395,18.0308485015513,16.6405326602256
"P02656",19.7417521034619,19.146769659823,19.7417521034619,20.2133067048264,20.4705111702725,20.4705111702725,20.2133067048264,23.4532572443007,22.4513674572994,21.8083472429174,20.9874194429615,23.4532572443007,22.4513674572994,23.4532572443007,23.4532572443007,22.4513674572994,21.8083472429174,21.1676838756877,22.4513674572994,23.4532572443007,23.4532572443007,23.4532572443007,23.4532572443007,23.4532572443007,23.4532572443007,23.4532572443007,23.4532572443007,22.4513674572994,23.4532572443007,23.4532572443007,23.4532572443007,23.4532572443007,22.6164571681878,22.6164571681878,22.6164571681878,22.6164571681878,22.6164571681878,19.4434591302144,22.6164571681878,22.6164571681878,22.6164571681878,22.6164571681878,22.6164571681878,22.6164571681878,22.6164571681878,22.6164571681878,22.6164571681878
"P21291",16.6262059300703,14.0934084947594,15.5707636876957,16.8091406207237,14.2250074407026,15.5488828515632,15.5503470167656,16.695582223582,16.7032975911757,15.4640761664136,13.6716445805272,17.3399905252228,17.3399905252228,17.7970464834973,16.9420372517387,15.5488828515632,16.3867369332733,15.3867358673324,16.8733505051691,16.6714207294391,15.8858995473052,17.7621208810149,16.2839336984025,16.6051252177907,17.6371913158595,17.3267913854787,17.3399905252228,16.8243876759505,16.8563869546692,15.9015294011887,17.2332773918261,17.4271622371267,16.5277635044405,17.0372745344598,15.8711417857066,15.1368499013779,16.8104893896192,16.2832873966681,15.4618737541936,15.6190138820208,15.6455532813965,17.1148941262,16.2846468936231,16.439099056808,16.7333210242286,15.7219874809809,15.2240050281218
"P27169",17.6979876037031,18.4194375327003,18.1862285754242,17.2646650533243,18.4485563088931,18.8788864833111,18.3923646720701,16.4551303456847,16.7712298525058,17.0342498011734,17.3229773936787,14.2146557351797,15.8929919582859,13.7940768382617,15.3918293987071,16.135336881888,16.0052109304004,16.7108916034961,15.4636178108443,14.8776717627885,17.1604954347997,15.103446902357,17.5914426578899,14.4253348906767,14.4241433851768,14.0526861800334,15.5961837664116,15.4428708815656,15.8212509723771,14.6622379481947,15.7255745959442,15.4488950982563,15.3425188715075,15.4370631916442,17.9460762630435,16.8005684225929,15.3174179155887,14.4854069594287,17.1226359685847,17.2338496934082,15.9951774997997,16.080829758507,17.3362430363658,15.6152281152494,16.6275324460574,16.7529560492779,16.0460377357109
"P29762",15.359603100032,15.5181885049842,15.5283805069995,12.4272333117412,14.9278225119403,14.4102821418124,10.9037957737294,13.9711952241133,15.0063636362461,14.0537718673992,14.6153045620639,12.3906349655444,11.3207619776226,10.1274418819372,12.3970153408907,13.7906511232683,13.9986415284449,14.8192927715285,9.47018445894647,11.3071241835252,10.6338498524463,10.7896157115921,13.1339789400955,10.1536616739677,15.0851155515746,9.90470059832369,12.4272333117412,12.4863021763309,11.7978115981772,11.4692839144087,10.8688840134464,11.9029146460379,12.8973098924593,11.3769847339919,15.783553456881,13.9465302939584,13.5204057311995,12.5827868813063,12.7879507620323,11.6037703324736,15.1404054599451,13.7129455526454,12.5719103520024,14.1718222830562,11.920476119911,12.3500029067601,12.0276942519754
"P30049",8.97438911812452,10.8489277309364,10.4503094291398,12.5953820791013,11.2908494111606,11.7238184592863,11.4273853467268,14.3105344502133,11.4273853467268,13.7886278456424,10.4244292181331,15.4696418435755,15.878187058567,16.2537973562051,15.9478173813324,14.6213046756887,14.3519757458467,14.0367129202587,12.4232903440569,14.3712854345496,15.3249003443262,14.7548504276669,15.0390143068488,14.7427973757165,16.2882697701286,14.040800233191,15.9455931661225,15.6913867857767,15.6613272987229,17.0699338814146,16.6988312315261,15.5724521098399,16.7560191769036,13.1306348302442,14.7762324499172,15.6375866811369,14.324749743732,12.5764668166905,11.258133838447,12.2443798382605,13.3189202606608,13.5985472780597,14.3662768342138,15.6404234985068,15.33140907723,11.9407251893979,12.6043494595757
"P35232",12.2475781468881,12.0624466389918,13.7186782877385,14.5532665786207,12.1499398165837,12.7208590509875,13.6029146346062,16.0701742086607,14.9715302770982,15.0117992592886,13.7752240269609,15.3051453989674,16.1217694870573,16.163584203312,15.0818155173955,14.2331764423453,13.1419608119547,12.7379084383505,15.7405106803392,15.8756380357841,14.4586742755411,15.951117466471,14.1471776949107,15.8293268774538,16.5376567005017,15.9470027230784,16.5021863506767,16.1303159858685,16.8417873959827,16.3392825428131,15.642802749057,17.0370352858638,14.7644780957216,15.0147488137166,15.5672244697044,15.1048751809006,16.0958511574109,14.7140843455044,15.6612241915987,14.925717465426,14.1041753434193,13.8464028692406,14.6515600626253,14.5572467998587,15.2847325937478,12.6841329791865,14.2536103296248
"P35240",13.8901892319402,13.8633458765808,13.7706423686849,15.1491810100157,15.5206508768422,15.9954898500385,15.6079274740206,15.6189418173628,14.8802691420797,15.8587929605048,15.910685070423,16.4710967281922,16.3194345333607,16.8539952499532,16.2444453593933,16.644178786601,15.1566522142073,15.6249649651313,16.4350321898532,17.7074437217573,16.4937120218315,17.7074437217573,15.4440564887228,14.6721837222223,16.6912458106606,16.3348998498825,16.7094730888432,16.7094730888432,18.0415286530167,16.8174217432468,16.6912458106606,16.137435828682,17.7174546955109,14.5383376047084,17.0320362749242,15.0212163668914,15.4454871695714,14.9166504729953,15.5311214831481,14.5608766121325,14.8042113703162,14.5529628839413,15.4013656290531,16.0410817781991,14.984344100995,16.9530400373503,14.6500981376352
"P38919",12.460662934527,15.655580505569,15.0346137534112,14.0884095365742,17.0879599680336,15.7395820333663,16.5631948908582,15.6909994630425,12.5535396218938,15.4148354015055,15.9577195957047,17.3602336475454,18.048786777157,17.215500773159,14.6362326568815,15.9010504708585,16.6233134488823,15.0071809602411,17.8696189518024,17.7701843632686,16.7391075353803,16.7102665755724,15.3529590119777,16.353591903161,17.8186482328289,13.7677935964703,16.9313449322323,17.1933579204459,17.5270663390065,17.215500773159,16.9145880708501,18.2134169392762,15.6990132610424,15.786484581969,16.7947338807088,15.1965315908261,16.7057649909025,15.3258671755269,15.7407282871392,14.8760814960514,15.8820362856845,15.8820362856845,15.7059333325798,17.0662035246918,15.7550396478277,15.7550396478277,15.8615891040647
"P39019",14.2257358914653,14.1197914260376,14.7052189885754,13.2966776270354,15.8768185110534,15.3931119531033,15.1014222077366,11.9140874437524,13.8969260756112,10.3308061695034,15.1138655306636,9.35948040560976,10.9096476391619,9.39428238693166,11.1067664758711,11.4160389316894,10.4104684952006,10.1964547950961,12.4205292512013,12.238194676551,13.4604644343038,12.4205292512013,10.9675497062542,14.1207113065569,9.78430326282744,9.76243821555332,11.426615588335,11.0871188187596,11.144482431968,13.7498927439953,9.64967641771746,11.5675930282808,12.7925175429267,13.2962103134074,13.3865418252251,11.3716357640178,13.0044874719094,13.580510590801,11.5948952392413,12.1715041879021,11.1220640227701,12.9279616601271,11.6778891469061,12.107363793474,12.5908470679726,11.3501967601594,11.7136842025682
"P40692",13.8912700470137,14.0382191503395,14.2306498920144,14.1186287985292,13.9334481194681,15.2578225393155,14.4129882959286,16.0910935514763,10.2293957787305,14.3000467782531,15.6952085489686,17.4342936762073,17.7177704540539,17.3628215602369,16.3564289120771,15.330104989602,15.9846502847925,15.0424872029308,17.9005442939323,18.2450346727596,14.6415448300867,17.4781042556813,16.7672527051342,12.9125838837712,16.8382163328606,16.5284900067294,16.4020874582626,17.9862334729376,17.7177704540539,15.7632935156634,15.9221160078597,16.8671960233294,16.6961650543944,17.2688084675566,16.6093597829618,14.4395614416265,15.9315510557739,16.159051867611,16.0783737043402,14.6281248677969,15.4265291699116,15.7522165169375,16.1852741472693,16.326401064916,17.5923412338396,13.8121098547932,11.5315763759327
"P51606",12.9514488102681,13.3610976386983,13.9578855556351,13.8365830795271,13.5623997272452,14.0688762169254,14.1158341309814,14.8366732322787,14.7067573780905,13.975103565498,12.5699124167595,8.72935267324658,10.9872992460364,11.4250117009122,12.8543924731298,12.0408861098283,13.8059554335855,12.3167895074477,12.0262124410403,10.002174084375,11.6975521371771,13.143928481746,13.9080367976731,10.4704784445453,13.3821153252379,13.7003117338559,12.4294620634241,10.5280163435228,12.167125424661,12.342856893912,11.555321368323,10.8440681934843,12.8634473215325,12.7844056688165,11.4556713869763,13.0052311010701,13.3960030482902,14.3904239299885,13.2116324387214,14.3087046484366,13.0765556131081,12.4044099347384,11.9103102269619,13.809945459068,12.590265944879,12.2158909815161,10.5806078537251
"P52758",12.9778049433929,16.338644162979,13.961684382641,15.253583120704,14.2447664487498,14.451204384462,13.8825129008484,17.5018286356821,16.0245033844444,16.3310712114669,17.0426240087319,14.5230524863269,16.8076048779968,17.3906236478596,16.95688465487,15.9722181827498,16.5456804397779,16.636883594794,15.829622414084,16.8240839863457,16.6658918125435,17.5428809958974,16.9432808319931,17.6621715786411,17.4631286061814,17.9733533975611,18.2452620231255,18.3305279153135,14.5803995197081,17.3906236478596,18.1572351973716,17.3566387789757,14.6672173785979,13.6576099558855,17.4555487697797,16.1236341332015,14.7532417655908,12.3346396306906,17.674220739558,16.0413790690594,17.113073414007,16.2994965316026,17.7871596399644,15.6458446787759,15.8167609145697,16.4878516785693,16.2074194874273
"P61086",11.5278398304674,11.0310369008185,14.0485759894807,11.8161810549268,13.063726269801,16.1551517440504,12.0833270074817,16.8472100231637,14.6386844028363,13.3923684929454,12.2807241485225,16.0859823412411,15.4287371536515,16.3678286367486,15.0306348797763,15.9064358718934,13.8767553821618,16.2618029563903,15.7708308688825,16.4184407342019,14.5664991622438,17.02310420341,12.9784402525869,16.5631980477711,15.0870353201035,16.8162977695427,17.0364701457137,16.7918967647607,16.5305089556954,16.1103274337173,16.9420214803618,16.7730319601833,15.8977217086118,14.3783612703274,15.6729338417854,16.4641041054208,11.3771043587456,13.484966884748,16.5883699496462,15.5609120159889,15.2219972469575,15.071659322753,13.2612891671366,14.706477110225,15.4004653901202,16.3744102535023,16.6549385027445
"Q01970",15.428897332857,12.6101408041973,15.6544052259939,16.6502612553976,16.89166060285,15.2408673149203,13.5962734737302,15.2161134987,16.3085765322033,15.9152359885767,14.9956341357969,17.2524296059415,16.7865020714613,17.4999074375513,17.2381993920927,16.0512477336479,16.0828280571327,17.0492346916653,17.7172537419045,16.966783424265,16.3378228454014,17.0289146722541,13.988577441066,17.7646024851575,17.9397017983745,16.9894888971414,18.5322410378506,17.7492862167417,16.8412644460111,17.926638101745,18.1497448979311,16.394224196924,14.6022119305874,17.3012096123021,15.8656922381112,17.4696231433444,15.7366165409962,16.7851740080569,17.0419814848888,17.6114768258338,16.3476113197418,17.3772837058195,17.828489668596,13.1984172323443,17.4381618234838,15.4279290675653,16.2823055680109
"Q15029",13.1902176777796,11.6980645119655,13.0050197003988,12.9107115292992,10.1173437780132,11.2529014300678,13.7393297327082,15.1073585522096,14.5235630827059,13.1624539978119,13.3283230352412,14.5314963645153,14.7320674415718,15.4082320874596,14.8420070925015,14.3136078036297,14.6966604602049,13.6979401273312,14.935377195006,14.5749177200823,15.1631088425013,14.320769412019,13.4689777554088,14.7739942832419,15.0430160706963,14.573129490369,13.7629501813378,13.9133383425591,14.806271904137,15.7581920202722,15.3367955891617,14.0884979172833,10.1365562937106,14.13710161257,14.7309482256156,15.3020533332353,13.5306597828032,11.7753640353592,14.9389034557077,13.3517322096021,15.310752195086,13.921331702238,13.1725914035372,14.3277242907275,13.2615177776792,13.8352512371042,15.3994389214604
"Q15165",13.8358541635965,12.8673546286115,15.4860169334765,14.8835146157856,14.1307383022538,13.1861785879476,13.7296856767335,13.8181927545498,13.8993671948845,12.2826972622814,15.411307517806,15.2085473797738,15.848716431405,15.7254541834467,14.9770640459206,15.5120154419135,14.9134527874699,14.7228382936624,14.1545105977151,13.9722622903564,14.28539995375,15.0032853231131,14.3438262482912,14.6985356421966,15.4186265247005,15.2925524995035,15.2273744038086,14.9105327133731,15.4279238940719,14.8066391767714,15.0619065823049,15.4097425511416,14.716521923383,15.0485270755106,13.9301824707736,15.1217036551177,14.6743969540412,13.9528667189907,13.6833848171534,12.7128299214338,15.167399411557,15.5094812123838,15.2504309926609,11.6775275845357,14.7490818624225,14.8397660309057,14.209060975517
"Q16555",14.3766580940229,13.509579282109,13.8371779356369,14.633653520101,14.1495806215271,15.0821124374084,14.8690692088307,14.401476840108,15.3059384820469,14.8800566843132,14.3225921901803,15.0213599094179,14.825416881911,15.1747191254909,15.438319291382,14.095953396084,15.0331001827242,15.0657137643964,15.427856727524,15.7423197922214,15.0444915894566,15.4996629039175,14.9919813251747,14.3297839629624,15.2786996500348,15.3748998464198,15.9550675600644,15.4300607913134,15.770751262168,14.7003743863792,15.7800341335222,15.5508752598054,14.5287846727086,13.9623101633384,14.2989694214926,14.4157321106959,14.0598388074793,15.4953941577694,15.1691373957052,14.5922689043936,15.1990354487605,14.8919312453296,15.2268561147351,15.146612650075,15.2994251007235,15.1407392434995,15.1748064293872
