"","HB1","HB4","HB10","HB13","HB17","HB20","HB23","HB26","HB29","HB34","HC1","HC2","HC4","HC5","HC6","HC7","HC8","HC9","HC10","HC11","HC12","HC13","HC14","HC15","HC16","HC17","HC18","HC19","HC20","HC21","HC22","MET1","MET2","MET3","MET4","MET5","MET6","MET7","MET8","MET9","MET10","MET11","MET12","MET13","MET14","MET15","MET16","MET17","MET18","MET19","MET20","MET21","SB1","SB4","SB8","SB12","SB16","SB20","SB24","SB28","SB32","SB36","SB39","SB42","SB45","SB49","SB52"
"hsa-piR-33114",109,73,109,703,297,184,135,209,145,90,89,70,93,177,102,120,119,102,140,81,245,116,122,138,124,135,94,138,311,238,267,68,456,71,119,123,103,59,114,326,149,98,140,157,58,18,151,117,62,228,112,346,121,295,238,202,241,234,1029,156,124,141,104,104,658,214,231
"hsa-piR-33142",3,0,3,2,3,2,0,3,3,0,1,0,0,2,0,2,0,2,2,1,1,2,2,1,0,0,1,3,1,0,0,0,2,2,1,3,8,1,17,2,3,1,0,4,2,1,0,1,4,2,3,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-piR-33168",1,6,26,9,23,0,7,13,7,5,6,7,10,10,2,13,23,4,13,24,21,6,10,8,17,22,26,8,25,21,6,4,173,29,2,1,13,2,40,7,28,3,11,46,13,3,19,9,6,28,5,21,85,17,32,10,20,19,120,59,23,30,11,7,15,42,90
"hsa-piR-33182",52,75,89,132,105,130,236,136,232,173,70,57,124,200,82,83,107,48,77,52,192,78,76,346,74,140,81,126,236,127,125,55,210,55,50,80,190,85,158,276,183,173,117,116,72,14,112,113,102,118,83,301,985,1199,600,1130,1302,1335,653,1033,1213,1332,1288,726,2640,1046,1170
"hsa-piR-33185",2,4,2,3,3,1,0,1,1,0,3,0,0,1,0,0,1,4,0,0,1,1,0,2,0,2,3,3,1,5,1,1,5,0,0,0,0,1,2,1,0,1,1,4,3,0,0,4,1,9,2,9,1,0,0,0,0,1,1,1,0,1,0,0,0,0,0
"hsa-piR-33198",2,1,0,0,1,0,0,1,3,0,2,0,1,1,0,2,0,1,0,0,0,0,2,0,0,0,1,1,2,1,1,0,1,3,0,0,9,1,0,0,0,3,0,0,0,0,0,1,2,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"hsa-piR-3411",0,0,0,1,1,0,0,0,0,0,0,1,2,2,1,0,0,0,0,0,0,0,1,2,1,1,0,0,5,1,0,1,6,0,0,5,1,0,0,0,1,0,1,0,1,0,1,3,0,7,7,6,1,3,1,1,6,8,1,1,0,6,4,2,3,2,0
"hsa-piR-414",7,10,6,20,14,15,29,21,12,26,4,5,13,27,14,7,11,5,8,3,10,6,11,19,10,31,7,39,62,18,8,4,32,12,3,11,43,16,26,58,39,24,11,11,11,1,5,18,5,18,31,66,12,20,12,7,8,19,25,17,16,18,4,19,28,11,25
"hsa-piR-427",25,22,18,28,26,27,56,53,29,83,13,11,38,49,24,23,41,7,23,6,39,16,44,63,34,37,23,53,73,30,60,22,62,24,19,30,106,31,39,65,60,64,50,29,64,7,24,64,33,64,80,150,13,11,4,5,7,28,10,16,6,16,16,7,35,8,23
"hsa-piR-5746",1,1,0,1,0,2,0,6,0,0,1,1,1,1,1,1,1,0,2,2,3,1,1,4,1,1,3,2,5,4,1,0,7,1,2,3,5,0,2,8,4,3,2,3,6,0,2,4,3,7,6,13,1,0,0,0,1,1,0,0,0,2,0,0,1,0,1
"hsa-piR-5747",69,21,39,61,65,45,38,80,107,34,34,33,27,74,35,66,54,28,53,25,76,64,67,117,90,60,50,112,152,141,274,25,340,25,106,71,90,33,100,318,103,67,88,62,47,5,93,91,53,115,106,199,14,49,51,37,45,57,90,55,28,28,17,14,42,35,38
"hsa-piR-5748",324,126,261,903,583,354,252,375,266,208,194,161,162,402,206,298,253,186,307,128,488,281,296,380,450,304,268,487,737,635,708,125,971,157,427,330,306,165,330,648,389,257,344,304,154,35,486,343,163,453,335,826,167,387,393,321,458,445,569,338,192,198,170,126,318,296,383
"hsa-piR-5969",1,0,0,0,0,3,3,1,0,3,2,0,0,2,3,1,0,0,1,1,2,1,1,1,0,3,0,0,3,2,1,0,6,2,1,3,1,0,4,2,1,2,0,1,0,0,2,0,1,3,9,8,0,1,0,0,2,1,1,3,2,2,1,0,1,0,3
"hsa-piR-5970",1,0,1,0,2,1,1,0,1,0,0,0,0,1,0,2,1,0,5,0,4,0,0,3,0,1,1,5,2,3,4,1,3,0,0,4,0,1,1,5,0,1,1,0,0,0,1,4,2,6,7,7,1,4,3,2,1,6,4,2,2,1,0,0,1,2,2
"hsa-piR-5971",1,0,0,0,0,1,3,0,0,0,0,0,0,2,0,1,1,0,0,0,0,0,0,2,2,1,0,1,3,2,3,1,1,1,0,2,1,0,2,2,3,2,1,2,1,0,0,0,0,4,4,6,0,1,1,2,2,3,3,3,2,0,0,1,1,1,0
"hsa-piR-5972",1,2,0,1,0,0,1,2,0,1,2,0,0,0,1,2,2,0,1,0,0,2,2,0,2,1,0,1,3,4,2,0,1,0,0,2,3,1,1,3,2,3,0,2,0,0,1,1,0,3,5,9,1,3,1,3,2,5,4,3,5,1,1,0,4,1,7
"hsa-piR-601",0,1,0,0,1,3,4,2,1,2,7,2,1,0,0,3,4,2,1,1,4,1,2,2,2,4,4,1,8,2,3,0,4,1,0,1,4,0,4,11,2,4,4,2,1,0,1,1,8,6,2,7,1,0,0,1,0,1,3,1,1,0,0,1,2,1,0
