"","HB1","HB4","HB10","HB13","HB17","HB20","HB23","HB26","HB29","HB34","SB1","SB4","SB8","SB12","SB16","SB20","SB24","SB28","SB32","SB36","SB39","SB42","SB45","SB49","SB52","HC1","HC2","HC4","HC5","HC6","HC7","HC8","HC9","HC10","HC11","HC12","HC13","HC14","HC15","HC16","HC17","HC18","HC19","HC20","HC21","HC22"
"hsa-let-7a-5p",8586,3305,2092,37084,8309,7291,3557,2946,1919,2156,7261,8784,6837,8079,12564,17100,7810,16178,10696,5735,2368,8584,11630,13238,9074,2448,2669,3429,4037,1629,3204,1758,1927,2879,2412,5575,1558,2809,5328,3322,3933,3727,4320,6799,5124,3197
"hsa-miR-4516",4,4,1,24,6,6,7,7,3,1,4,4,4,4,9,3,2,6,8,6,2,1,4,7,8,2,1,3,2,2,3,1,1,1,0,3,4,4,8,6,2,4,4,6,8,4
"hsa-let-7g-5p",371,110,97,1468,352,485,171,157,93,102,1801,1999,1506,2156,2493,3903,1892,4506,2547,1538,521,2545,2416,2806,2047,110,84,103,154,79,156,85,68,109,70,248,130,136,222,191,156,128,207,399,280,166
"hsa-miR-196b-5p",10,4,6,157,37,23,27,19,25,14,0,0,1,1,0,2,0,1,1,0,0,0,1,0,1,6,10,8,21,7,21,13,10,19,7,16,13,10,25,9,20,17,15,23,18,4
"hsa-miR-454-3p",50,12,7,175,36,76,21,27,7,13,2,0,1,2,0,4,2,2,1,0,0,3,3,1,0,9,13,27,18,13,20,11,6,2,12,14,11,17,25,24,19,18,37,46,36,18
"hsa-miR-107",10,1,3,31,5,11,3,3,1,6,2,3,3,7,6,14,4,11,20,4,0,3,16,7,5,0,1,3,8,2,3,4,0,5,1,6,4,3,7,1,3,5,6,4,5,3
"hsa-piR-32160",8,2,3,128,15,10,4,8,8,6,0,1,1,1,2,4,1,1,2,0,0,1,2,1,1,5,3,4,9,7,5,7,8,9,5,9,6,4,8,7,7,7,15,10,10,5
"hsa-piR-32956",2,0,3,69,1,3,1,7,3,2,122,140,63,88,152,224,165,212,117,95,24,64,202,177,70,1,1,0,5,4,3,1,6,3,5,5,3,2,4,3,3,1,1,5,8,4
"hsa-piR-26299",2,0,2,9,0,3,14,21,9,15,12,6,9,8,13,7,18,16,13,8,11,11,18,9,14,5,3,4,15,1,5,4,0,3,5,0,6,3,2,1,2,3,6,13,1,0
"hsa-let-7f-5p",8815,3348,2148,46662,8010,8339,3686,4408,2473,2855,4221,4766,3142,4300,5560,10192,4001,9998,5781,3233,866,4551,6228,8050,3780,2802,2456,3167,3729,1856,2736,2030,1489,2915,2185,4804,1738,2751,4506,3413,4545,2916,4517,8240,5783,3518
"hsa-miR-144-5p",161,37,13,358,130,225,74,52,43,48,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,23,22,29,49,23,42,33,11,19,13,57,33,31,98,74,83,29,143,130,66,80
"hsa-piR-33074",3,2,3,69,4,2,1,6,4,4,118,139,63,88,156,231,168,208,116,98,22,58,205,174,70,3,2,0,5,4,4,1,5,1,6,5,1,3,4,4,4,2,3,5,6,4
"hsa-miR-1180-3p",10,4,1,41,10,24,3,5,6,8,12,1,10,6,13,10,2,14,15,1,0,5,15,9,20,3,2,4,12,3,5,3,3,6,2,9,7,1,5,3,6,4,7,5,5,3
"hsa-piR-32161",6,1,1,145,14,7,3,7,5,6,1,1,0,1,3,2,0,1,1,1,1,0,2,1,0,4,2,3,9,5,5,6,5,9,3,7,7,5,7,7,3,6,14,11,11,3
"hsa-miR-3960",3,3,6,11,5,2,3,12,3,11,4,4,1,3,7,1,4,1,5,2,2,0,3,3,5,2,2,2,6,2,6,6,2,2,0,3,1,2,2,0,4,2,7,4,4,2
"hsa-miR-652-3p",10,0,7,28,7,4,5,7,3,2,47,42,25,35,68,121,63,124,43,23,9,19,67,63,19,4,5,0,3,1,3,2,3,2,1,5,0,7,8,0,1,2,7,3,2,5
"hsa-piR-32934",8,1,1,17,12,6,5,7,10,4,5,2,5,4,9,4,10,5,9,1,0,3,5,1,7,2,1,0,1,4,3,3,5,3,0,5,3,2,4,3,4,1,9,3,7,1
"hsa-miR-183-5p",123,38,19,690,122,53,46,89,40,45,0,1,1,0,1,3,0,1,2,1,0,6,1,2,1,35,51,43,24,13,28,31,24,55,16,69,24,32,45,47,74,37,63,69,73,24
"hsa-miR-182-5p",265,77,41,1185,231,113,89,155,135,77,11,5,5,6,10,3,6,11,4,8,3,19,14,13,10,58,87,83,58,52,54,75,37,75,25,98,37,57,90,112,110,56,151,166,155,48
"hsa-miR-190a-5p",66,17,14,291,61,104,43,46,43,28,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,20,20,19,36,14,14,15,11,18,9,23,29,13,28,35,27,13,56,72,36,32
"hsa-miR-17-5p",24,3,1,69,26,36,14,12,3,6,5,8,4,2,6,12,11,7,11,7,0,5,12,7,3,1,0,4,9,4,9,7,10,5,0,12,8,5,15,6,5,5,6,10,12,5
"hsa-miR-106b-5p",4,1,2,8,3,15,3,0,1,0,2,0,1,1,1,2,3,11,4,1,0,1,3,2,6,0,1,1,1,1,0,1,1,1,0,2,1,1,2,0,0,1,1,1,2,3
