"","HB01","HB04","HB10","HB13","HB17","HB20","HB23","HB26","HB29","HB34","HB48","MET1","MET2","MET3","MET4","MET5","MET6","MET7","MET8","MET9","MET10","MET11","MET12","MET13","MET14","MET15","MET16","MET17","MET18","MET19","MET20","MET21","SB1","SB4","SB8","SB12","SB16","SB20","SB24","SB28","SB32","SB36","SB39","SB42","SB45","SB49","SB52"
"A2RTX5",13.2898532791666,12.4144424736964,13.7511686059963,11.3964276639933,13.4898814808603,12.1025277708172,13.684567041347,10.0971371337583,13.2472641135625,10.5434850008158,10.8714106534411,13.3447801802459,7.91767057762643,8.31902843883399,13.1182587581341,13.0256887894452,12.1227665515882,12.3982080563114,4.12392666163503,12.0021597870969,11.0222156908682,6.71143159353656,10.2016515950132,7.12946748728494,3.5967199720345,9.45754429271057,10.7828788637781,7.36342281298054,10.3702584514388,10.1861691512983,10.4536827787506,11.326196811396,23.3315508305037,19.3813214520391,23.7855593152223,25.0963524383269,16.8034369460017,23.8391787517636,16.8691907040325,25.3444140359721,20.7850329109163,22.5256563579278,19.2060499683149,21.1582686158543,21.8876770919794,24.2597428287198,19.3019694874554
"A3KMH1",14.1951353410178,13.7334427564869,14.6097874422414,13.8576310649114,14.5728115807551,14.2374353744182,15.2043888848535,11.6524943053184,13.660984086153,12.2199644854275,12.2682294114331,13.6255070485042,13.3381564073786,13.5557698849554,13.8013121534767,13.9020954116587,12.2659574038391,13.7686733713811,10.6025263802032,13.8531792760936,12.8433468146995,14.1387730671619,12.591306950805,9.65766791895479,11.0332968057466,12.7759850930526,12.1271883706565,12.3426419998365,12.2362757402422,8.92229467096362,12.4497206525096,12.9581968336229,23.204542402891,24.3082032409899,24.5640594450027,24.8305261682388,25.371969088414,24.2706225467315,24.5615783589211,25.6911535848359,24.9636576373654,23.9461975859189,24.1825849186345,23.032963387611,24.3682970510472,24.2832825931912,24.0260077569755
"A4D1P6",13.9899056572591,13.7210117485509,14.6089259091438,13.2029777675109,14.5991805732729,13.8087183469438,14.2359412997508,10.7228617013425,13.060372532434,11.9448762909413,13.0082366542711,13.6306917009804,12.0426170453336,13.4766111254417,14.0474202884351,13.3494823234301,10.0730689715543,12.9835363059892,7.63175291055975,13.4600567910639,13.7868776427005,13.4803203668846,12.4499750022079,7.97064382045367,8.76414673309646,9.55461378056903,10.5932933344905,10.7547921263648,10.9730741134471,9.76748175248211,10.6995754540934,11.8183388133637,20.8184996887863,20.229311912233,23.0350721018455,21.3267083684861,17.8782641282154,20.769894135029,20.8435675977661,22.5259470602427,20.2865693797835,21.5413799046467,20.2437929968466,21.481707254026,19.101157244164,22.0010480771722,21.6009011549905
"A5YKK6",13.0507955758019,11.760858345972,13.8162963102487,11.7443712724723,13.0569349182963,12.4316830158069,13.463478522071,11.6415688282751,12.2378074737231,11.304745473982,11.2330394710222,12.9635946092216,10.6791602975576,12.9019583587507,12.6844819984941,12.4928683703197,12.0681321084108,12.3208226068916,5.8644344408207,12.6343930510653,12.0707857333458,12.077488569628,11.6990304056573,8.09668921160263,6.48930506471016,9.80069487920196,10.7156644565761,11.2687939244715,11.0144602609431,8.03366738758756,8.78323530922018,11.1399946348733,20.597745250709,21.0982619631185,22.4050650040694,23.1707122948003,20.5566261920014,21.9908804931198,22.4387405648268,22.5931736982054,21.9881738038962,21.1606567717717,19.4850066010137,20.9369666020672,20.6008646209414,22.3201306749871,20.4886426592526
"A5YM72",13.4272903398562,13.5195129467033,14.0695123211551,12.7643558841507,14.4800541706351,13.5818920291139,14.30665742744,10.2912750591597,12.8743561439943,10.689087589904,12.1783402820047,13.6569841446963,12.4646130587917,14.3070262891659,14.050790340414,13.3513437228088,11.6563502908598,13.337743973011,7.20503425564365,13.3861968143164,13.3928768976403,13.1149504578731,12.5562054087564,8.72514551034038,9.29554710683782,12.5716769646404,10.738421375391,11.8872536669342,11.8036135604578,9.88429068364048,9.60316223778352,12.3711572964064,14.0679659847061,17.8916709882653,19.5054099284042,21.2001901269737,17.4137582382959,19.2114662135078,18.105813074958,20.8125064910424,19.9040565938913,19.9025173800631,19.2629672581916,18.353490619161,18.1180016550285,20.5068965571054,20.0970646585815
"A6NC98",12.3880943397602,13.3059261953381,14.4731090163343,13.7551490021547,13.5360652382292,13.5284630732391,14.6158513218408,12.1306721170951,14.3032094293103,12.0443050864314,13.7587982734197,13.7199158915474,12.1112611824844,14.394009855127,13.8081637358591,14.1070599148984,12.9339390716691,14.3117124780681,7.33759756583743,12.4687265195065,13.8597089557188,14.1405169363414,12.9057902581893,8.29034027077391,10.0397822791387,11.9147539252351,10.774837864671,11.480922250423,13.2823797602313,8.68617852436809,11.814614019951,13.4466547929674,21.5999945991201,23.6929601246111,22.4763873119943,23.6240993479822,23.6873458919994,19.6387991981114,22.3668173487124,22.8563493878223,23.3853148708814,22.2296856318065,21.8722959485532,22.3091824142573,22.9115584005964,23.4410069793411,23.9664558318625
"A6NCS6",14.2313985361785,13.9850123877121,14.2760766826164,14.0158066748604,11.4124885328439,15.5070999273672,12.7040532726171,14.0676222898374,7.84788137533842,7.14423020248732,11.3595122115504,13.9513755873678,13.787072176589,14.2820801529866,14.3791939944863,14.10635503554,15.4500382244781,13.6557589356135,6.28479737675309,14.123563786058,13.778247510907,13.6498032951723,14.2540254028359,10.8861467244943,10.152057493498,14.9613556908094,13.5281139392739,10.5619334776141,14.6713963447427,9.5224594561358,10.0298120692756,14.5735658631184,21.5299008775769,20.5404783401205,25.4867407657593,26.6550657093905,19.9008427297136,24.4309892929014,20.8368288080818,25.3825227503511,25.2742883163216,25.2412162534763,25.0504366824803,24.5534849302008,24.6103296399293,26.164587033467,24.9117920321873
"A6NDU8",14.6357830628033,14.1740489654879,16.0700268666346,14.154203151229,16.3265165874121,14.4327726452358,16.5876670314971,12.1945123484146,13.3733388794056,12.2325379222124,12.7267710288673,15.2701492973165,13.047877044648,16.0425899080738,15.0460155566814,14.279021135839,13.0840994032244,14.1081488999725,11.1975635197418,14.9497755489109,14.9439233038078,15.1160300276469,13.1599233071575,11.359459639564,10.7197445348198,14.3001575566682,12.6873517984177,12.1192653831758,14.5062455870285,10.7833928787805,12.4260392408119,14.5316759065727,21.1534219892391,21.096639184999,22.1974877274554,23.1523097856088,20.6042129932446,20.8812980263459,21.988050481216,22.9940605241069,23.4023034505417,22.3140024618883,21.9835481734588,20.9096686252328,22.3598696301451,21.9999743923271,21.2385152956747
"A6NFQ2",12.9880534851559,13.7299727797729,14.5510276953225,13.9792589442532,10.2013584207498,14.5904358430237,14.8589528273912,11.138183580175,13.5976085498504,12.5664803759558,13.641752616614,13.8556471660273,13.4476476571845,14.1706578360373,14.1024935891539,13.7780224392035,12.8150814402542,14.4486474915171,6.80670898310302,13.8492832971195,10.0075417685602,13.3925380948919,13.5707760462382,7.97694753970567,6.52728960249823,12.8616023431151,13.0461088066903,12.7683809517341,12.1124009141024,6.56771573456438,11.3274641998282,13.1129392775532,23.6450833067133,23.1849192982086,24.3191169672648,23.4445756842715,23.3235349532738,23.5978800319269,22.4617992542267,24.8850193501764,21.1849781385158,23.4872516784588,23.3426553506897,22.7630005842978,23.4085604689213,24.7181932585905,24.8088632114421
"A6NHR9",13.0873026124102,12.7553696456511,13.9830745667953,12.381191224298,13.9830094395438,13.648832726795,13.9394474383754,11.5072258661332,13.5050543077673,9.68301923105261,11.2235434330435,13.7384120761945,12.4086816498053,13.8350972356176,12.9189881853911,12.4072652174635,12.0927122891566,12.8304356058616,7.9930210130153,12.779271823895,13.1457475863889,12.4936462265525,11.7843021620794,8.74921459759243,5.93470698494258,10.8124931508207,11.5473090278514,11.3993019360408,11.4247080691096,10.9380238314514,10.4066343168404,12.085097323941,20.6047699090622,21.3894966935691,21.5541074373491,22.2412875914921,20.6855962771619,21.8208713205344,21.6824875712144,22.0578208641215,21.4213620024128,21.0105643700109,19.3450912292068,19.2859854120324,19.8299110663372,21.6920682341301,20.9722865373349
