"","HB02","HB05","HB06","HB08","HB09","HB11","HB12","HB15","HB16","HB18","HB19","HB21","HB24","HB25","HB27","HB28","HB30","HB31","HB32","HB35","HB38","HB39","HB40","HB41","HB44","HB45","HB46","HB49","HB50","HB51","HB52","HB54","HB56","HB58","HB59","HB60","HB61","HB62","HB63","HB66","HB67","HB68","HB70","HB71","HB72","HB74","HB75","HB76","HB77","HB78","HB79","HB80"
"A2RTX5",12.910973002428,12.3728636356242,13.7078242998961,11.5033852749501,12.676891426368,13.4853410222403,11.3767230937038,13.8636907631751,12.1067541614124,12.6314066755298,10.6557544465466,12.8902790853985,12.512190257227,6.56472168420258,13.01226667891,11.8053277639952,13.3582980666752,11.8705538579899,13.6208429082686,12.7644777189659,9.58432360409287,11.0485294772616,11.6638564149913,12.8481315256239,8.09406260359405,9.87904384152703,9.87904384152703,9.61280764059319,12.9375367994218,14.152701834809,12.2220549287604,12.8474276824158,10.2564704337466,12.4029946760102,6.7369541494566,13.1300360499438,12.6440400032828,13.0435117128717,11.2114802151194,11.4961426311823,11.2435830177089,12.6922051611664,13.3643735989472,10.6303127501556,11.6269574081771,13.1390686314545,10.2564704337466,12.1520969008932,12.9535159559393,11.129994739885,7.03416130814972,12.7176541714934
"A3KMH1",14.4567124442286,14.3460593587492,14.1862046970348,13.6141397946985,13.9556013468363,13.3574276798823,14.0316234780362,14.1992652638109,14.1823768057086,13.6095362314868,14.3236778773172,12.8910500842644,14.5129617262278,14.0135422369898,13.4338516705072,14.3501815146511,13.8487983223677,12.6380666226077,13.7296099606815,12.815363922686,14.4597380523777,12.2277252963532,11.1172622570333,13.9866131968211,14.2108286403453,14.1192984078098,13.3016454398703,13.5460588065529,13.55135840692,12.7757388930226,13.9048965672636,13.9995656463177,13.4440934618283,13.4670652417705,13.0232877673017,13.8824652445364,13.6927717225271,11.9427377587491,12.8779817109003,12.9054994860606,13.1177699084685,13.9566498367065,13.9668158605295,13.8192794455855,13.0948953304908,13.2509124219441,12.3137008195554,13.0027020439221,13.8309418434207,13.5273840077133,12.2618617910584,13.1482907216813
"A4D1P6",13.8554898174239,12.4154098983056,13.6396153466506,12.6017575700751,12.6032001900862,13.201137536968,13.0823456322615,11.1428207004787,13.6258538490639,13.0405284489464,13.6882462337816,11.4634367412855,12.3208455541113,13.0093167728946,11.4823554263675,13.235658811358,12.341814284434,12.6546000715977,13.4734490976841,13.6185576191686,13.3512140291692,13.2331126222602,11.817381956214,13.7696027603545,13.2224381740735,13.5207615745693,13.6355711888611,11.9889347703582,13.3234488766214,13.5946546942645,11.6745685354106,13.1329190756336,13.6235246415314,13.4098591516935,12.4822547760231,12.7764837710471,12.7782781235742,13.5903619281534,12.3164448413555,12.8809313247396,12.6796961934164,13.2570899291109,12.6733587328208,13.8292981667367,13.5362857965075,13.3275537933493,13.5640581606693,13.0360032310838,12.8245330186249,13.215553453622,14.0360510438149,13.1081007403976
"A5YKK6",12.9046080955543,12.2102979007414,11.6159939005758,12.4217019608562,10.9996208027802,11.669935461377,11.6509522629637,10.9781460446997,12.7831016342522,12.1407269644353,13.1050167233349,13.0510489432268,12.394619864486,12.1350726972446,13.2080576145326,11.6337492116517,11.4059132770364,12.1287197655229,12.3375129058912,12.9542989272329,13.0124756291394,12.4897503537132,13.2242162354435,11.9592173398991,12.1627596940602,13.365463499629,12.6643843164968,11.2103765355898,11.9499209439009,11.8393541258018,12.8229823226421,11.8769763232542,12.0628410638974,12.5241193604643,10.5551759683465,12.7692386653334,11.7232930922935,11.496234931464,11.8170372808303,10.8449994770202,11.5047999853036,11.5782198055858,12.3490407659193,11.7108481646675,11.1426348005844,12.4467720056537,11.9467206081997,12.5564528474291,12.6400795519073,12.6457256871086,12.0414287503502,11.4798674948326
"A5YM72",12.3870619090337,11.8507688623369,12.6187863749034,11.8617610026819,12.524595622547,11.0229486467388,10.958875186917,12.3069481015792,11.9954862743375,12.8491593527509,12.6371761359434,11.9014644632969,10.9823116272438,11.9728246188109,11.1716746694024,11.6377823933491,11.9633765054957,12.2467410785215,10.6076796010463,11.1759117668565,12.7861952192892,12.8405547031949,11.9153476443326,13.0612561317292,11.8986003786387,12.001083931175,11.3794835780693,12.3077459385647,13.02616411138,13.3345114037764,11.9309304219218,12.2399040482333,12.2670663558154,12.2072973455123,12.7124173356224,12.0809226982676,12.0739263601271,12.384638966502,13.0904363791532,10.8223807636507,12.4409767007199,11.7636274960388,12.7577202078755,13.8007647286492,13.7965780577035,11.32458979195,13.0385377595632,13.6499336617775,12.611540614515,12.5855340878759,12.4474382668857,12.3878383511041
"A6NC98",13.8393913824587,13.2039848625309,13.2154649036093,13.0316943208979,14.3464756732781,13.0440950526695,13.3253672174979,13.9868187951478,13.2098701994888,13.4777761322069,13.3973820521461,12.9836774713445,14.0430657928238,13.1151935572513,12.8335118732946,13.8109993004178,14.2463484188192,13.3466580520763,12.7980694527166,12.6755400358952,13.3290878601224,12.9597489369398,13.5133950935339,13.3778621205795,12.503348105667,13.5758481727917,13.6350965705411,12.9268921254992,14.26674994042,11.4750194252771,12.4191797442791,11.9799797642401,11.2039160284259,13.6550966940665,13.4559828188139,12.6455194758917,14.4451455532189,12.7743911384349,13.3575486271261,13.468160850716,14.0231908757993,14.0289783076692,12.36657377011,12.9193616537511,12.8708668446336,13.4764207139302,13.2061111715386,13.6394700656627,10.9894811775998,13.5149546837887,8.66319463206074,13.8303335047715
"A6NCS6",14.9955239612466,11.8495225125492,14.0637134694477,13.8773499781586,15.3828132207548,14.3362546701943,13.2742035919888,14.0351099966943,14.1482940044694,14.016656044189,11.5800228117484,15.228966452932,15.446015444073,13.1101191550044,14.9096336863534,15.5630382665141,15.6960218619254,13.8508620116274,15.3723892715755,14.6583332398486,10.7151791876954,12.5466320944512,15.1337939437675,10.0645825317777,11.650960563763,11.8243365506138,14.9149432088336,13.1851533032207,10.9693106750999,8.99800152057758,14.4799693727717,12.2255968750499,14.5848255854324,14.4004022808069,10.729128128844,11.1869069538529,12.4657877162898,15.3194209064746,15.6196077903906,15.5537456948591,14.5265704671397,12.6617965054519,9.7557770965692,10.6286577298456,11.2412013792698,13.1780379841403,12.2443796093211,11.2104543968776,10.6495804205388,13.4442513249993,13.1396150040038,13.3483910873288
"A6NDU8",14.4827124982311,14.6509049367861,13.7365341177558,13.0282959260025,13.4512074305473,14.1071150092489,13.9573355644364,12.6077175463673,12.3871540675338,14.0803218634303,14.7060590612604,13.2672309952114,11.81971878907,14.636719102356,13.4178121912743,13.3804792643204,11.8450995493665,8.48995784516021,13.2918847497564,13.1528424489743,13.7981776353794,15.1107074874482,15.007804613158,14.1338931995513,14.3940827706659,13.8327043265836,11.5308237411822,14.1889606110785,13.4878542440032,12.7028271576669,13.6599105359846,14.1195577731488,14.4827124982311,14.0543491139074,14.0803218634303,14.9077504048533,13.9994047336835,13.6723016191079,14.5302830502029,13.947455804021,14.1693725527021,14.5663084355945,13.9704118694063,14.5177097177551,15.007804613158,12.4152594986246,14.662105570322,12.8092231258879,14.6306875748039,14.7765295781111,14.1480438319797,12.3618378868569
"A6NFQ2",14.9867972547364,13.631347313301,12.5805894060612,14.4755889424854,11.1759525276486,12.6600940285942,13.2057162937576,12.788371246059,13.993838975774,13.479984188721,13.3161175551052,13.8315315943864,12.7724427918879,11.9851520998678,12.203942013674,13.2217855103534,14.2581138848606,13.3725002411585,11.0976402544393,13.2197476207427,14.0476671555697,13.6881762037736,14.4089495571192,13.7990953408796,14.839305493008,12.4746544604204,14.3644719495624,13.9444160723275,11.536030876631,13.4915452835488,13.8909679463688,14.1262283367703,7.5025334921882,13.5142494116186,14.271725085317,11.9302692906935,13.9247483425199,13.7727007812007,13.5854702714802,12.6363861922423,14.5468991674621,9.62137626222327,13.5244103280853,13.7645647002494,13.8747486042703,13.2343800507518,14.582926462862,11.7296884558075,13.7340983462053,14.0276212995533,10.6663802836838,13.1273647904384
"A6NHR9",12.8769699533919,11.7336215777996,12.2883152660235,12.4269074596983,12.2448342361122,12.4001747457703,12.6997236848606,12.9529545757599,12.5661160831835,12.0019715945875,13.0136479473329,10.6254269318613,12.3144927529783,12.0600409774783,11.8609778169335,13.3856586508248,12.280576436788,12.3731290075405,11.9349672838425,12.7570086510606,12.470066908556,11.7371085415356,11.4523989531711,13.1298973467746,12.6806998647158,11.9855061980933,12.0057587120555,12.2577124434229,11.1025728669291,12.8946741136117,10.7219523499864,12.3044484156803,11.3579048474632,12.0208946636632,12.7795742478821,12.4369824070334,13.4565238830378,10.6391113521351,12.5501611446261,12.9119679304638,12.645691948456,12.878684915781,13.3908871923661,13.1122496438935,12.1007677550125,13.4618217827095,12.3823905031781,13.1365742583245,12.9634524025876,12.8037813265017,13.1967915013217,13.3179725596445
