"","HB01","HB02","HB04","HB05","HB08","HB10","HB11","HB13","HB15","HB17","HB18","HB20","HB21","HB23","HB24","HB26","HB27","HB29","HB30","HB32","HB34","HB38","HB40","HB45","HB46","HB48","HB49","HB50","HB52","HB54","HB56","HB58","HB60","HB62","HB66","HB68","HB70","HB72","HB74","HB76","HB78","HB80"
"A2RTX5",13.4037812871567,12.9922130900483,12.4842523762498,12.3202979297396,11.2140780135522,12.8605230262649,13.7026950276909,11.9375783886447,14.1643491879697,12.658684634181,12.6401304443255,11.9169421864066,12.9665506294518,13.0744860910692,12.4901295577069,12.8408133801593,13.1179298281127,13.615102612371,13.5464560268541,13.8700968900419,13.3880074710725,8.81351988654978,11.4192192591788,9.17846795066911,9.19087558258375,12.9865011477316,8.86254703554459,13.0240293810624,12.1302242195009,12.913322288563,9.64485571867102,12.357675546354,13.2650988354438,13.1572571842062,11.200831525934,12.7170903766138,13.5539725464677,11.3708091505919,13.2756519187268,12.0413320262686,10.7309580951378,12.7482033483124
"A3KMH1",14.365532528802,14.6282426471996,14.0713025203828,14.5170521082223,13.7925812482503,14.0004106086595,13.5359961703375,14.3593922570464,14.3732908280544,14.0126184327745,13.7881054662016,14.4136772404576,13.0666430802281,14.6968274579726,14.6843654079985,13.9976352681145,13.611975193326,13.9620911106103,14.0256028335668,13.9071003148602,14.4905509662233,14.6315647964525,11.239412888093,14.2942093203502,13.4797921338607,14.0561244682679,13.724916490893,13.7301801852468,14.0813152401936,14.1744743727527,13.6223735952479,13.6460443814693,14.0594191836882,12.0988703612291,13.0809580026577,14.132770139858,14.1426366305558,13.2718409924297,13.4294423867993,13.1793647280316,13.7068272598951,13.3258305443255
"A4D1P6",13.4338699714406,13.8520271038354,13.3533534565922,12.2664263258492,12.4727743273015,13.290814993593,13.1348270609214,12.9025460181845,10.8280752629775,13.3362625732322,12.9606986649438,13.2337107627412,11.1951030953355,12.9017827795922,12.1604937627852,12.4319071510186,11.2156983219369,12.4137607929464,12.1841526100693,13.4349447241119,13.5739196453166,13.3001958060201,11.5913185421718,13.4857476176723,13.612491068145,14.1183210985909,11.7857517561368,13.269233973083,11.4345370517968,13.0616032132851,13.5989350953926,13.3660591346791,12.668246358693,13.5620791147012,12.7836668364825,13.1973749543493,12.5534222689795,13.5036828624515,13.2737524491484,12.9555781272725,13.1520427281437,13.0337823029938
"A5YKK6",12.6548751580109,12.9731225135993,11.6359543235908,12.2934410552113,12.5024578325256,12.5624588535882,11.7639707882117,12.0243550413942,11.053532896553,11.8923745280308,12.2226626382114,12.0977235130052,13.1146591659791,12.4109599470886,12.4758384440049,13.4903962032593,13.2667301032052,11.872845043122,11.5013943071149,12.4175438374872,13.3078484243639,13.0770222309133,13.2816767295366,13.4167147567101,12.7396561574201,12.7942286585648,11.3007776851449,12.0381784228697,12.893290354412,11.9681116011676,12.1480980695998,12.6017339643588,12.8417673897769,11.5924120218496,10.9217860232684,11.673728597122,12.4296336908567,11.2289833497992,12.5272521543065,12.63396486967,12.7213855084632,11.573014767642
"A5YM72",12.0625809640787,12.1952356472953,12.580472939513,11.6026267892346,11.6149303296233,11.8346772818173,10.6710577683178,11.7251667107916,12.1065688761091,12.692059298258,12.7021420386106,12.4211352945393,11.6579300190002,12.4706327751223,10.6258051053707,11.2991118631441,10.8404018622716,11.3676889305318,11.7271924776222,10.2071037475455,11.9336301707797,12.6310931336756,11.6736964453133,11.7673210225627,11.0743334092495,12.7815890640917,12.1075921877461,12.8962148414771,11.6910619132906,12.0334054165942,12.0625809640787,11.9971899832691,11.8566341494245,12.1925555273265,10.4525286983242,11.5046432473598,12.6007453277981,13.7370172082305,11.0114984141451,13.5740051939347,12.4147606998991,12.1963246429234
"A6NC98",11.9104206361211,13.9442813662967,13.1540334235797,13.2635801607,13.0764120351566,13.3899346524515,13.0897868318309,13.8063436764386,14.1012688485435,12.2822885146572,13.5557305208537,13.2156979876998,13.0251360381728,13.6644184091039,14.1618412522635,13.9610427158588,12.8604119585145,14.2495760592138,14.3805834026101,12.8231751196431,13.8912257214043,13.3969113640795,13.5954031644658,13.6616277141501,13.7249270386348,15.1061253298685,12.9634908695322,14.40109416516,12.4095210800157,11.9253015308736,11.0619543947924,13.7468472567541,12.6568962390369,12.7979612424477,13.5457379901732,14.146891661273,12.3497060161444,12.9023189049363,13.5544461362953,13.7296303308486,13.5969347796854,13.9343763160447
"A6NCS6",14.8132170544887,15.1988717391721,14.7602586671214,11.9873961803002,14.0767113543874,14.029309957315,14.5378682629016,14.9088225669454,14.2365433437565,11.2608769242726,14.2168907102378,15.840684227552,15.429955022417,12.367819853656,15.6471388230124,17.2037060888494,15.1107546945995,8.62163589279977,15.8893409063616,15.5765942100255,11.081163380402,10.8216121905764,15.3378910099962,11.9550007061999,15.1163228166874,13.7444118003809,13.3725961938342,11.0719562770783,14.6817333715354,12.3846750619611,14.7864472379133,14.602107652698,11.2836220119196,15.5250823075938,15.751509300155,12.8338448478224,9.85903180014868,11.3355963607303,13.3656140093778,11.310286521432,13.6384041996862,13.5394366030487
"A6NDU8",13.8080446503681,14.3909404477091,13.6190261927928,14.5573471998556,12.9263641483134,14.5767562048243,14.0176567506469,13.6852642736532,12.4997051901617,14.7546319508918,13.9916616759567,13.6312298297772,13.1690284754182,14.7835639110364,11.6831190045519,13.4972591518637,13.3210733731482,12.721150226697,11.7112134099275,13.1937387443357,13.5277764915888,13.7049204735985,14.9171204004784,13.7387267300598,11.3880554871276,13.5130041284829,14.0979204116244,13.3921682089575,13.564230531002,14.0282340019872,14.3909404477091,13.964928162247,14.8155124062487,13.5772308950469,13.8563099917794,14.4741819937056,13.8785557029576,14.9171204004784,12.3025058855045,12.7049285122827,14.6890135894286,12.2480392412888
"A6NFQ2",12.8254569488603,15.0401307626476,13.8090063470077,13.7877318598495,14.5717296604338,13.6894416667707,12.8765159144619,14.173140647818,12.9988335626516,10.0268293399318,13.6468006133641,14.4045899764541,13.9731060739123,14.0572731495113,12.9835502023702,13.375177113871,12.4396408860558,13.6578130791305,14.3683014505052,11.3707451639829,14.4759398123232,14.173140647818,14.5084298423554,12.7012367740912,14.4688830978427,15.0139446199479,14.0779838834065,11.8045566022209,14.0283377143117,14.2458417396615,7.98124911338531,13.6785143458891,12.1824521858779,13.9187806419028,12.853588715075,9.94805316997946,13.6881269119403,14.0135654440372,13.4171356266676,11.9904470208634,14.1539376858339,13.3171681545461
"A6NHR9",12.4523324586321,12.9427760538831,12.3051540330803,11.8182550749548,12.5031239138927,12.5550358973299,12.4769160906828,12.2855142747938,13.0173309912509,12.6622645923553,12.0813470694523,13.1182520440059,10.7037164408121,12.6787202159984,12.3920641701875,13.2151579922064,11.940794543104,13.1303616953796,12.3582206346789,12.0151889446275,12.1457349556649,12.5460691544948,11.5362465184052,12.0662238314185,12.0858757796233,12.5509320095649,12.3364829490851,11.1899778103446,10.802214191852,12.381795670324,11.4453381437215,12.1004934358468,12.5132580426117,10.717304635404,12.9765899930895,12.9444582881867,13.4398668010117,12.179944104729,13.5081950919115,13.1934378761673,12.871508454371,13.3698335272035
