"","HB01","HB04","HB06","HB09","HB10","HB12","HB13","HB16","HB17","HB19","HB20","HB23","HB25","HB26","HB28","HB29","HB31","HB34","HB35","HB39","HB41","HB44","HB48","HB51","HB59","HB61","HB63","HB67","HB71","HB75","HB77","HB79"
"A5YKK6",12.832948242362,11.839000042697,11.9086434677393,11.3214155881813,12.741874013036,11.9421806832506,12.215533567219,13.0262242641236,12.0899478926419,13.3284715887053,12.2884535558323,12.5933755889055,12.4064900209848,13.648150981887,11.9241717882679,12.0674014910009,12.4014229220549,13.4662392613294,13.1861312080676,12.7482782173268,12.236709405256,12.4330099624906,12.9676984634839,12.1254834117966,10.9049867192252,12.0093386213461,12.1023705893457,11.8064055633625,11.9972395037954,12.2249601475069,12.8911882205933,12.3170657742052
"A5YM72",12.0365402249062,12.4956348459421,12.3806620311117,12.2898188185679,11.8378366998893,10.7522081765973,11.7413717051729,11.7747601170304,12.5942948080209,12.3981967799093,12.3544418375,12.3981967799093,11.7519006939189,11.3645798929293,11.4228905008643,11.4266133611885,12.0161385586784,11.9244618221567,10.9621821207594,12.5950195372147,12.8128190823519,11.6809984181577,12.6785983999634,13.0804226244882,12.4710378895135,11.8494623899645,12.8415090298692,12.2076395033859,13.5446716181979,12.790280221546,12.3737635760547,12.214241682233
"A6NC98",12.265448011446,13.3424613414915,13.4482437218841,14.5296659792621,13.547176131839,13.5499809112435,13.9130581107893,13.4432103423634,12.5889374062652,13.6178594880001,13.3964711873357,13.7884483879477,13.3530549608612,14.0515142495844,14.0100338817226,14.3106869190202,13.5700218626308,13.9914670661841,12.9422774861032,13.2078334949934,13.5985585846677,12.7787153649934,15.1067161336279,11.8005550898657,13.6741308325681,14.625331706554,13.5799617633969,14.2125024871998,13.170829816031,13.439529492741,11.3361827360313,9.14250515956452
"A6NCS6",15.0043752983087,14.9541146474739,14.4754110779821,15.7716786890965,14.2530210226066,13.7187466923492,15.1011466523493,14.5566575116764,11.678991424229,12.0674910277116,16.037920320851,12.6828042850702,13.5579422327527,17.421072177401,15.9550496776733,9.03520407142944,14.2724391499749,11.5052993434419,15.0508566843129,13.0113693694945,10.590688525726,12.1451871682479,13.9844974995,9.55876847036911,11.2422254069096,12.9268591296788,16.0115596749288,14.9236938282994,11.1578590541852,12.7138854628261,11.168116396127,13.5871587783844
"A6NDU8",13.9691329469211,13.7995004886829,13.8202963218894,13.5661522179069,14.6752251129295,14.0215936731986,13.8585422658092,12.6335879594411,14.83752512974,14.7113981030688,13.8097250799339,14.8647076861387,14.6484670363764,13.692218171728,13.5018754889737,13.0151037622605,9.17692439635297,13.7196528743023,13.3026821249725,15.0847098091581,14.1822767992682,14.4229578433911,13.7055466778342,12.9074301739123,14.1357588420522,14.060999734624,14.5476758980799,14.2162886057836,14.536703351549,14.6683440176321,14.6428330041683,14.196591544338
"A6NFQ2",12.9775397081765,13.9698903780217,12.9543018456629,11.6065089254669,13.8476431958023,13.5458870346841,14.3464368930163,14.2941690559963,10.1819039228624,13.650313202763,14.5891485868121,14.2271877307422,12.3792156971974,13.5301047087849,13.5603737509819,13.814255500718,13.702386563127,14.6628803791508,13.5586954544212,14.0018077652677,14.1070749418337,15.1260221158771,15.2437303706884,13.814255500718,14.5625732795395,14.2297006455291,13.9054044956351,14.8363821870879,14.0748037384681,14.870135125418,14.0457247646443,11.1166744643742
"A6NHR9",12.5174758563661,12.3748943824041,12.4343428020361,12.3935817695589,12.6181412987093,12.8226263193385,12.3565762114522,12.6975883295212,12.7189715333973,13.1175240820243,13.1574843143603,12.7342074609412,12.2141305590562,13.2514674431861,13.4678025073058,13.1693584442317,12.5156715446032,12.2216434171256,12.8752609876602,11.9071456577997,13.2258760195757,12.8049856526297,12.6138232229491,13.0055226563593,12.8968747755765,13.535070393098,12.6826046660134,12.7722806903245,13.2094291858857,12.5233850939036,13.0711217716806,13.2894463420821
"A7E2V4",12.2132101669641,11.9710523807332,13.2732655434914,8.66005445471887,12.0771078739589,12.5277181681386,11.6767409065367,12.4611105178534,13.3822250647572,12.0853307720681,11.6521409939105,11.4589903029554,11.3246843552201,13.1379137234569,7.58593875153198,11.9856033336695,12.1637755496812,9.70743677834323,12.6424947143064,13.7615819789422,10.5467568750176,12.4040794413782,13.1562213934349,12.2350321342198,13.4740511383807,13.2797257248964,11.4656921928152,10.3956061433842,12.882499977171,12.9326313669606,12.8266644029433,13.2979574105591
"A8MWY0",12.847824819461,14.2640467950842,13.8797571546333,12.278751310006,14.719629295157,14.9331419060903,13.0519734527333,14.7118804588495,13.9291049553143,13.290486840509,13.6920039462427,14.7605598877309,14.4164708745632,12.4009042885488,13.1262615222108,14.0291596350757,14.245200119967,11.9256149834161,14.88965784613,14.6405729551152,12.9553900160785,8.65806428071462,12.4009042885488,13.8726806290473,12.849248822945,14.7655506915568,14.1316066011334,13.9580795300364,13.8843766884462,11.5109385293466,13.5754108905204,14.1124709844801
"B0I1T2",12.1905884196556,11.9002735939105,12.7232901471697,12.6419617583329,12.5628963402156,12.4639158347729,12.6321191605181,12.5242215028913,12.5198991643749,12.553264942456,12.7171058591277,12.0380873024326,11.7578049300896,13.6932069730297,12.1590456327688,12.9266268923664,13.1155745132684,12.6609142221798,13.6091908284462,12.947254778568,12.1590456327688,13.1514204889477,12.9490182433606,10.7912859881999,12.4463003050622,12.0671600825658,12.4257735138755,12.359188885449,12.4938290812371,12.185031419922,12.4383103421261,13.186996637025
"C9J069",13.4528352395718,11.6467126452653,15.1323705518849,12.5841803551107,14.3513232375118,14.262416233547,14.1102324962119,13.3758438594136,12.1282863660338,14.4312317256037,8.7753540999641,13.2013028998165,13.3318034748341,14.2842577540779,14.2592822584941,13.7500506966575,12.1640999908356,13.9491914951749,14.9507685683393,14.2339192450272,14.400524895407,13.4166178000658,13.8082546555609,13.3775757762783,12.9009250916044,14.317807212453,14.7956303456657,13.0271218128803,12.8764529691949,13.4898786710135,12.6356175616182,13.6663978171558
"C9JLW8",12.7524367377845,13.1642965415489,12.2227157120898,14.8924412895852,12.0107179613133,8.52123063199545,11.4311532740923,11.4419649074038,10.9161313307756,10.0226614406327,8.26843940797642,13.7957453535066,14.0761707305251,12.0524925349792,12.0029457944487,13.5828291303479,7.29845748460977,11.7593395162914,14.0069037129109,9.49367592247851,11.1281137622847,13.1477972875772,13.1129135653284,16.6855410731794,12.0761065032531,12.6166534333214,11.4939531749615,12.2838002126588,12.4890277160271,10.6094574252346,12.0338005033212,13.6716767745181
"L0R6Q1",12.3409942217992,11.2881349342992,12.8793791731672,11.9588630566038,13.0846484740495,13.4733368510431,12.0142162694809,12.5818826535938,13.6516408304839,13.4022763661823,13.5423100769466,12.763133057785,13.8242206351613,13.2590187606846,12.109959532331,11.5238239931198,13.5718713486508,14.121264899972,12.5761413951181,13.8642712494347,11.7924877503399,14.4781251380318,11.3964906651374,13.589531975993,11.2881349342992,14.4245094766236,12.2482707509821,12.6470687652393,13.7017584922908,12.4884223173636,10.7715547613338,10.7007240286518
"L0R819",12.7258820105602,12.8153035600232,14.0267434839443,12.8529240256287,13.1247105882303,11.6165997187171,13.0428063713093,11.6554311964943,14.3665154737807,12.2887601345084,13.6539988696709,13.2827097214605,12.5093630544875,12.1494615272159,13.6870557325502,13.6167610599259,10.0291283574296,12.9196658485475,13.4049352183458,9.19398648460995,12.6719702196218,13.9345354475852,11.640524963793,14.9547939986262,13.0881610602648,12.6170930165285,12.7575851518242,12.1161302443395,12.5271914332963,13.8776073460944,13.2135985491686,13.4958280432271
