"","HB01","HB02","HB04","HB05","HB08","HB10","HB11","HB13","HB15","HB17","HB18","HB20","HB21","HB23","HB24","HB26","HB27","HB29","HB30","HB32","HB34","HB38","HB40","HB45","HB46","HB48","HB49","HB50","HB52","HB54","HB56","HB58","HB60","HB62","HB66","HB68","HB70","HB72","HB74","HB76","HB78","HB80"
"A2RTX5",13.4165944134785,12.9938567090072,12.5049392942946,12.3276950600509,11.2309475433895,12.877987993706,13.6982548936176,11.9629463961775,14.1559559767686,12.6778779142853,12.6447888955412,11.9424868987242,12.9684139923115,13.0901189240458,12.4960724445999,12.8584471184204,13.1184969530105,13.6261062250587,13.5433537445188,13.8642233182784,13.400955666277,8.85094504491229,11.4343321945005,9.21276811207668,9.22506949925196,13.0028873829237,8.89955238159302,13.0254005617697,12.1392489232236,12.9156414379292,9.67516226975942,12.364752617595,13.2644057736329,13.1574875546993,11.2178144835094,12.721089831173,13.5508059012731,11.3863366146008,13.2748684924055,12.051117900855,10.7519645102537,12.7519363870405
"A3KMH1",14.3090187989115,14.5856890243152,14.0152077791014,14.474656822584,13.7512176216178,13.9444168186837,13.4949979252834,14.3028872710089,14.3311002609598,13.9566072586465,13.74674821316,14.357094951667,13.0263132020733,14.6398419583863,14.6417318653343,13.9416454302715,13.5708687528321,13.906151888261,13.9839073801759,13.8655736111008,14.4338592079207,14.5890064427702,11.2016850172616,14.2521313666872,13.4388739243244,14.0000513407946,13.6836492200425,13.6889054188047,14.0395404513743,14.1325669237212,13.5812523472503,13.6048894258636,14.0176755752312,12.0599186081256,13.0406077398063,14.0909220783737,14.1007745190184,13.2312189089071,13.3885958761717,13.1388743323053,13.6655857484217,13.2851315787494
"A4D1P6",13.4365332202724,13.84919954131,13.3563632741872,12.2704236948493,12.4758835086822,13.2940939966814,13.1350865561541,12.9074962547936,10.8382637537594,13.3393459554409,12.9617076643365,13.2372355606544,11.2037117812519,12.9067363014236,12.1649470993272,12.438883167437,11.2242183594285,12.4208149170782,12.1885041113859,13.4339124171903,13.5759800756789,13.2997435014244,11.5982217904197,13.4844966388916,13.6106945451247,14.1180382514444,11.7918181018112,13.2689149380925,11.4421151375895,13.0621778873151,13.5971969216031,13.3653233333076,12.6705141660987,13.560499580809,12.7854378373347,13.1973652234971,12.556184315894,13.5023546846563,13.2734139651956,12.9566091670927,13.1522281216532,13.034476727096
"A5YKK6",12.6575918366589,12.9614869589072,11.6373878700076,12.2809495741737,12.4902295673873,12.5650591519102,11.7508125425521,12.0262777028264,11.0394799928137,11.8941309857258,12.2100820255504,12.0997385677299,13.103201849119,12.4133694620607,12.4635766569342,13.4941650578435,13.2554642900561,11.8745769072365,11.4879053975463,12.4052086397196,13.3113873955942,13.0655175176679,13.2704297387506,13.4056378200041,12.7277265973485,12.7971208257905,11.2870361380356,12.0253654882903,12.8815542666725,11.9552104310804,12.1354235573952,12.5896307181623,12.8299664189038,11.5790377313559,10.9075672100161,11.6604567090084,12.4173137179034,11.2151513917153,12.5150551127847,12.6219022120179,12.7094329400698,11.5596160500866
"A5YM72",12.0888146632085,12.1913013543363,12.6027131908488,11.603262083466,11.615470751664,11.8626683386595,10.6788763602794,11.7540022000039,12.103318289673,12.7134391108936,12.6942990073311,12.4446041931548,11.6581388718666,12.4937200003116,10.6339726391109,11.3312326471133,10.8469146475582,11.3992809190157,11.7268672499743,10.2184998735271,11.9608582051869,12.6237979581385,11.6737837237909,11.7666863650397,11.0790423561594,12.8022785156813,12.104333710588,12.8868753212709,11.6910152872224,12.0307189911606,12.059669566969,11.994782813837,11.8553108013515,12.1886419006834,10.4620323606748,11.506034089423,12.5936841631826,13.7211942889448,11.016691879612,13.5594392548684,12.4091336565622,12.1923819527553
"A6NC98",11.8970215349041,13.9293773041061,13.1420271423871,13.2479137275532,13.060535977667,13.3781925756469,13.0739257538309,13.7950679689355,14.0865406090133,12.2693058976007,13.5403912899325,13.2037607695151,13.0092025526509,13.6529837483025,14.1471808525446,13.9499402680085,12.8442939855067,14.2387967626068,14.366167989474,12.8070154421632,13.8800450799966,13.3813942590611,13.5801083660665,13.646407085846,13.7097773042357,15.096305350332,12.9474883427251,14.3867017236443,12.3928981187585,11.9081362539607,11.0438221873436,13.7317220725358,12.6405503327269,12.7817733259585,13.530387567829,14.1322145183283,12.3330160632806,12.8862478668224,13.5391054668905,13.7144858640373,13.5816416966627,13.9194611604072
"A6NCS6",14.825764274265,15.238464037015,14.7730090712472,12.0393098799957,14.1206090217686,14.0448647772372,14.5799966191102,14.9210029790295,14.2798277870499,11.2870533339522,14.2602505543838,15.849289385277,15.4686607278067,12.3897492782937,15.6850112638064,17.207081768791,15.1506850692847,8.65793822395642,15.9262840954319,15.6147373078771,11.1080292933183,10.877998629593,15.3769499354781,12.0070386969408,15.1562318282738,13.7610596831692,13.4191953252884,11.1273822261161,14.7233097634572,12.4350645299884,14.8276218763099,14.6439895429683,11.3382358674106,15.563423040096,15.7889813048981,12.8825109954227,9.91911135143976,11.3900108073122,13.4122399292346,11.3647980737508,13.6839835110622,13.5853956213557
"A6NDU8",13.7918341446596,14.3561995433678,13.6033613721135,14.5221258891321,12.8958513885184,14.5583264746426,13.9839934941063,13.6694082275796,12.470424169367,14.7356887040255,13.9580734656485,13.6155297779247,13.1378151581639,14.7645371393244,11.6561954194392,13.481945865379,13.2894211113299,12.7080775204542,11.6842087179398,13.1624540900068,13.512375103362,13.6721600680632,14.8808604459528,13.7058687278756,11.3619837328157,13.4976453871885,14.0640254386751,13.3603107005827,13.5318762889515,13.9945402095519,14.3561995433678,13.9314171300006,14.7795457879506,13.5448391217197,13.8231125337219,14.439200775979,13.8452940228569,14.8808604459528,12.2737941673572,12.6750550239801,14.6534121656805,12.2194847650993
"A6NFQ2",12.8308578360831,14.9624332004556,13.807529943546,13.7187914697159,14.4973073079495,13.6888012976385,12.8139470364705,14.1691181013364,12.9354094007018,10.0517991228505,13.5788456593972,14.3989490625424,13.9028694882262,14.0540607854854,12.9202329065438,13.3767341825962,12.380126777422,13.6573938671578,14.2953015328633,11.318705114716,14.469799997632,14.1015053566736,14.4344501023622,12.6398935036814,14.3951798812841,15.0040429042696,14.0070139586694,11.7494832051948,13.9577149314029,14.1736980993252,7.95290950016952,13.6103376394024,12.1247364225588,13.8489239169418,12.7911801513647,9.90596103630859,13.6198829913299,13.9430459535475,13.3507865634434,11.9340738188179,14.0824366679165,13.2515180957299
"A6NHR9",12.4417696202899,12.9001594511153,12.2950049328058,11.7787996497527,12.4617432315815,12.5441843460046,12.4356090820373,12.2754203844838,12.9745048046694,12.6511116069514,12.0411520577718,13.1058172174186,10.6673941314811,12.6675209716547,12.3509956915406,13.2024507501505,11.9009946432102,13.1178928269567,12.3172472946974,11.9751799122074,12.1360340035535,12.5045677474184,11.4975838566455,12.0260713331652,12.0456680371381,12.5400919948122,12.2955707166199,11.1522885558332,10.7656149922835,12.3407560577916,11.4069310374561,12.0602446011919,12.471848871921,10.6809441278564,12.9338783348554,12.9018369564352,13.3958528102472,12.1394719237099,13.463989021262,13.1501166297832,12.8290921942744,13.326016409257
