"","HB01","HB04","HB06","HB09","HB10","HB12","HB13","HB16","HB17","HB19","HB20","HB23","HB25","HB26","HB28","HB29","HB31","HB34","HB35","HB39","HB41","HB44","HB48","HB51","HB59","HB61","HB63","HB67","HB71","HB75","HB77","HB79"
"A4D1P6",13.4789849318811,13.3990155306511,13.6191127228808,12.4884853320201,13.3384516253546,13.0093073598307,12.9522860039035,13.6034577804396,13.3817990628567,13.6750770823523,13.2813073780831,12.9517981483512,12.9305215342587,12.4917651195758,13.1752681872346,12.4736077621455,12.5458935688379,13.6193193289442,13.5956936067524,13.1724009859825,13.761925852519,13.1605913245739,14.1744679423535,13.5682509120653,12.360547117942,12.6779486213627,12.1769980691437,12.573096237059,13.8287643399287,13.5350725303847,12.7292492902477,14.0601076674567
"A5YKK6",12.8326717793688,11.8245915406937,11.8706594011172,11.2750822662313,12.7403026489985,11.9046734515762,12.2064786505021,13.0041300551588,12.0791073882527,13.3106747575948,12.2804354216399,12.5896928617975,12.3755843784836,13.6594651399341,11.8864085046116,12.0562404199789,12.3704452351155,13.4749669832502,13.1663105694664,12.7222321481167,12.2033898076962,12.4024813827459,12.9693378904557,12.0905823937171,10.8527325766299,11.9727862468779,12.0671409512147,11.7669678696263,11.9605151030574,12.1914734980133,12.8671740578164,12.2848886902503
"A5YM72",12.0253633966914,12.4816315481089,12.3770326819967,12.2867487562938,11.8278832131184,10.7586045937056,11.7320121164011,11.7748610737684,12.5796840986158,12.3944594760667,12.3413078109028,12.3847933709022,11.7521423873633,11.3575400669275,11.4251577839634,11.419191618899,12.0147534408675,11.9139750177099,10.967285808773,12.5900704710942,12.806529107911,11.6816766297384,12.6634686656548,13.0724851176062,12.4668521308779,11.8491034334402,12.8350424224178,12.2050753876575,13.5338759082005,12.7841290102323,12.3701766980834,12.2116369194199
"A6NC98",12.2448271477425,13.3287373909344,13.3983650789245,14.4867124830724,13.5347631215363,13.5007537667744,13.902988113484,13.393299466951,12.5703880844801,13.5690670202757,13.383093101779,13.7775804223985,13.3025667538424,14.0423308893682,13.9637527967791,14.3031632331469,13.5209230552001,13.9818991794285,12.8891587670128,13.1564153274911,13.5496425189802,12.7245492366353,15.1042900117327,11.7401250776052,13.6256987118936,14.5829908287914,13.5309266085045,14.167517958527,13.1191746865964,13.3895950461252,11.2727790040381,9.06505368712653
"A6NCS6",15.0136784263578,14.9635848020925,14.4993847066764,15.7913445516051,14.2648210567842,13.7452348737689,15.1101281891135,14.5803611416168,11.699345492751,12.099466674262,16.0437887643786,12.6998224752121,13.584964800751,17.422344120371,15.9741061603461,9.06434399378516,14.297087296493,11.5262306267812,15.0729179878798,13.0402083125053,10.627571893357,12.1769046144051,13.9971898930507,9.59908112241847,11.2769435823214,12.9559789177483,16.0304283631575,14.9461777204171,11.1928575964892,12.7437130065725,11.2030808511558,13.6140842537405
"A6NDU8",13.9680864446604,13.7982292294104,13.8173135335572,13.5628326976193,14.675114157833,14.0188775967424,13.8573492348047,12.6290328244711,14.8376292164296,14.709595993102,13.8084673678835,14.8648477887547,14.6465815449704,13.6908047671773,13.498470804292,13.0127932050489,9.16778930433241,13.7182758197628,13.2990135161237,15.0834023240078,14.1797736222749,14.4207735602748,13.704150933083,12.9032378701979,14.1331940304097,14.0583358698064,14.545656861978,14.2138304932318,14.5346697772108,14.6664848625238,14.6409400478688,14.194107333876
"A6NFQ2",12.9818418508916,13.9741727836419,12.9613590787996,11.6135929651728,13.8519280328253,13.5529325016444,14.3507118094146,14.3011996402002,10.1862616686326,13.6573565927668,14.5934186758607,14.2314650189151,12.3862843683572,13.5343958614053,13.5674189298126,13.8185410017967,13.7094289174315,14.6671490017305,13.5657406666319,14.0088441643138,14.1141092471963,15.1330361551606,15.2479874406065,13.821295630035,14.5695985253889,14.2367325119603,13.9124428120685,14.8434019870878,14.0818386856802,14.8771542540978,14.052760290215,11.1237682465124
"A6NHR9",12.5174626905973,12.3747939033141,12.4344792993605,12.3936933058485,12.6181897779345,12.8230005917576,12.3564645147734,12.6978860318091,12.7190817585311,13.1180789424425,13.1578630737311,12.7343270161752,12.214132203922,13.2519037554695,13.4685718694528,13.169744475022,12.5158578456112,12.2214490909853,12.875667492231,11.9069593128057,13.2264972320048,12.8053491223466,12.6138690578929,13.0060089299114,12.8972945158894,13.5358809484124,12.6828931926813,12.7726241323421,13.2100403266861,12.5235761184959,13.0716482164868,13.2901064833835
"A7E2V4",12.2707386178788,12.0321861174542,13.3060268044722,8.76149797745362,12.1366626386784,12.5715792637029,11.7422564019327,12.5059632793059,13.4223490254677,12.1357782055105,11.7180227369387,11.5277477059218,11.3864564203124,13.1816750324634,7.70337388931765,12.0465204333584,12.2130550840949,9.802271604462,12.6846469973677,13.7870731027901,10.6201108551346,12.449781291079,13.1997101347749,12.2832507886311,13.5038230696909,13.3123908056111,11.5253649095308,10.4712104809886,12.9210790215556,12.9704640467915,12.8660747367379,13.3303510548745
"A8MWY0",12.9399585922264,14.3432997717775,13.9007724603959,12.3143280546883,14.7947386662726,14.9445764862306,13.1422504566031,14.7253274520362,14.01140428887,13.3168616667975,13.7764597565364,14.8352969876735,14.4326046715691,12.4971028847092,13.1541300075946,14.1105489531477,14.2628916555909,12.0261364221252,14.9014879216928,14.6546685029988,12.984812608843,8.72657183149068,12.4971028847092,13.8937602970954,12.8796367891376,14.7785095442299,14.1503312904412,13.9783824795705,13.9053499787099,11.5534986707135,13.5991942808283,14.1313697156966
"B0I1T2",12.1668686628738,11.881021174624,12.6872229261783,12.6071460110131,12.533447543833,12.4318398415397,12.6016051698249,12.4912175316547,12.491112004529,12.5198140534768,12.685284101033,12.0167142186369,11.7365945056826,13.6463650619191,12.131660953805,12.8915810441292,13.0734708569933,12.6299571357601,13.559491450294,12.9077412106912,12.131660953805,13.1087652381379,12.9136278391002,10.7849482672384,12.4144953779593,12.0411893298893,12.3942844511233,12.3287244207566,12.4612927857538,12.1572468740861,12.4066283638286,13.1437939437626
