"","HB02","HB05","HB06","HB08","HB09","HB11","HB12","HB15","HB16","HB18","HB19","HB21","HB24","HB25","HB27","HB28","HB30","HB31","HB32","HB35","HB38","HB39","HB40","HB41","HB44","HB45","HB46","HB49","HB50","HB51","HB52","HB54","HB56","HB58","HB59","HB60","HB61","HB62","HB63","HB66","HB67","HB68","HB70","HB71","HB72","HB74","HB75","HB76","HB77","HB78","HB79","HB80"
"A2RTX5",12.9316235950846,12.3859854593263,13.6935444137428,11.5043420963453,12.6481876035742,13.5140276841103,11.3298284205318,13.8976709730843,12.0700734625316,12.6481458137265,10.5987725927701,12.9106401463545,12.5272614206135,6.45050157673031,13.0343344866047,11.7644297631253,13.3852072514769,11.8305684451956,13.6514253973733,12.7369993291439,9.55843054548092,10.9970429979197,11.6670584122035,12.8218235487725,8.00123973457392,9.8572742580128,9.8572742580128,9.58731310641314,12.958559050151,14.1446462970503,12.233066765199,12.867189202958,10.2399814823593,12.4165380676228,6.62514377226848,13.1537515865931,12.6148765512956,13.0660166745284,11.1622736040199,11.496998119661,11.194825561741,12.7097949401052,13.3913677874333,10.5729749377845,11.6296431458441,13.1629105443081,10.1939021373897,12.1621299440588,12.9286824284773,11.125727398235,6.9265092009481,12.7356000113572
"A3KMH1",14.4503286565526,14.3411163962611,14.1786433694569,13.6187272320073,13.9510427291597,13.3653577919973,14.0260749683833,14.1962337223057,14.1748653214967,13.6141836122648,14.3143264973431,12.9050529469394,14.5058455108753,14.0082291650331,13.440786657993,14.3404850280939,13.850330246893,12.6506637598594,13.7326938491025,12.8256524535886,14.4533148679474,12.2456655301478,11.1543617931388,13.9816507706615,14.2029466818731,14.1173081229476,13.3103018982601,13.5515327333988,13.5567633271254,12.7865433855051,13.9056980307819,13.999134414037,13.4508950898977,13.4735677519345,13.0308689004739,13.8835587886112,13.6916354363759,11.9690886935872,12.8874548891529,12.9193142015912,13.1241207799792,13.9567774155894,13.9668110665724,13.8164958893825,13.1062439032839,13.2602294801696,12.3305215572345,13.015251074966,13.828006429938,13.5331011010325,12.2793575300504,13.1589440276031
"A4D1P6",13.8747424978004,12.4255958921115,13.6413381570973,12.6131168014983,12.5983977714419,13.2162704411051,13.080559894489,11.1449945227123,13.6274900176627,13.0546501645778,13.6902752223823,11.4676291495107,12.3304361745229,13.0070712482939,11.4866669458904,13.2348383273354,12.3515369231475,12.6501212645872,13.4902964647047,13.6201478509907,13.3672918090027,13.2322761075311,11.8238027896011,13.772143966449,13.2215344534382,13.5379068190848,13.6534392701958,11.9964356935206,13.3393518481457,13.5960944342109,11.6800902211134,13.1476224790194,13.6413168782775,13.4263061589135,12.4766908898054,12.7889430717643,12.774577988718,13.6079453737596,12.3098370223061,12.8940482231497,12.6753753906025,13.2725751073098,12.6851687623506,13.8322152127635,13.5535287809142,13.343482609268,13.5653052660427,13.0500964561214,12.8211241027699,13.2307771198038,14.0402697978296,13.1226478885202
"A5YKK6",12.9124809374199,12.2143927770217,11.6017994641321,12.4269471547751,10.9820724816196,11.6710900514355,11.6369480462388,10.9755363855394,12.775257807212,12.1444432828246,13.0989245400657,13.0597186169507,12.3997176959884,12.1237027358619,13.2175816230498,11.6196513875791,11.4056312372807,12.1173152357908,12.3423000000231,12.9473866398503,13.0209354130271,12.4803103077919,13.2338281682259,11.946890492829,12.1515403865523,13.3758440043078,12.6709500233429,11.2090305173914,11.9525990252249,11.8263750643451,12.8304110123647,11.8792574893831,12.0661335799949,12.5299218404694,10.5352092795722,12.776374918492,11.7096825053405,11.4964443609458,11.8039367862262,10.8416653244645,11.4900005069229,11.5788753411961,12.3538905868537,11.6971698608516,11.1409201777689,12.4521536137678,11.934325762384,12.5624312643597,12.6314574956129,12.6521898663375,12.0295492420657,11.4799878638155
"A5YM72",12.3934952563876,11.8575686036878,12.609532943439,11.8685532342314,12.5154065419565,11.0303139526805,10.950755802404,12.3134361824754,11.98665867986,12.8552769963485,12.6279101406427,11.9082295695467,10.9897046962901,11.9640125067167,11.1789383661171,11.6291991812209,11.9700993136013,12.2377418274236,10.6153286177061,11.1676441035237,12.7923558798169,12.8311497601927,11.9221032656297,13.0517004060923,11.8898389763499,12.0077809776668,11.386605300285,12.3142334743807,13.0321608257927,13.3247689908575,11.9376753971063,12.2464379334501,12.2735816838153,12.2138535075425,12.7030999357322,12.087565199124,12.0650451755895,12.3910739692039,13.0808607176482,10.8298830970418,12.4318447483565,11.7704867721415,12.763900322456,13.7907037726868,13.8020484273374,11.3317490174557,13.0289975550584,13.6555042184764,12.602292133335,12.5918318395601,12.4383018999973,12.3942711679949
"A6NC98",13.8450868875902,13.2073050944354,13.2016889077986,13.0343704972287,14.3369276158287,13.0468175853489,13.3120020579245,13.9930654126385,13.1960732895855,13.4821198491596,13.3842860980394,12.9861741513471,14.049522672538,13.1010427276344,12.8354472050682,13.7994495280785,14.2535652085499,13.3333724817859,12.7998722938247,12.6597456958551,13.332875751378,12.9450170250813,13.5178719610958,13.3646931971698,12.4869100786818,13.5805585021178,13.6400283819082,12.9291765308282,14.2740429950088,11.4547373055631,12.4195662219219,11.9787244268855,11.1997596137983,13.6601032697875,13.4431059257771,12.6467520554989,14.4359663429827,12.7761054653962,13.3443037679247,13.4724686238753,14.012434316863,14.0353825256223,12.3667635963839,12.9044787663683,12.8729418165597,13.4807593640656,13.1923002096572,13.6444182260056,10.9673840214262,13.5194373814024,8.6324013640649,13.8359951497934
"A6NCS6",15.010629477595,11.844116917682,14.0502524530925,13.8851652909583,15.3779523916992,14.3470619222315,13.2555951765727,14.0439538637837,14.1353844312044,14.0253795963077,11.5503687782774,15.2455939536111,15.464058047723,13.0904409517352,14.9241792204483,15.5593524578829,15.7156944423967,13.8360132591268,15.3899518517299,14.6487489897443,10.7023779693766,12.5232801021021,15.1498009444398,10.0250482218257,11.6217690259852,11.8187667498253,14.9295233596341,13.1884556737302,10.958166327983,8.95151337983495,14.4917136072916,12.2226431872146,14.5972534551872,14.4116277585814,10.6939264833461,11.1771812778799,12.4419086396217,15.3366381466648,15.6162908003421,15.5724906717251,14.516127158027,12.6616867257576,9.73672082614302,10.5928010434771,11.2318296888292,13.18129396462,12.2190570093806,11.2008822441087,10.6138601446719,13.4492429472231,13.1201291059987,13.3527577257349
"A6NDU8",14.4792821929515,14.6469572368404,13.7497919883783,13.0293397063785,13.4653430249683,14.1048401193914,13.9699142042222,12.6100551126719,12.4045629097844,14.0781293948211,14.7163344729881,13.2675397619839,11.8244804022426,14.6472078181133,13.4176577391987,13.3948324331833,11.8497830860803,8.51935526760759,13.2921176764899,13.1678958756792,13.7968531006672,15.1197381170732,15.0027590161222,14.1459287115993,14.4053178858743,13.8312735806409,11.5364740551674,14.1864339472519,13.4874843281125,12.7192649243182,13.6590113394169,14.1172446067806,14.4792821929515,14.0522365428381,14.0925221719686,14.9030125952194,14.0118539600191,13.6713643050103,14.5410991852315,13.9456720588422,14.1812989229347,14.5626209719523,13.9685575066308,14.5285645309502,15.0027590161222,12.418189105619,14.6725161920626,12.810940819427,14.6411948447852,14.7721954308321,14.1600358137608,12.3649318297585
"A6NFQ2",14.9774573618919,13.6294129567347,12.6110896560294,14.4690420496525,11.2141270480142,12.6634661398033,13.2328011465917,12.7910425113285,14.0166178996801,13.4788768085528,13.3425992277546,13.8285035257541,12.7752010826843,12.0189055371634,12.2098063233712,13.2487825686015,14.2527551727046,13.398673865525,11.1095488727917,13.2467558130541,14.0434582246345,13.7126251242452,14.4027667503147,13.8229382517387,14.8574651884394,12.4790397255701,14.3585321473324,13.9407712563915,11.5455443363298,13.5170685022063,13.8876151456697,14.1215901847626,7.53408407055551,13.5129548225071,14.2929857711808,11.937628818485,13.9479047449115,13.769994136258,13.6104803285046,12.6398878318365,14.5666564325164,9.64135048758657,13.5230602245403,13.7885962701685,13.8714844183719,13.2346145352281,14.6024868918437,11.7381438622472,13.7582963698482,14.0235218896778,10.707338865359,13.128183955594
"A6NHR9",12.8879416781914,11.7282435313978,12.3032965454045,12.4314433343622,12.2591937409703,12.4043283452103,12.7205880648449,12.965012873311,12.5850698873846,12.0004309274746,13.0390014139119,10.6042018091927,12.3174211082074,12.0717579566088,11.8574209524351,13.4163318344878,12.2830197919755,12.3893231152231,11.9324684615656,12.7786922005217,12.4752199591648,11.7442076180619,11.4429994504334,13.1569131685236,12.7012922059118,11.9837300774028,12.004272200356,12.2598288457164,11.0881708849887,12.9183262658741,10.7021075314623,12.3072331378573,11.347154088152,12.019624594608,12.8015804831955,12.4416623524699,13.4882104326682,10.618081915353,12.5688867947488,12.9234401229509,12.665783679835,12.8896811643769,13.4092078839836,13.1390131051979,12.1006398634393,13.4811568321091,12.3987170493526,13.151258299579,12.988088077731,12.8137064610146,13.2247639030115,13.3352505790655
