"","HB1","HB2","HB4","HB5","HB8","HB10","HB11","HB13","HB15","HB17","HB18","HB20","HB21","HB23","HB24","HB26","HB27","HB29","HB30","HB32","HB34","HB38","HB40","HB45","HB46","HB49","HB50","HB52","HB54","HB56","HB58","HB60","HB62","HB66","HB68","HB70","HB72","HB74","HB76","HB78","HB80"
"hsa_miR_222_3p",4.81433523511491,6.81760986214573,4.81433523511491,7.73786889393183,8.11824586535347,4.81433523511491,4.81433523511491,6.63030288884,4.81433523511491,7.13000681988286,4.81433523511491,4.81433523511491,4.81433523511491,4.81433523511491,7.7805187922493,7.62764029055345,7.84487343719847,8.35638320082633,4.81433523511491,4.81433523511491,4.81433523511491,4.81433523511491,4.81433523511491,4.81433523511491,4.81433523511491,4.81433523511491,4.81433523511491,4.81433523511491,6.44671796433144,4.81433523511491,8.1113716803378,4.81433523511491,4.81433523511491,4.81433523511491,6.75661376353883,4.81433523511491,7.99922323841585,7.89334780442356,4.81433523511491,7.54534399582939,7.89918597281107
"hsa_miR_223_5p",5.44507574099498,7.78350481248486,5.44507574099498,8.93761208711079,5.44507574099498,5.44507574099498,5.44507574099498,7.68062088898485,5.44507574099498,7.99827410793243,5.44507574099498,5.44507574099498,5.44507574099498,5.44507574099498,9.67852093402468,9.24689291943092,9.64857323035621,8.84834998278384,10.0697315983615,5.44507574099498,5.44507574099498,5.44507574099498,5.44507574099498,9.52950610482869,5.44507574099498,5.44507574099498,5.44507574099498,9.07918798349872,7.4793182585861,9.21114614026047,9.50305193031797,5.44507574099498,5.44507574099498,8.48015587871606,7.40934400006298,5.44507574099498,9.6088363762503,8.32068447971479,5.44507574099498,9.580672835644,10.2250264719885
"hsa_miR_25_3p",9.9539442278006,10.8573076468349,9.82653000154119,10.1180818552916,10.9275063355214,9.45162202558459,9.23923396973689,10.2170336384351,10.7430818984818,10.6887675299631,11.0139634333155,11.0883995895744,10.7700389564008,10.685218092278,11.2273745456405,10.5946912331272,10.9905462136584,10.7946800332117,10.3196485863306,10.5985566532523,10.9328621975625,9.99529483335151,10.4231899758152,10.5086014754394,10.9053076562009,10.9530429349868,10.9727005827311,10.8448596320639,11.2706817360632,11.7168798338173,10.512468235796,10.6302852588194,10.9440535607703,11.8204997477005,11.8287044956644,10.9232028457545,11.0705048189827,10.603019748806,10.1919792093245,10.5272027925538,10.8134428628935
"hsa_miR_320a",11.3421095980414,11.5870430131017,11.6810343495177,12.809399800677,12.1057451408167,12.111032309071,12.2520995280752,11.9939011544124,12.7357040129901,11.9293492969785,12.3830828778814,11.7799988733782,12.3359699977986,12.6497124808576,12.3779666884284,12.4857784132166,12.3385500963443,13.4988203496205,13.4574402562713,12.3386640355617,12.387525336934,12.8573439742249,12.5281064147082,12.1663768676297,12.7655876388312,12.3635888710615,13.3623925346823,12.0893033088854,11.5877409263838,12.1236189573432,12.1931482558655,12.4745176083323,12.058895428614,11.5891036596476,13.5976296263409,12.4451050996806,13.0263360562183,13.6289734721898,13.3356765070114,13.7800750231679,11.9527301578879
"hsa_miR_320c",8.55063726217316,8.46763340500693,9.64477848508637,9.7174701879595,9.42395771362218,10.2436885031583,10.4972749339401,8.27232461827698,10.1446298438321,5.82240575147754,9.55249317178806,8.14532981559855,9.99165406648434,9.15131483361742,9.08448769089937,9.51595346491186,8.71722803993053,10.7826813665767,9.22692322355913,5.82240575147754,9.06398550594422,10.0395424688218,10.3823039024597,5.82240575147754,5.82240575147754,10.101853037017,5.82240575147754,9.03635193092971,7.7459096910716,8.0781790961392,9.89523633600216,9.41083563731159,5.82240575147754,5.82240575147754,9.20639710986375,10.1384294782593,9.13988832629895,10.2144744007098,5.82240575147754,9.46724534584974,8.65138350199439
"hsa_miR_423_5p",13.2650052479827,13.9123073630456,14.2359150896112,15.032811258461,14.0953462346501,14.6285644024259,14.1701719960016,14.0705420492441,14.5162993479478,14.0475875108486,14.4253703901252,13.6307356733397,14.3216118021793,14.1972577723073,15.8593909691393,14.0643206102479,13.7946692776619,14.5369041811209,15.3529312052385,14.2706193411936,14.5901932510002,14.7247350263166,14.6967614950229,14.3300833215553,14.7998690686215,14.2471405397969,15.4522676916482,13.9562665956299,13.6343211662096,14.3754287022855,14.0466093085432,14.3655964807661,13.8357626938977,13.5686849159498,15.8052476123884,14.8772742068152,14.7674147615108,15.0187393267643,15.2260187962257,15.145259313967,14.3222463652458
"hsa_miR_425_5p",9.87884026698669,10.2281963978264,9.42592825221429,10.0524572492709,10.6431870925204,10.3308563859761,9.69362380072623,9.5840854241152,10.8388682756139,11.0315782150671,10.999159684882,10.6368606705695,10.9219270794457,10.5830130948985,10.7729363862152,11.7033311455558,11.4094487771978,10.9042048728799,9.86763253486137,10.9300318003342,10.8018515124416,10.3835662443809,11.3801731041959,10.8902407449453,10.8932517126555,10.0133159160195,11.0464994225856,11.1465302307638,10.4094672938535,11.33546168345,10.6441070639734,10.7052417589768,9.55854208766938,11.1046613070631,11.6823096368892,10.5067576264982,11.671853153006,10.3025207798496,11.4339903334825,10.6858149392624,11.818195481518
"hsa_miR_454_3p",7.68956759848013,6.98430349669538,7.75084523745034,6.83236685418303,7.98959409242397,4.32866157634419,7.57114752768545,7.92229912543872,7.5175937170266,7.67775831903974,7.77367444839368,8.34861331463352,4.3286615763442,7.80260548899255,7.45933185212821,7.93853131511638,7.96353446835728,4.3286615763442,7.5927470958262,4.3286615763442,7.56869669569651,4.32866157634419,4.3286615763442,7.47354186793127,4.32866157634419,7.87096380674302,9.22947197716778,7.1040723231316,8.01220794208505,7.7207118093212,7.54224295042241,7.48260451230249,7.38942487848742,7.97404426256173,7.65744973302344,4.3286615763442,8.13648195244627,6.89254200245322,4.3286615763442,6.6604441315316,7.87069364679459
"hsa_miR_483_5p",9.10809413667822,6.91472172254427,4.67182413036902,9.37814200960308,4.67182413036902,4.67182413036902,8.48060894400857,6.2658247918822,4.67182413036902,7.97100246498753,8.19329866810445,7.32057714485135,4.67182413036902,8.80844920433027,4.67182413036902,7.59717178691643,4.67182413036902,8.34788691273132,9.01750160890654,4.67182413036902,4.67182413036902,4.67182413036902,8.92292985199328,7.88967670550592,9.08496884982887,9.24428521722444,4.67182413036902,8.73460382114252,4.67182413036902,7.38446203728587,8.97810238294923,8.37660192673684,4.67182413036902,4.67182413036902,6.72902692040258,4.67182413036902,6.1744896411539,9.91132968890236,8.71644061302309,7.72950423621394,7.49195522651465
"hsa_miR_629_5p",6.64414840984583,7.96053673822769,8.12913457447303,8.48267723670837,4.72356948331222,8.4607513437117,8.47530170317873,7.23608873263654,9.02040422711234,7.75909629484122,4.72356948331222,7.47085170234962,8.82132146987864,4.72356948331222,9.35147147339294,7.72012293098643,7.34640152595768,4.72356948331222,8.50029357575581,4.72356948331222,4.72356948331222,4.72356948331222,8.91099699267478,8.00082937495779,4.72356948331222,4.72356948331222,4.72356948331222,4.72356948331222,6.8875470379912,8.0744784064389,8.2722573145736,4.72356948331222,8.44678026520142,7.85463290446712,9.220192269226,4.72356948331222,8.92151528172646,8.60906960802486,4.72356948331222,8.83194437324833,8.93031823355582
