"primary_gene_id","Molecule","combined_score","sig_count","fischers_combined_p","mean_logFC","MeanDecreaseGini_mean","stability","identified_biomarker","rank.fischers_combined_p","rank.abs_mean_logFC","rank.MeanDecreaseGini_mean","rank.stability","score.identified_biomarker"
"SERPINH1","P50454",15810.5,29,312.584865230808,-0.74030272874371,0.0258788078672041,15,0,4072,3675,4056,4007.5,0
"KRT5","P13647",15807.5,30,327.981956875208,0.723840581299435,0.021736108847948,17,0,4082,3652,4024,4049.5,0
"SPATA5","Q8NB90",15801.5,18,199.745358942326,-1.09695771564293,0.0132245328863167,15,0,3891,3985,3918,4007.5,0
"ANAPC4","Q9UJX5",15798.5,27,255.73566665794,-1.33301282475712,0.0154216469845047,10,0,4022,4077,3957,3742.5,0
"BPNT2","Q9NX62",15797,19,200.662492876083,1.10199353279246,0.0222901749259052,12,0,3894,3989,4030,3884,0
"DFFA","O00273",15796.5,30,276.011640395576,0.994445818607131,0.0297310654793599,10,0,4048,3930,4076,3742.5,0
"DSTN","P60981",15778,27,271.647591825789,1.17864537842835,0.0107351312787419,12,0,4040,4031,3823,3884,0
"RPS19","P39019",15776,20,220.429965209647,1.1287816532622,0.0191719882814697,11,0,3945,4003,4008,3820,0
"RPA1","P27694",15770.5,21,211.570289774337,1.0195842303205,0.0158737867206205,13,0,3923,3946,3968,3933.5,0
"WDR3","Q9UNX4",15770,24,234.731914444822,1.33646192316475,0.010988990565516,12,0,3972,4078,3836,3884,0
"ABHD17B","Q5VST6",15767.5,19,203.263722391819,1.16240078296619,0.0110619011475405,15,0,3898,4020,3842,4007.5,0
"SNTA1","Q13424",15760,24,249.595573463228,-0.901510459969204,0.0272739080173104,11,0,4009,3867,4064,3820,0
"FARP2","O94887",15758.5,22,219.831175875412,1.14288557925258,0.0117465209622567,13,0,3943,4013,3869,3933.5,0
"WBP2","Q969T9",15755.5,19,209.289365213455,0.969067808709592,0.0130800362874688,15,0,3918,3917,3913,4007.5,0
"DYNC1I2","Q13409",15754.5,22,236.05707850249,0.940062617435878,0.0129362032716348,14,0,3976,3895,3909,3974.5,0
"ATP13A1","Q9HD20",15746.5,30,305.060986279591,-0.703159031794423,0.0388031013069679,14,0,4067,3607,4098,3974.5,0
"TMEM205","Q6UW68",15732.5,14,176.724770175817,-0.815454242608017,0.0286855309049529,20,0,3801,3772,4071,4088.5,0
"TNPO1","Q92973",15732.5,19,206.285499676082,1.09495857250811,0.0128527112691479,13,0,3910,3982,3907,3933.5,0
"MMRN1","Q13201",15731,18,197.705405360121,1.32480832152458,0.0151825721907553,11,0,3884,4075,3952,3820,0
"BMP2K","Q9NSY1",15723.5,22,251.997229451491,-1.57544160887609,0.0117051282530156,10,0,4013,4101,3867,3742.5,0
"DLAT","P10515",15721.5,29,275.378944707635,-0.838169273878533,0.0142516277700354,13,0,4046,3805,3937,3933.5,0
"DTYMK","P23919",15720.5,20,215.867438896437,0.695904014894411,0.0451969956656217,20,0,3932,3593,4107,4088.5,0
"CHST10","O43529",15715,20,191.385087536513,1.1410850599571,0.0154700672967122,12,0,3861,4011,3959,3884,0
"CLCN2","P51788",15713,11,176.03776533151,0.852814791955305,0.0264080032584312,16,0,3798,3824,4059,4032,0
"CD59","P13987",15702,18,193.03840562552,1.32175925842083,0.0143339134882816,11,0,3867,4074,3941,3820,0
"MYO1B","O43795",15693.5,23,222.756006370916,-0.706811756133012,0.0240686651037758,19,0,3949,3620,4046,4078.5,0
"MCCC2","Q9HCC0",15689,29,326.820279897729,-0.927537473233921,0.0126209823011526,11,0,4081,3886,3902,3820,0
"RTN3","O95197",15687,29,289.564196048905,-0.623496561085668,0.0395697193083137,21,0,4058,3433,4100,4096,0
"RHOT2","Q8IXI1",15675.5,15,195.881439711027,-1.17979501396456,0.0109133015432417,13,0,3876,4033,3833,3933.5,0
"CDKN2AIP","Q9NXV6",15673,27,265.537478428756,1.14853781025479,0.00902843792111396,12,0,4036,4016,3737,3884,0
"NDUFAF2","Q8N183",15663,24,222.787160249019,-1.07573434251335,0.0133756190979269,11,0,3950,3974,3919,3820,0
"TP53BP2","Q13625",15657,21,225.460984083852,0.857319633569983,0.011043571232498,16,0,3957,3828,3840,4032,0
