"Molecule","combined_score","sig_count","fischers_combined_p","mean_logFC","MeanDecreaseGini_mean","stability","identified_biomarker","rank.fischers_combined_p","rank.abs_mean_logFC","rank.MeanDecreaseGini_mean","rank.stability","score.identified_biomarker"
"hsa-miR-15a-5p",444,5,144.409885727159,-0.341259858947429,0.0947706842171918,18,0,114,93,149,88,0
"hsa-piR-28271",441,9,147.874393964667,-0.432558340478717,0.0696417439919933,17,0,116,131,118,76,0
"hsa-piR-28268",437,8,138.930571752561,-0.377311983014663,0.0597079899609226,22,0,108,108,98,123,0
"hsa-miR-99a-5p",433.5,3,81.6596405924652,-0.305877037149562,0.0906004105027826,23,0,72,86,144,131.5,0
"hsa-piR-28340",433,23,228.327983833601,-0.462703131692626,0.0477387309684277,17,0,153,140,64,76,0
"hsa-piR-32994",433,13,163.721160781347,-0.421796771840732,0.0557437470368133,19,0,124,126,86,97,0
"hsa-miR-192-5p",432.5,4,113.63771668616,-0.287387248980087,0.0780203942961699,23,0,92,82,127,131.5,0
"hsa-miR-191-5p",432,22,228.074029706738,-0.37436691331114,0.044207253421887,21,0,152,107,57,116,0
"hsa-miR-103a-3p",423,9,139.417493074778,-0.217174816717128,0.0727456013659639,22,0,110,69,121,123,0
"hsa-miR-584-5p",421.5,1,54.3172719479073,-0.177196642693259,0.106024697373898,26,0,55,56,154,156.5,0
"hsa-piR-27490",408,1,109.648312222258,-0.336342177818815,0.0662782601757852,21,0,88,92,112,116,0
"hsa-piR-27080",407,2,113.424592127808,-0.371613649181763,0.0562579055726619,22,0,91,106,87,123,0
"hsa-miR-19b-3p",405,3,99.9471162854827,-0.27767754599646,0.0817664504553331,20,0,83,79,137,106,0
"hsa-miR-16-5p",402.5,10,156.908773741174,0.226301463729092,0.0529714498812875,23,0,122,70,79,131.5,0
"hsa-let-7i-5p",400,0,42.713117813826,0.0718046841738009,0.144909551189349,27,0,37,21,173,169,0
"hsa-miR-4508",398,7,132.256490208161,-0.471557672838901,0.0511343279379438,17,0,102,147,73,76,0
"hsa-piR-28056",395,4,122.408963367413,-0.398735964570133,0.0493327173960352,21,0,96,115,68,116,0
"hsa-piR-28270",394,5,122.868414448091,-0.407714932218882,0.0564538106063473,18,0,97,121,88,88,0
"hsa-miR-423-3p",392,14,170.700877362535,-0.384313357144894,0.0408890285730961,20,0,127,110,49,106,0
"hsa-piR-32833",390,6,135.993383355263,-0.453587370186492,0.0588199800675808,15,0,106,138,95,51,0
"hsa-miR-181b-5p",387,8,151.668550010505,-0.415151351470792,0.058518768155817,15,0,119,124,93,51,0
"hsa-piR-32912",378,7,141.79815714441,-0.4452595499644,0.0340362558292683,20,0,111,135,26,106,0
"hsa-piR-1079",374,16,188.922031469816,-0.448511659331009,0.0302736923858193,18,0,130,137,19,88,0
"hsa-miR-425-5p",371,20,202.821045739502,-0.361061383458725,0.0457136910391361,17,0,135,100,60,76,0
"hsa-miR-25-3p",367,0,55.4371049293616,0.0992329534537762,0.138652741092295,20,0,56,35,170,106,0
"hsa-miR-185-5p",362,1,66.7967919548388,-0.171793281584412,0.0737621814303105,22,0,63,54,122,123,0
"hsa-piR-33031",358,5,120.577405394635,-0.357810230260485,0.0525775990443979,18,0,94,98,78,88,0
"hsa-miR-7-5p",357,1,63.2377695175925,-0.187193837593992,0.091880215741363,18,0,61,62,146,88,0
"hsa-piR-427",353,2,103.298595548354,-0.342640751994202,0.0599935934610867,17,0,84,94,99,76,0
"hsa-piR-33074",351,2,87.9095000862204,0.266955889542189,0.0603783994714713,19,0,75,78,101,97,0
"hsa-piR-28063",349,1,87.8600811574127,-0.248626645985647,0.0671476347328595,18,0,74,74,113,88,0
"hsa-piR-28085",349,2,79.4488302947399,-0.284878165512628,0.065754569591435,18,0,69,81,111,88,0
"hsa-piR-27485",344,2,112.627460613435,-0.404434357003345,0.0505635307168222,16,0,90,120,71,63,0
"hsa-piR-32952",341,2,86.8123710558902,-0.32263075037182,0.0536402944246177,19,0,73,89,82,97,0
"hsa-piR-33114",337,1,104.657070531911,0.253389958369109,0.0602177301180391,17,0,86,75,100,76,0
"hsa-miR-423-5p",326,0,67.6011098214437,0.183441357513092,0.0615936669216004,19,0,65,60,104,97,0
"hsa-piR-33041",323.5,10,156.278966207058,-0.365244264135967,0.0511435646470657,11,0,121,103,74,25.5,0
"hsa-miR-151a-3p",319,9,141.909329253265,-0.402791614330406,0.0340452901243867,16,0,112,117,27,63,0
"hsa-miR-409-3p",316,3,92.9492397632372,-0.370837732741306,0.0534354818993039,15,0,79,105,81,51,0
"hsa-piR-33025",315,3,104.272392150421,-0.335060153761774,0.0384160171876174,19,0,85,91,42,97,0
"hsa-miR-4433b-5p",314,2,71.828659866127,-0.303291387220295,0.0391105788208675,21,0,68,85,45,116,0
"hsa-let-7e-5p",312.5,6,132.315686808424,-0.297475846816514,0.0548858510025125,14,0,103,84,84,41.5,0
"hsa-let-7g-5p",307,1,79.6837247333249,0.120132363176778,0.0575110734237501,20,0,70,41,90,106,0
"hsa-piR-24828",306,1,89.7398615601358,-0.367331955075309,0.0416658957302363,17,0,76,104,50,76,0
"hsa-miR-744-5p",305,1,67.0039928768388,-0.2379902051485,0.0584655454247306,17,0,64,73,92,76,0
"hsa-miR-328-3p",303,1,90.6996858909619,-0.290323145373802,0.053320099127438,16,0,77,83,80,63,0
"hsa-piR-27489",303,4,121.618362208666,-0.359705475170523,0.0394792293761812,16,0,95,99,46,63,0
"hsa-miR-432-5p",298,1,63.6499092352581,0.256060648199172,0.0648168437296452,15,0,62,76,109,51,0
"hsa-miR-30d-5p",297,5,129.529988841896,-0.215535963353939,0.0426469237329871,17,0,100,68,53,76,0
"hsa-miR-15b-5p",295,2,38.9986111109446,0.09316082099375,0.0817507670203364,19,0,32,30,136,97,0
"hsa-miR-101-3p",290,4,139.258840315298,-0.232183377169063,0.0518689701279963,13,0,109,71,77,33,0
