"primary_gene_id","Molecule","combined_score","sig_count","fischers_combined_p","mean_logFC","MeanDecreaseGini_mean","stability","identified_biomarker","source1","source2","rank.fischers_combined_p","rank.abs_mean_logFC","rank.MeanDecreaseGini_mean","rank.stability","score.identified_biomarker"
"ERP44","Q9BS26",15917.5,20,220.372132073936,-1.31944552858447,0.0186148788504456,14,0,NA,NA,3920,4069,3991,3937.5,0
"STRAP","Q9Y3F4",15914,30,346.300952186728,0.73280609970771,0.0366875770097852,23,0,NA,NA,4093,3636,4085,4100,0
"GNL1","P36915",15906.5,29,285.320734591184,1.16848714589425,0.015898871408431,13,0,NA,NA,4046,4027,3945,3888.5,0
"C1QTNF4","Q9BXJ3",15887,7,160.768493126522,-1.63641447442683,0.0326276082285938,21,0,NA,NA,3619,4108,4074,4086,0
"PON2","Q15165",15880.5,30,342.816762665062,-0.82106497815294,0.0188864904477639,17,0,NA,NA,4091,3773,3993,4023.5,0
"NCBP1","Q09161",15873.5,23,257.096972936864,1.02725445101357,0.0170355985820582,14,0,NA,NA,4008,3956,3972,3937.5,0
"TMEM70","Q9BUB7",15871,20,199.321726440707,-0.857732329273366,0.0561982960741824,23,0,NA,NA,3847,3816,4108,4100,0
"ITFG1","Q8TB96",15869.5,26,242.355392964524,-0.820997399307463,0.0294831681228961,18,0,NA,NA,3982,3772,4066,4049.5,0
"ELAPOR2","A8MWY0",15855.5,18,201.469841960594,1.1697235850613,0.0190914702280971,15,0,NA,NA,3855,4028,3999,3973.5,0
"APOC1","P02654",15852.5,29,325.999648259978,-1.03149321341145,0.0115458137643624,16,0,NA,NA,4082,3958,3814,3998.5,0
"BMS1","Q14692",15848.5,25,229.347914857831,0.861771060620953,0.0229244586267082,18,0,NA,NA,3949,3820,4030,4049.5,0
NA,"P0DOX5",15837.5,25,251.732538792983,1.04990914603877,0.0172473027009327,13,0,NA,NA,4004,3969,3976,3888.5,0
"GPRIN1","Q7Z2K8",15837.5,22,240.984057859065,0.840517653675353,0.0298471306128653,16,0,NA,NA,3978,3791,4070,3998.5,0
"PACSIN2","Q9UNF0",15837,14,188.659403825365,-1.44571022936256,0.0134149090796577,19,0,NA,NA,3804,4087,3879,4067,0
"RPLP1","P05386",15836,8,155.645772359103,-1.29163252888519,0.0385239984697678,23,0,NA,NA,3582,4066,4088,4100,0
"MARK3","P27448",15831.5,22,215.497231954524,0.849217344215713,0.0319900419273682,18,0,NA,NA,3908,3803,4071,4049.5,0
"COPS7B","Q9H9Q2",15818.5,12,187.970717599621,0.928210591060842,0.0288234002617566,20,0,NA,NA,3801,3879,4062,4076.5,0
"HEXB","P07686",15811,14,194.378304575442,0.850424476489485,0.0422204290211835,21,0,NA,NA,3824,3806,4095,4086,0
"BRAT1","Q6PJG6",15810.5,28,317.968639391346,-1.06433217536791,0.0129849817955721,13,0,NA,NA,4077,3977,3868,3888.5,0
"MECR","Q9BV79",15806.5,19,210.158618519609,0.999567692422847,0.0147067449005324,18,0,NA,NA,3896,3943,3918,4049.5,0
"GNAQ","P50148",15804.5,9,182.209470058649,-1.4146544106298,0.0219542619940918,14,0,NA,NA,3766,4078,4023,3937.5,0
"FKBP1A","P62942",15795.5,15,224.438506183733,-0.986064744712566,0.0167111474017665,15,0,NA,NA,3933,3927,3962,3973.5,0
"CSK","P41240",15793.5,28,353.585694724731,1.40535417148172,0.00974226013874598,13,0,NA,NA,4094,4077,3734,3888.5,0
"DHX29","Q7Z478",15793.5,25,262.094374276452,0.837925994318939,0.015383437138539,18,0,NA,NA,4018,3789,3937,4049.5,0
"CDK5","Q00535",15790,26,283.63909406662,1.11191083724357,0.0148575913526257,12,0,NA,NA,4044,3996,3923,3827,0
"ARHGEF17","Q96PE2",15784.5,27,260.622293506619,-1.15620046313799,0.0125977317859113,13,0,NA,NA,4016,4022,3858,3888.5,0
"SMARCC1","Q92922",15783.5,29,259.673325746626,-0.86362178690573,0.0203582940604119,14,0,NA,NA,4014,3822,4010,3937.5,0
"GNPAT","O15228",15778.5,26,245.805518698429,-1.17291994351647,0.0116008773194183,14,0,NA,NA,3991,4032,3818,3937.5,0
"BRCC3","P46736",15773.5,30,308.65393080753,0.927887755253206,0.0118609464030493,16,0,NA,NA,4068,3878,3829,3998.5,0
"AKAP5","P24588",15770.5,21,230.76182610535,-1.14635474357423,0.014535994068181,13,0,NA,NA,3953,4018,3911,3888.5,0
"GPLD1","P80108",15763.5,24,232.22142028736,1.30404249784305,0.0112802927143771,14,0,NA,NA,3956,4068,3802,3937.5,0
"DDX1","Q92499",15757,28,287.833685131044,0.947735203442895,0.018297417596411,12,0,NA,NA,4048,3897,3985,3827,0
"HARS2","P49590",15741,25,237.94598558543,1.13011084191103,0.0199664292927288,11,0,NA,NA,3970,4012,4003,3756,0
"AGPAT4","Q9NRZ5",15739.5,25,247.340331309677,1.20197973913334,0.0115779579504626,13,0,NA,NA,3997,4038,3816,3888.5,0
"ABI1","Q8IZP0",15738,30,295.258726661003,-1.39474423668127,0.0124010720204946,11,0,NA,NA,4056,4076,3850,3756,0
"DSP","P15924",15734,18,207.138467660336,0.809993619483455,0.0217162337583426,21,0,NA,NA,3875,3751,4022,4086,0
