"Molecule","combined_score","sig_count","fischers_combined_p","mean_logFC","MeanDecreaseGini_mean","stability","identified_biomarker","rank.fischers_combined_p","rank.abs_mean_logFC","rank.MeanDecreaseGini_mean","rank.stability","score.identified_biomarker"
"hsa-miR-423-5p",500,10,148.131169159308,-0.344263883168334,0.0497506475301585,17,0,156,145,116,83,0
"hsa-piR-32899",499,0,89.8023968822824,0.34178440457853,0.0504695144172137,21,0,122,144,117,116,0
"hsa-let-7f-5p",496.5,3,127.307657801155,-0.228094101893633,0.0445349958960424,23,0,145,104,106,141.5,0
"hsa-miR-320c",495,3,86.6618431324279,0.278748042283385,0.0619250372999246,21,0,120,124,135,116,0
"hsa-miR-155-5p",492.5,0,72.1146519913194,-0.210777436698705,0.07508795176297,23,0,105,93,153,141.5,0
"hsa-piR-28004",482.5,0,59.5408201605662,-0.163811487085667,0.100547500330701,24,0,89,75,167,151.5,0
"hsa-miR-181b-5p",479.5,1,81.6715083531608,-0.282902451989552,0.0603695538581765,20,0,113,125,132,109.5,0
"hsa-miR-151a-3p",476,0,61.4340805958513,-0.224813352361585,0.0767640367748028,22,0,91,103,155,127,0
"hsa-miR-4433b-5p",476,2,111.221656901498,-0.455140724579318,0.0386050714336067,17,0,139,171,83,83,0
"hsa-piR-32952",474.5,0,68.6568878826377,0.301262443423879,0.0414841887801172,24,0,99,127,97,151.5,0
"hsa-piR-1079",469,3,117.839454493424,0.334323935324934,0.0435286024009692,17,0,141,140,105,83,0
"hsa-let-7e-5p",461,0,79.3766772693691,-0.215765272599226,0.0558349948542678,22,0,111,97,126,127,0
"hsa-miR-451a",461,0,70.8218086433237,-0.243333721236283,0.0517678100265889,22,0,102,112,120,127,0
"hsa-piR-23444",458,0,91.85158466648,0.278678547794856,0.0408256070822552,21,0,124,123,95,116,0
"hsa-piR-27432",457,1,61.5663306275412,0.22282775367641,0.0640261332792316,22,0,92,101,137,127,0
"hsa-miR-144-5p",456,4,102.337824660749,0.23947866198643,0.0431778667882942,21,0,130,109,101,116,0
"hsa-piR-33073",455,11,158.633227787841,0.400087976981776,0.0361666163858061,15,0,161,161,76,57,0
