"primary_gene_id","Molecule","combined_score","sig_count","fischers_combined_p","mean_logFC","MeanDecreaseGini_mean","stability","identified_biomarker","rank.fischers_combined_p","rank.abs_mean_logFC","rank.MeanDecreaseGini_mean","rank.stability","score.identified_biomarker"
"FXR2","P51116",15917,23,223.089612511822,-0.884865470513993,0.0175805907783042,11,0,4070,4009,4009,3829,0
"NACAD","O15069",15915.5,12,177.657147219784,0.728990728272264,0.024061412991041,14,0,3986,3874,4065,3990.5,0
"TRNT1","Q96Q11",15902.5,16,171.451726206509,0.860503794758684,0.0161901309421853,13,0,3966,3997,3985,3954.5,0
"ITM2B","Q9Y287",15891.5,23,237.858991330377,1.23903413345804,0.0161265752690157,10,0,4080,4096,3984,3731.5,0
"FCN3","O75636",15890.5,21,225.933413371027,0.940087945165256,0.0117062019201723,12,0,4074,4038,3875,3903.5,0
"MKI67","P46013",15885,7,157.479501658119,-0.742390510633535,0.0237128898367294,15,0,3912,3888,4062,4023,0
"NAA35","Q5VZE5",15879.5,16,199.69324331814,0.894160192209103,0.0136777942864492,12,0,4030,4013,3933,3903.5,0
"MACROD1","Q9BQ69",15874.5,8,157.955044991692,0.925299973327596,0.0189624241998865,12,0,3915,4031,4025,3903.5,0
"BNIP1","Q12981",15863.5,13,187.132406224246,-0.94084703192331,0.0107009939660331,14,0,4007,4039,3827,3990.5,0
"NF2","P35240",15856,18,217.047640488186,-0.628400695762217,0.0173442476679161,17,0,4062,3721,4004,4069,0
"BMP2K","Q9NSY1",15856,7,133.388115803457,0.974908012356945,0.015761976194941,17,0,3759,4050,3978,4069,0
"CWC27","Q6UX04",15850.5,7,150.148240549964,0.951751153988043,0.0139297840926711,14,0,3874,4044,3942,3990.5,0
"NUP210","Q8TEM1",15845,9,164.33724922261,0.645656505165094,0.0213913320831937,20,0,3944,3757,4050,4094,0
"BTD","P43251",15840.5,14,199.614363711678,-0.969798746325247,0.0114711646105464,12,0,4028,4048,3861,3903.5,0
"IL1RAP","Q9NPH3",15834.5,16,200.898052503749,0.679628755698127,0.0169013069644157,14,0,4033,3814,3997,3990.5,0
"GNAI1","P63096",15828,11,170.819389282391,-0.677681857425786,0.0192062175178361,15,0,3965,3811,4029,4023,0
"TECR","Q9NZ01",15816.5,21,211.476545333002,0.783283675627551,0.0116862147949012,13,0,4054,3936,3872,3954.5,0
"PPP1R18","Q6NYC8",15809,12,167.712034614759,0.873570565803315,0.0184682324509956,11,0,3956,4003,4021,3829,0
"LARS1","Q9P2J5",15808,23,222.371365001402,0.629513472887872,0.0153198325810394,16,0,4068,3723,3967,4050,0
"ECE1","P42892",15794,13,177.00840861546,-0.652581450907482,0.0181417435762769,15,0,3982,3771,4018,4023,0
"PSMD1","Q99460",15792,17,205.504132238988,-0.637440213075685,0.0163832474261776,15,0,4041,3738,3990,4023,0
"GYPC","P04921",15786,13,160.597474206177,-1.38363624941874,0.0133360021687348,11,0,3929,4107,3921,3829,0
"SLTM","Q9NWH9",15785,21,217.435526934776,1.19247325881736,0.0101677267063143,11,0,4063,4090,3803,3829,0
"THRAP3","Q9Y2W1",15779.5,28,243.076898551378,-0.62683271520488,0.0164067001774274,14,0,4082,3716,3991,3990.5,0
"NSUN2","Q08J23",15771.5,8,149.682831948361,0.805797521430603,0.020329157690584,12,0,3872,3956,4040,3903.5,0
"MAP2K1","Q02750",15762,19,198.03811968226,0.604008066059559,0.0179511442529569,16,0,4026,3671,4015,4050,0
"CMBL","Q96DG6",15756.5,8,154.020136303489,-0.688546656791711,0.0204182437910183,14,0,3896,3829,4041,3990.5,0
"SOGA3","Q5TF21",15752,19,203.700785921681,-0.602772627549181,0.0143833354020138,20,0,4039,3668,3951,4094,0
"SH3GLB1","Q9Y371",15747.5,6,124.888129617817,-0.716775203216503,0.0285146455730399,22,0,3696,3861,4083,4107.5,0
"TACC3","Q9Y6A5",15741,22,220.833309715149,-0.891064727447193,0.0219901132736267,9,0,4066,4012,4054,3609,0
"MESD","Q14696",15719,27,247.637015444464,1.36949586182483,0.0132471079932139,9,0,4084,4106,3920,3609,0
"CLCN3","P51790",15684.5,18,177.145789807313,0.991528517575652,0.00826644805193936,14,0,3984,4054,3656,3990.5,0
"PRKCG","P05129",15678.5,16,202.493104118605,-0.645475323554618,0.0162494125640938,12,0,4034,3755,3986,3903.5,0
"PRODH","O43272",15659.5,20,214.928713694853,0.985986751381688,0.0104218289221782,10,0,4061,4051,3816,3731.5,0
"CUL1","Q13616",15639.5,18,210.153386472349,0.649851834689142,0.0109144183058414,14,0,4049,3765,3835,3990.5,0
